Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.413077,[64  3] ; [15 15],[54.56701031 12.43298969] ; [24.43298969  5.56701031],1
r2,1,5.6e-05,16.220065,[66  1] ; [21  8],[60.71875  6.28125] ; [26.28125  2.71875],1
a6,1,0.000383,12.612632,[46 21] ; [ 9 21],[37.98969072 29.01030928] ; [17.01030928 12.98969072],1
a3,1,0.000569,11.874886,[51 16] ; [12 18],[43.51546392 23.48453608] ; [19.48453608 10.51546392],1
s3,1,0.00104,10.754093,[52 13] ; [14 16],[45.15789474 19.84210526] ; [20.84210526  9.15789474],0
a5,1,0.003024,8.792997,[48 19] ; [12 18],[41.44329897 25.55670103] ; [18.55670103 11.44329897],0
r3,1,0.014873,5.931434,[64  3] ; [24  6],[60.78350515  6.21649485] ; [27.21649485  2.78350515],0
v4,1,0.016043,5.798119,[63  3] ; [24  6],[59.8125  6.1875] ; [27.1875  2.8125],0
v2,1,0.023276,5.147812,[33 31] ; [ 8 22],[27.91489362 36.08510638] ; [13.08510638 16.91489362],0
p9,1,0.038505,4.282575,[54 12] ; [18 11],[50.02105263 15.97894737] ; [21.97894737  7.02105263],0
s8,1,0.044484,4.038102,[30 37] ; [ 7 23],[25.55670103 41.44329897] ; [11.44329897 18.55670103],0
s2,1,0.05606,3.650276,[45 19] ; [15 15],[40.85106383 23.14893617] ; [19.14893617 10.85106383],0
s6,1,0.065958,3.38085,[55 10] ; [19  9],[51.72043011 13.27956989] ; [22.27956989  5.72043011],0
a4,1,0.068646,3.315095,[26 41] ; [ 6 24],[22.10309278 44.89690722] ; [ 9.89690722 20.10309278],0
n3,1,0.070201,3.278312,[16  2] ; [10  6],[13.76470588  4.23529412] ; [12.23529412  3.76470588],0
d1,1,0.076918,3.128856,[33 34] ; [ 9 21],[29.01030928 37.98969072] ; [12.98969072 17.01030928],0
b3,1,0.079962,3.065677,[ 2 28] ; [ 5 16],[ 4.11764706 25.88235294] ; [ 2.88235294 18.11764706],0
b2,1,0.079962,3.065677,[ 2 28] ; [ 5 16],[ 4.11764706 25.88235294] ; [ 2.88235294 18.11764706],0
n6,1,0.095096,2.785923,[60  7] ; [23  7],[57.32989691  9.67010309] ; [25.67010309  4.32989691],0
