Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.233846,[42  9] ; [58 95],[25. 26.] ; [75. 78.],1
b1,1,0.000476,12.206816,[ 8 45] ; [66 93],[18.5 34.5] ; [ 55.5 103.5],1
p12,1,0.003621,8.464728,[ 5 47] ; [  2 156],[ 1.73333333 50.26666667] ; [  5.26666667 152.73333333],0
r1,1,0.004197,8.196469,[45  8] ; [101  57],[36.67298578 16.32701422] ; [109.32701422  48.67298578],0
v1,1,0.007366,7.181579,[30 23] ; [ 56 101],[21.7047619 31.2952381] ; [64.2952381 92.7047619],0
u2,1,0.018245,5.572435,[15  4] ; [34 36],[10.46067416  8.53932584] ; [38.53932584 31.46067416],0
r4,1,0.021624,5.275775,[50  3] ; [129  30],[44.75  8.25] ; [134.25  24.75],0
r2,1,0.023408,5.137948,[52  1] ; [138  20],[47.72511848  5.27488152] ; [142.27488152  15.72511848],0
p10,1,0.02709,4.885043,[42 10] ; [101  56],[35.57894737 16.42105263] ; [107.42105263  49.57894737],0
d4,1,0.037961,4.30675,[46  7] ; [115  43],[40.44075829 12.55924171] ; [120.55924171  37.44075829],0
a7,1,0.039554,4.236924,[44  9] ; [108  50],[38.18009479 14.81990521] ; [113.81990521  44.18009479],0
s6,1,0.054196,3.706638,[37 15] ; [88 69],[31.10047847 20.89952153] ; [93.89952153 63.10047847],0
p9,1,0.06466,3.413635,[43  8] ; [112  45],[38.00480769 12.99519231] ; [116.99519231  40.00480769],0
b4,1,0.077575,3.114997,[36 17] ; [86 73],[30.5 22.5] ; [91.5 67.5],0
d3,1,0.083488,2.995655,[40 13] ; [98 59],[34.82857143 18.17142857] ; [103.17142857  53.82857143],0
v4,1,0.08573,2.95277,[52  1] ; [143  14],[49.21428571  3.78571429] ; [145.78571429  11.21428571],0
p6,1,0.087465,2.920414,[ 8 43] ; [ 43 113],[12.56521739 38.43478261] ; [ 38.43478261 117.56521739],0
n1,1,0.090861,2.859057,[ 2 19] ; [16 42],[ 4.78481013 16.21518987] ; [13.21518987 44.78481013],0
u1,1,0.144271,2.131804,[ 8 45] ; [ 13 146],[ 5.25 47.75] ; [ 15.75 143.25],0
p5,1,0.158911,1.984558,[ 4 48] ; [  5 154],[ 2.21800948 49.78199052] ; [  6.78199052 152.21800948],0
a5,1,0.17198,1.865595,[35 18] ; [88 71],[30.75 22.25] ; [92.25 66.75],0
a2,1,0.204322,1.611205,[10 43] ; [ 19 140],[ 7.25 45.75] ; [ 21.75 137.25],0
s3,1,0.218364,1.515092,[30 23] ; [74 84],[26.12322275 26.87677725] ; [77.87677725 80.12322275],0
p8,1,0.23016,1.439873,[26 26] ; [64 94],[22.28571429 29.71428571] ; [67.71428571 90.28571429],0
s7,1,0.250085,1.322826,[18 32] ; [ 42 111],[14.77832512 35.22167488] ; [ 45.22167488 107.77832512],0
a8,1,0.261054,1.263158,[ 1 49] ; [  9 141],[ 2.5 47.5] ; [  7.5 142.5],0
a3,1,0.280796,1.163232,[34 19] ; [88 70],[30.64454976 22.35545024] ; [91.35545024 66.64454976],0
b3,1,0.285995,1.138378,[ 9 15] ; [21 59],[ 6.92307692 17.07692308] ; [23.07692308 56.92307692],0
b2,1,0.285995,1.138378,[ 9 15] ; [21 59],[ 6.92307692 17.07692308] ; [23.07692308 56.92307692],0
b5,1,0.286364,1.136639,[30 23] ; [103  56],[33.25 19.75] ; [99.75 59.25],0
p7,1,0.348225,0.879914,[31 20] ; [82 72],[28.11219512 22.88780488] ; [84.88780488 69.11219512],0
s5,1,0.370981,0.800374,[19 33] ; [ 46 108],[16.40776699 35.59223301] ; [ 48.59223301 105.40776699],0
s8,1,0.407012,0.687511,[19 34] ; [ 47 111],[16.57819905 36.42180095] ; [ 49.42180095 108.57819905],0
d5,1,0.416143,0.661181,[40 13] ; [110  48],[37.67772512 15.32227488] ; [112.32227488  45.67772512],0
a6,1,0.458052,0.550649,[36 17] ; [99 60],[33.75 19.25] ; [101.25  57.75],0
d1,1,0.474419,0.511665,[27 26] ; [72 87],[24.75 28.25] ; [74.25 84.75],0
d2,1,0.565919,0.329558,[18 35] ; [61 98],[19.75 33.25] ; [59.25 99.75],0
a4,1,0.607379,0.26401,[15 38] ; [ 51 108],[16.5 36.5] ; [ 49.5 109.5],0
p1,1,0.609433,0.261001,[ 2 50] ; [  9 150],[ 2.71090047 49.28909953] ; [  8.28909953 150.71090047],0
n6,1,0.612624,0.256372,[36 16] ; [104  55],[34.50236967 17.49763033] ; [105.49763033  53.50236967],0
p11,1,0.612926,0.255936,[37 16] ; [105  54],[35.5 17.5] ; [106.5  52.5],0
s1,1,0.632493,0.228695,[ 1 52] ; [  5 154],[ 1.5 51.5] ; [  4.5 154.5],0
p4,1,0.636077,0.223909,[24 28] ; [67 91],[22.53333333 29.46666667] ; [68.46666667 89.53333333],0
u3,1,0.680137,0.169972,[11  7] ; [39 31],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
p3,1,0.693171,0.155675,[19 33] ; [ 53 105],[17.82857143 34.17142857] ; [ 54.17142857 103.82857143],0
p2,1,0.706306,0.141994,[39 13] ; [115  44],[37.95260664 14.04739336] ; [116.04739336  42.95260664],0
s4,1,0.712394,0.135897,[14 39] ; [ 38 121],[13. 40.] ; [ 39. 120.],0
n2,1,0.731239,0.117977,[14  7] ; [41 17],[14.62025316  6.37974684] ; [40.37974684 17.62025316],0
n3,1,0.846113,0.037667,[14  7] ; [40 18],[14.35443038  6.64556962] ; [39.64556962 18.35443038],0
n5,1,0.954247,0.003292,[18 35] ; [ 54 103],[18.17142857 34.82857143] ; [ 53.82857143 103.17142857],0
s2,1,0.965023,0.001923,[24 29] ; [71 87],[23.86255924 29.13744076] ; [71.13744076 86.86255924],0
a1,1,1.0,0.0,[ 2 51] ; [  6 153],[ 2. 51.] ; [  6. 153.],0
