Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.226736,[59 11] ; [ 8 17],[49.36842105 20.63157895] ; [17.63157895  7.36842105],1
p10,1,0.005256,7.789235,[59 10] ; [14 10],[54.16129032 14.83870968] ; [18.83870968  5.16129032],0
p9,1,0.005256,7.789235,[59 10] ; [14 10],[54.16129032 14.83870968] ; [18.83870968  5.16129032],0
n6,1,0.006787,7.328571,[60 10] ; [15 10],[55.26315789 14.73684211] ; [19.73684211  5.26315789],0
p4,1,0.009793,6.672208,[46 24] ; [ 9 16],[40.52631579 29.47368421] ; [14.47368421 10.52631579],0
s2,1,0.010498,6.548388,[53 17] ; [12 13],[47.89473684 22.10526316] ; [17.10526316  7.89473684],0
d4,1,0.011039,6.459092,[50 20] ; [24  1],[54.52631579 15.47368421] ; [19.47368421  5.52631579],0
a7,1,0.029298,4.75,[42 28] ; [21  4],[46.42105263 23.57894737] ; [16.57894737  8.42105263],0
b1,1,0.031667,4.616458,[31 39] ; [ 5 20],[26.52631579 43.47368421] ; [ 9.47368421 15.52631579],0
u3,1,0.038063,4.302222,[16 14] ; [9 1],[18.75 11.25] ; [6.25 3.75],0
p7,1,0.038575,4.279471,[49 18] ; [12 12],[44.91208791 22.08791209] ; [16.08791209  7.91208791],0
p5,1,0.040782,4.185044,[15 53] ; [ 1 24],[11.69892473 56.30107527] ; [ 4.30107527 20.69892473],0
s8,1,0.041654,4.149214,[47 23] ; [11 14],[42.73684211 27.26315789] ; [15.26315789  9.73684211],0
r1,1,0.04423,4.047775,[54 16] ; [14 11],[50.10526316 19.89473684] ; [17.89473684  7.10526316],0
s3,1,0.048212,3.902582,[56 14] ; [15 10],[52.31578947 17.68421053] ; [18.68421053  6.31578947],0
u2,1,0.054485,3.697778,[16 14] ; [8 1],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
b5,1,0.069401,3.297123,[40 30] ; [ 9 16],[36.10526316 33.89473684] ; [12.89473684 12.10526316],0
d3,1,0.074183,3.187958,[39 31] ; [19  6],[42.73684211 27.26315789] ; [15.26315789  9.73684211],0
p1,1,0.077679,3.112812,[13 57] ; [ 1 24],[10.31578947 59.68421053] ; [ 3.68421053 21.31578947],0
p8,1,0.078369,3.098411,[43 26] ; [10 14],[39.32258065 29.67741935] ; [13.67741935 10.32258065],0
r4,1,0.082447,3.015992,[61  9] ; [18  7],[58.21052632 11.78947368] ; [20.78947368  4.21052632],0
s6,1,0.08254,3.014165,[56 13] ; [16  9],[52.85106383 16.14893617] ; [19.14893617  5.85106383],0
p3,1,0.12064,2.408989,[35 35] ; [ 8 17],[31.68421053 38.31578947] ; [11.31578947 13.68421053],0
d5,1,0.137481,2.205925,[48 22] ; [21  4],[50.84210526 19.15789474] ; [18.15789474  6.84210526],0
b4,1,0.153642,2.035714,[39 31] ; [18  7],[42. 28.] ; [15. 10.],0
p2,1,0.18967,1.720179,[61  9] ; [19  6],[58.94736842 11.05263158] ; [21.05263158  3.94736842],0
v1,1,0.194026,1.686782,[37 33] ; [ 9 15],[34.25531915 35.74468085] ; [11.74468085 12.25531915],0
v3,1,0.202714,1.622714,[31 37] ; [ 7 16],[28.3956044 39.6043956] ; [ 9.6043956 13.3956044],0
p6,1,0.209868,1.572338,[32 36] ; [ 7 15],[29.46666667 38.53333333] ; [ 9.53333333 12.46666667],0
a8,1,0.237119,1.397641,[ 9 56] ; [ 1 21],[ 7.47126437 57.52873563] ; [ 2.52873563 19.47126437],0
v2,1,0.275744,1.187948,[33 36] ; [ 8 15],[30.75 38.25] ; [10.25 12.75],0
r2,1,0.283674,1.149402,[65  4] ; [21  3],[63.80645161  5.19354839] ; [22.19354839  1.80645161],0
a4,1,0.301777,1.066327,[15 55] ; [ 3 22],[13.26315789 56.73684211] ; [ 4.73684211 20.26315789],0
s4,1,0.327696,0.957983,[18 52] ; [ 9 16],[19.89473684 50.10526316] ; [ 7.10526316 17.89473684],0
p11,1,0.327696,0.957983,[52 18] ; [16  9],[50.10526316 19.89473684] ; [17.89473684  7.10526316],0
s5,1,0.386974,0.74843,[24 43] ; [11 13],[25.76923077 41.23076923] ; [ 9.23076923 14.76923077],0
v4,1,0.485705,0.486026,[66  3] ; [23  2],[65.32978723  3.67021277] ; [23.67021277  1.32978723],0
n1,1,0.495088,0.465449,[ 8 11] ; [4 3],[ 8.76923077 10.23076923] ; [3.23076923 3.76923077],0
a6,1,0.588982,0.291937,[32 38] ; [13 12],[33.15789474 36.84210526] ; [11.84210526 13.15789474],0
b2,1,0.64009,0.218625,[14 31] ; [ 6 10],[14.75409836 30.24590164] ; [ 5.24590164 10.75409836],0
b3,1,0.64009,0.218625,[14 31] ; [ 6 10],[14.75409836 30.24590164] ; [ 5.24590164 10.75409836],0
r3,1,0.699465,0.149029,[65  4] ; [23  2],[64.59574468  4.40425532] ; [23.40425532  1.59574468],0
u1,1,0.741776,0.108571,[ 4 66] ; [ 1 24],[ 3.68421053 66.31578947] ; [ 1.31578947 23.68421053],0
n3,1,0.837829,0.04189,[10  9] ; [4 3],[10.23076923  8.76923077] ; [3.76923077 3.23076923],0
a3,1,0.859972,0.031121,[40 29] ; [15 10],[40.37234043 28.62765957] ; [14.62765957 10.37234043],0
d2,1,0.880452,0.022619,[15 55] ; [ 5 20],[14.73684211 55.26315789] ; [ 5.26315789 19.73684211],0
n2,1,0.908433,0.013229,[14  5] ; [5 2],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
s1,1,0.916487,0.010996,[ 5 63] ; [ 2 23],[ 5.11827957 62.88172043] ; [ 1.88172043 23.11827957],0
d1,1,0.919006,0.01034,[26 44] ; [ 9 16],[25.78947368 44.21052632] ; [ 9.21052632 15.78947368],0
