Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,103.68488,[ 43 184] ; [95 34],[ 87.99438202 139.00561798] ; [50.00561798 78.99438202],1
s6,1,0.0,46.265963,[109 120] ; [110  21],[139.30833333  89.69166667] ; [79.69166667 51.30833333],1
s3,1,0.0,39.281153,[ 89 140] ; [94 34],[117.38655462 111.61344538] ; [65.61344538 62.38655462],1
s2,1,0.0,35.526346,[ 76 155] ; [85 45],[103.02216066 127.97783934] ; [57.97783934 72.02216066],1
v3,1,0.000203,13.802424,[ 56 169] ; [56 71],[ 71.59090909 153.40909091] ; [40.40909091 86.59090909],1
p6,1,0.000574,11.857339,[ 45 186] ; [47 84],[ 58.70718232 172.29281768] ; [33.29281768 97.70718232],1
p7,1,0.000638,11.661574,[103 122] ; [81 44],[118.28571429 106.71428571] ; [65.71428571 59.28571429],1
s5,1,0.00124,10.429264,[ 47 182] ; [46 81],[ 59.82303371 169.17696629] ; [33.17696629 93.82303371],0
p4,1,0.001682,9.867345,[ 75 158] ; [64 67],[ 88.97527473 144.02472527] ; [50.02472527 80.97527473],0
d2,1,0.002116,9.445992,[ 85 148] ; [70 62],[ 98.94520548 134.05479452] ; [56.05479452 75.94520548],0
p10,1,0.003013,8.79983,[171  61] ; [114  17],[182.14876033  49.85123967] ; [102.85123967  28.14876033],0
n4,1,0.004214,8.189313,[157  77] ; [107  25],[168.78688525  65.21311475] ; [95.21311475 36.78688525],0
v1,1,0.005325,7.765497,[ 95 133] ; [73 55],[107.59550562 120.40449438] ; [60.40449438 67.59550562],0
a5,1,0.006054,7.534077,[143  92] ; [99 33],[154.95912807  80.04087193] ; [87.04087193 44.95912807],0
p9,1,0.008198,6.989725,[180  50] ; [117  14],[189.22437673  40.77562327] ; [107.77562327  23.22437673],0
p8,1,0.008263,6.975555,[ 83 147] ; [65 64],[ 94.8189415 135.1810585] ; [53.1810585 75.8189415],0
u1,1,0.012263,6.272475,[ 19 216] ; [ 22 110],[ 26.25340599 208.74659401] ; [ 14.74659401 117.25340599],0
