Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.009779,6.674679,[71 59] ; [31  9],[78. 52.] ; [24. 16.],0
p5,1,0.019206,5.482635,[45 86] ; [ 6 34],[39.07017544 91.92982456] ; [11.92982456 28.07017544],0
b3,1,0.026343,4.933346,[42 41] ; [ 6 18],[37.23364486 45.76635514] ; [10.76635514 13.23364486],0
b2,1,0.026343,4.933346,[42 41] ; [ 6 18],[37.23364486 45.76635514] ; [10.76635514 13.23364486],0
a7,1,0.026546,4.920071,[97 35] ; [22 18],[91.3255814 40.6744186] ; [27.6744186 12.3255814],0
v2,1,0.038226,4.294916,[87 45] ; [18 20],[81.52941176 50.47058824] ; [23.47058824 14.52941176],0
s7,1,0.075628,3.15643,[81 45] ; [31  8],[85.52727273 40.47272727] ; [26.47272727 12.52727273],0
n4,1,0.098884,2.72345,[111  21] ; [29 11],[107.44186047  24.55813953] ; [32.55813953  7.44186047],0
a5,1,0.098884,2.72345,[111  21] ; [29 11],[107.44186047  24.55813953] ; [32.55813953  7.44186047],0
a3,1,0.100763,2.693433,[102  29] ; [26 14],[98.05847953 32.94152047] ; [29.94152047 10.05847953],0
p7,1,0.11169,2.530139,[115  14] ; [38  1],[117.48214286  11.51785714] ; [35.51785714  3.48214286],0
v3,1,0.130301,2.288916,[73 57] ; [17 23],[68.82352941 61.17647059] ; [21.17647059 18.82352941],0
s6,1,0.135883,2.223971,[111  18] ; [37  2],[113.64285714  15.35714286] ; [34.35714286  4.64285714],0
a1,1,0.136495,2.217037,[ 13 119] ; [ 1 39],[ 10.74418605 121.25581395] ; [ 3.25581395 36.74418605],0
n1,1,0.218143,1.516544,[13  9] ; [4 7],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
p11,1,0.243341,1.361135,[118  14] ; [33  7],[115.88372093  16.11627907] ; [35.11627907  4.88372093],0
p4,1,0.244118,1.356657,[100  31] ; [34  6],[102.65497076  28.34502924] ; [31.34502924  8.65497076],0
n6,1,0.268199,1.225934,[120   9] ; [35  5],[118.31360947  10.68639053] ; [36.68639053  3.31360947],0
a2,1,0.29261,1.107576,[ 30 102] ; [ 6 34],[ 27.62790698 104.37209302] ; [ 8.37209302 31.62790698],0
d3,1,0.325292,0.967549,[91 40] ; [31  9],[93.4619883 37.5380117] ; [28.5380117 11.4619883],0
p1,1,0.328438,0.955047,[ 21 108] ; [ 4 36],[ 19.08284024 109.91715976] ; [ 5.91715976 34.08284024],0
s1,1,0.373255,0.7928,[  3 128] ; [ 2 38],[  3.83040936 127.16959064] ; [ 1.16959064 38.83040936],0
a6,1,0.408189,0.68407,[81 49] ; [22 18],[78.76470588 51.23529412] ; [24.23529412 15.76470588],0
s2,1,0.419716,0.65111,[93 38] ; [31  9],[94.99415205 36.00584795] ; [29.00584795 10.99415205],0
n2,1,0.45067,0.568966,[20  2] ; [9 2],[19.33333333  2.66666667] ; [9.66666667 1.33333333],0
n3,1,0.453129,0.562812,[16  5] ; [7 4],[15.09375  5.90625] ; [7.90625 3.09375],0
v1,1,0.464414,0.535236,[90 41] ; [25 15],[88.0994152 42.9005848] ; [26.9005848 13.0994152],0
n5,1,0.478941,0.501273,[111  20] ; [32  8],[109.5497076  21.4502924] ; [33.4502924  6.5497076],0
p3,1,0.500614,0.453634,[91 40] ; [30 10],[92.69590643 38.30409357] ; [28.30409357 11.69590643],0
b4,1,0.503098,0.448396,[78 54] ; [26 14],[79.81395349 52.18604651] ; [24.18604651 15.81395349],0
d1,1,0.512922,0.428102,[85 47] ; [28 12],[86.72093023 45.27906977] ; [26.27906977 13.72093023],0
r3,1,0.531588,0.391354,[128   4] ; [37  2],[127.36842105   4.63157895] ; [37.63157895  1.36842105],0
r1,1,0.549391,0.35841,[116  15] ; [34  6],[114.9122807  16.0877193] ; [35.0877193  4.9122807],0
r2,1,0.551996,0.353754,[128   4] ; [38  2],[127.39534884   4.60465116] ; [38.60465116  1.39534884],0
r4,1,0.551996,0.353754,[128   4] ; [38  2],[127.39534884   4.60465116] ; [38.60465116  1.39534884],0
d4,1,0.568279,0.32557,[112  18] ; [33  7],[110.88235294  19.11764706] ; [34.11764706  5.88235294],0
s3,1,0.584945,0.298309,[91 38] ; [30 10],[92.36094675 36.63905325] ; [28.63905325 11.36094675],0
p12,1,0.586239,0.296256,[ 21 110] ; [ 5 35],[ 19.91812865 111.08187135] ; [ 6.08187135 33.91812865],0
p9,1,0.610933,0.258819,[124   7] ; [37  3],[123.33918129   7.66081871] ; [37.66081871  2.33918129],0
p10,1,0.673032,0.178076,[122   9] ; [38  2],[122.57309942   8.42690058] ; [37.42690058  2.57309942],0
d5,1,0.692208,0.156706,[107  23] ; [34  6],[107.82352941  22.17647059] ; [33.17647059  6.82352941],0
p2,1,0.753755,0.098403,[120  11] ; [36  4],[119.50877193  11.49122807] ; [36.49122807  3.50877193],0
u3,1,0.785671,0.07395,[18 12] ; [9 5],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
b1,1,0.829622,0.046305,[52 80] ; [15 25],[51.41860465 80.58139535] ; [15.58139535 24.41860465],0
d2,1,0.899107,0.016076,[64 67] ; [20 20],[64.35087719 66.64912281] ; [19.64912281 20.35087719],0
v4,1,0.94406,0.004924,[127   3] ; [39  1],[126.94117647   3.05882353] ; [39.05882353  0.94117647],0
