Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,22.419048,[ 6 38] ; [18  8],[15.08571429 28.91428571] ; [ 8.91428571 17.08571429],1
d3,1,0.000239,13.497585,[21 22] ; [24  2],[28.04347826 14.95652174] ; [16.95652174  9.04347826],1
d4,1,0.000431,12.390734,[25 19] ; [25  1],[31.42857143 12.57142857] ; [18.57142857  7.42857143],1
a5,1,0.003471,8.541475,[18 26] ; [20  6],[23.88571429 20.11428571] ; [14.11428571 11.88571429],0
a3,1,0.003753,8.399489,[20 24] ; [21  5],[25.77142857 18.22857143] ; [15.22857143 10.77142857],0
n5,1,0.0111,6.44918,[29 15] ; [ 9 17],[23.88571429 20.11428571] ; [14.11428571 11.88571429],0
p11,1,0.04357,4.07314,[31 13] ; [12 14],[27.02857143 16.97142857] ; [15.97142857 10.02857143],0
s8,1,0.055176,3.676768,[12 32] ; [13 13],[15.71428571 28.28571429] ; [ 9.28571429 16.71428571],0
b3,1,0.06557,3.390589,[ 3 19] ; [5 7],[ 5.17647059 16.82352941] ; [2.82352941 9.17647059],0
b2,1,0.06557,3.390589,[ 3 19] ; [5 7],[ 5.17647059 16.82352941] ; [2.82352941 9.17647059],0
a4,1,0.084108,2.983683,[10 34] ; [11 15],[13.2 30.8] ; [ 7.8 18.2],0
p10,1,0.191257,1.707907,[30 13] ; [21  4],[32.25 10.75] ; [18.75  6.25],0
a6,1,0.193273,1.692491,[20 24] ; [16 10],[22.62857143 21.37142857] ; [13.37142857 12.62857143],0
s6,1,0.265803,1.238278,[29 14] ; [20  5],[30.98529412 12.01470588] ; [18.01470588  6.98529412],0
v3,1,0.306007,1.047831,[10 33] ; [ 9 17],[11.84057971 31.15942029] ; [ 7.15942029 18.84057971],0
n1,1,0.33281,0.937934,[ 3 11] ; [5 8],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
n2,1,0.33281,0.937934,[11  3] ; [8 5],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
u3,1,0.363698,0.825084,[14 10] ; [4 1],[14.89655172  9.10344828] ; [3.10344828 1.89655172],0
v2,1,0.37584,0.784266,[18 24] ; [13 11],[19.72727273 22.27272727] ; [11.27272727 12.72727273],0
n4,1,0.38778,0.745892,[25 19] ; [12 14],[23.25714286 20.74285714] ; [13.74285714 12.25714286],0
b5,1,0.396237,0.719717,[26 18] ; [18  8],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
s7,1,0.403,0.699357,[21 23] ; [14 10],[22.64705882 21.35294118] ; [12.35294118 11.64705882],0
p3,1,0.456184,0.555241,[ 7 37] ; [ 6 20],[ 8.17142857 35.82857143] ; [ 4.82857143 21.17142857],0
r1,1,0.479628,0.499709,[25 19] ; [17  9],[26.4 17.6] ; [15.6 10.4],0
p2,1,0.491789,0.472609,[29 15] ; [15 11],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
u1,1,0.495458,0.464653,[ 3 41] ; [ 3 23],[ 3.77142857 40.22857143] ; [ 2.22857143 23.77142857],0
v4,1,0.514614,0.424674,[40  3] ; [23  3],[39.26086957  3.73913043] ; [23.73913043  2.26086957],0
b1,1,0.532502,0.389615,[15 29] ; [ 7 19],[13.82857143 30.17142857] ; [ 8.17142857 17.82857143],0
a7,1,0.550133,0.357079,[25 18] ; [17  9],[26.17391304 16.82608696] ; [15.82608696 10.17391304],0
u2,1,0.564144,0.332579,[13 11] ; [2 3],[12.4137931 11.5862069] ; [2.5862069 2.4137931],0
s2,1,0.586247,0.296243,[27 16] ; [18  8],[28.04347826 14.95652174] ; [16.95652174  9.04347826],0
s3,1,0.586247,0.296243,[27 16] ; [18  8],[28.04347826 14.95652174] ; [16.95652174  9.04347826],0
a8,1,0.621313,0.244026,[ 3 37] ; [ 1 22],[ 2.53968254 37.46031746] ; [ 1.46031746 21.53968254],0
p7,1,0.670242,0.181319,[18 24] ; [ 9 15],[17.18181818 24.81818182] ; [ 9.81818182 14.18181818],0
s5,1,0.727765,0.121174,[16 25] ; [10 13],[16.65625 24.34375] ; [ 9.34375 13.65625],0
v1,1,0.736555,0.113178,[17 27] ; [ 9 17],[16.34285714 27.65714286] ; [ 9.65714286 16.34285714],0
b4,1,0.755726,0.096782,[22 22] ; [12 14],[21.37142857 22.62857143] ; [12.62857143 13.37142857],0
r3,1,0.77285,0.083318,[37  6] ; [23  3],[37.39130435  5.60869565] ; [22.60869565  3.39130435],0
r4,1,0.796127,0.066751,[35  9] ; [20  6],[34.57142857  9.42857143] ; [20.42857143  5.57142857],0
p6,1,0.81871,0.052534,[ 6 37] ; [ 3 22],[ 5.69117647 37.30882353] ; [ 3.30882353 21.69117647],0
s1,1,0.858173,0.031934,[ 2 40] ; [ 1 25],[ 1.85294118 40.14705882] ; [ 1.14705882 24.85294118],0
p1,1,0.888991,0.019483,[ 2 42] ; [ 1 25],[ 1.88571429 42.11428571] ; [ 1.11428571 24.88571429],0
p9,1,0.88937,0.019349,[33  9] ; [20  5],[33.2238806  8.7761194] ; [19.7761194  5.2238806],0
n3,1,0.900552,0.015616,[10  4] ; [9 4],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
p8,1,0.95818,0.00275,[11 32] ; [ 6 18],[10.91044776 32.08955224] ; [ 6.08955224 17.91044776],0
n6,1,0.974643,0.00101,[32 12] ; [19  7],[32.05714286 11.94285714] ; [18.94285714  7.05714286],0
