Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.1e-05,17.3346,[11 70] ; [19 20],[20.25 60.75] ; [ 9.75 29.25],1
p10,1,6.4e-05,15.984771,[15 67] ; [21 18],[24.39669421 57.60330579] ; [11.60330579 27.39669421],1
s3,1,0.000248,13.428819,[25 55] ; [26 13],[34.28571429 45.71428571] ; [16.71428571 22.28571429],1
s2,1,0.000627,11.692718,[18 62] ; [21 18],[26.21848739 53.78151261] ; [12.78151261 26.21848739],1
s6,1,0.005293,7.776542,[32 49] ; [26 13],[39.15 41.85] ; [18.85 20.15],0
r3,1,0.011434,6.39654,[65 16] ; [38  1],[69.525 11.475] ; [33.475  5.525],0
u1,1,0.017094,5.686679,[ 9 73] ; [11 28],[13.55371901 68.44628099] ; [ 6.44628099 32.55371901],0
p11,1,0.019215,5.481835,[36 46] ; [26 13],[42.01652893 39.98347107] ; [19.98347107 19.01652893],0
n6,1,0.038711,4.273504,[49 32] ; [31  8],[54. 27.] ; [26. 13.],0
v1,1,0.04924,3.867143,[23 59] ; [18 21],[27.78512397 54.21487603] ; [13.21487603 25.78512397],0
n1,1,0.066217,3.374383,[ 7 23] ; [5 4],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
p8,1,0.089434,2.884527,[23 59] ; [17 22],[27.10743802 54.89256198] ; [12.89256198 26.10743802],0
s5,1,0.100124,2.703565,[14 66] ; [12 27],[17.4789916 62.5210084] ; [ 8.5210084 30.4789916],0
v3,1,0.103967,2.643614,[19 60] ; [15 24],[22.76271186 56.23728814] ; [11.23728814 27.76271186],0
p7,1,0.108091,2.581914,[30 51] ; [20 18],[34.03361345 46.96638655] ; [15.96638655 22.03361345],0
p2,1,0.132801,2.259455,[45 37] ; [27 12],[48.79338843 33.20661157] ; [23.20661157 15.79338843],0
a2,1,0.157507,1.998001,[14 68] ; [11 28],[16.94214876 65.05785124] ; [ 8.05785124 30.94214876],0
p5,1,0.174812,1.841185,[ 2 80] ; [ 3 36],[ 3.38842975 78.61157025] ; [ 1.61157025 37.38842975],0
p4,1,0.176504,1.826815,[33 48] ; [21 18],[36.45 44.55] ; [17.55 21.45],0
r1,1,0.182502,1.777133,[58 24] ; [32  7],[60.99173554 21.00826446] ; [29.00826446  9.99173554],0
r4,1,0.182502,1.777133,[58 24] ; [32  7],[60.99173554 21.00826446] ; [29.00826446  9.99173554],0
d3,1,0.198235,1.655331,[49 33] ; [28 11],[52.18181818 29.81818182] ; [24.81818182 14.18181818],0
a8,1,0.214694,1.539491,[ 4 71] ; [ 4 29],[ 5.55555556 69.44444444] ; [ 2.44444444 30.55555556],0
u2,1,0.22654,1.462455,[12 17] ; [8 5],[13.80952381 15.19047619] ; [6.19047619 6.80952381],0
