Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.01025,6.590926,[62 19] ; [16 15],[56.41071429 24.58928571] ; [21.58928571  9.41071429],0
p9,1,0.014498,5.976481,[73  8] ; [23  9],[68.81415929 12.18584071] ; [27.18584071  4.81415929],0
n5,1,0.016496,5.749176,[65 16] ; [18 13],[60.02678571 20.97321429] ; [22.97321429  8.02678571],0
u1,1,0.01713,5.68299,[25 56] ; [ 3 29],[20.07079646 60.92920354] ; [ 7.92920354 24.07079646],0
a2,1,0.025333,5.000983,[27 54] ; [ 4 28],[22.22123894 58.77876106] ; [ 8.77876106 23.22123894],0
p10,1,0.03302,4.544765,[66 15] ; [20 12],[61.6460177 19.3539823] ; [24.3539823  7.6460177],0
s6,1,0.067973,3.331296,[70 11] ; [23  9],[66.66371681 14.33628319] ; [26.33628319  5.66371681],0
p11,1,0.077347,3.11979,[52 29] ; [26  6],[55.91150442 25.08849558] ; [22.08849558  9.91150442],0
a5,1,0.097524,2.745582,[63 18] ; [20 12],[59.49557522 21.50442478] ; [23.50442478  8.49557522],0
d5,1,0.097693,2.742806,[71 10] ; [24  8],[68.09734513 12.90265487] ; [26.90265487  5.09734513],0
a3,1,0.100546,2.696868,[65 16] ; [21 11],[61.6460177 19.3539823] ; [24.3539823  7.6460177],0
d1,1,0.108817,2.571324,[56 25] ; [17 15],[52.32743363 28.67256637] ; [20.67256637 11.32743363],0
n1,1,0.112101,2.524351,[16  9] ; [3 6],[13.97058824 11.02941176] ; [5.02941176 3.97058824],0
b5,1,0.117091,2.455807,[58 23] ; [18 14],[54.47787611 26.52212389] ; [21.52212389 10.47787611],0
v4,1,0.135124,2.232627,[80  1] ; [30  2],[78.84955752  2.15044248] ; [31.15044248  0.84955752],0
a4,1,0.135304,2.230568,[43 38] ; [12 20],[39.42477876 41.57522124] ; [15.57522124 16.42477876],0
s5,1,0.15321,2.04,[28 47] ; [ 6 21],[25. 50.] ; [ 9. 18.],0
n6,1,0.20174,1.629736,[71 10] ; [25  7],[68.81415929 12.18584071] ; [27.18584071  4.81415929],0
a6,1,0.243247,1.361678,[55 26] ; [18 14],[52.32743363 28.67256637] ; [20.67256637 11.32743363],0
s3,1,0.253382,1.304557,[61 20] ; [20 11],[58.58035714 22.41964286] ; [22.41964286  8.58035714],0
n4,1,0.260624,1.265438,[66 15] ; [23  9],[63.79646018 17.20353982] ; [25.20353982  6.79646018],0
d2,1,0.299459,1.076601,[54 27] ; [18 14],[51.61061947 29.38938053] ; [20.38938053 11.61061947],0
u3,1,0.331567,0.942769,[14  2] ; [8 3],[13.03703704  2.96296296] ; [8.96296296 2.03703704],0
