Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.005691,7.645503,[16  2] ; [5 7],[12.6  5.4] ; [8.4 3.6],0
n6,1,0.006051,7.534997,[13  4] ; [3 9],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
a5,1,0.034477,4.470899,[10  8] ; [11  1],[12.6  5.4] ; [8.4 3.6],0
p10,1,0.035078,4.441387,[11  6] ; [3 9],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
p2,1,0.047388,3.931571,[9 8] ; [ 2 10],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
p9,1,0.048954,3.876923,[10  6] ; [3 9],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
r3,1,0.050962,3.809524,[15  3] ; [6 6],[12.6  5.4] ; [8.4 3.6],0
v2,1,0.072998,3.214286,[12  6] ; [4 8],[9.6 8.4] ; [6.4 5.6],0
p1,1,0.12482,2.355769,[ 1 17] ; [3 9],[ 2.4 15.6] ; [ 1.6 10.4],0
r2,1,0.14753,2.097605,[11  6] ; [9 1],[12.59259259  4.40740741] ; [7.40740741 2.59259259],0
a4,1,0.227907,1.453877,[9 9] ; [8 3],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
s7,1,0.259656,1.270588,[ 7 10] ; [2 8],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
b2,1,0.285049,1.142857,[ 4 10] ; [5 5],[5.25 8.75] ; [3.75 6.25],0
b3,1,0.285049,1.142857,[ 4 10] ; [5 5],[5.25 8.75] ; [3.75 6.25],0
s6,1,0.295108,1.096171,[8 9] ; [3 8],[ 6.67857143 10.32142857] ; [4.32142857 6.67857143],0
b5,1,0.295642,1.09375,[11  7] ; [5 7],[9.6 8.4] ; [6.4 5.6],0
n3,1,0.307741,1.040344,[3 1] ; [4 5],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
a3,1,0.317311,1.0,[16  2] ; [9 3],[15.  3.] ; [10.  2.],0
s8,1,0.317311,1.0,[ 4 14] ; [ 1 11],[ 3. 15.] ; [ 2. 10.],0
s4,1,0.317311,1.0,[ 2 16] ; [3 9],[ 3. 15.] ; [ 2. 10.],0
b1,1,0.366799,0.81448,[9 9] ; [8 4],[10.2  7.8] ; [6.8 5.2],0
p3,1,0.429195,0.625,[ 5 13] ; [5 7],[ 6. 12.] ; [4. 8.],0
s2,1,0.42956,0.624013,[ 5 12] ; [ 2 10],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
r1,1,0.542802,0.37037,[ 8 10] ; [4 8],[ 7.2 10.8] ; [4.8 7.2],0
n5,1,0.547403,0.361991,[11  7] ; [6 6],[10.2  7.8] ; [6.8 5.2],0
a6,1,0.547403,0.361991,[11  7] ; [6 6],[10.2  7.8] ; [6.8 5.2],0
a2,1,0.57615,0.3125,[ 3 15] ; [3 9],[ 3.6 14.4] ; [2.4 9.6],0
n2,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
p6,1,0.630209,0.231777,[ 3 14] ; [3 9],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
a7,1,0.654001,0.200893,[9 9] ; [7 5],[9.6 8.4] ; [6.4 5.6],0
r4,1,0.75706,0.095694,[ 7 11] ; [4 8],[ 6.6 11.4] ; [4.4 7.6],0
p4,1,0.75706,0.095694,[ 7 11] ; [4 8],[ 6.6 11.4] ; [4.4 7.6],0
d5,1,0.765087,0.089286,[17  1] ; [11  1],[16.8  1.2] ; [11.2  0.8],0
s1,1,0.765087,0.089286,[ 1 17] ; [ 1 11],[ 1.2 16.8] ; [ 0.8 11.2],0
v3,1,0.794381,0.067926,[ 4 14] ; [2 9],[ 3.72413793 14.27586207] ; [2.27586207 8.72413793],0
p7,1,0.866151,0.028409,[ 5 13] ; [3 9],[ 4.8 13.2] ; [3.2 8.8],0
n4,1,0.866151,0.028409,[13  5] ; [9 3],[13.2  4.8] ; [8.8 3.2],0
n1,1,0.872081,0.025926,[2 3] ; [4 5],[2.14285714 2.85714286] ; [3.85714286 5.14285714],0
s3,1,0.875948,0.02437,[9 8] ; [6 6],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
s5,1,0.90261,0.014973,[ 5 12] ; [3 8],[ 4.85714286 12.14285714] ; [3.14285714 7.85714286],0
v1,1,0.927375,0.008308,[ 4 13] ; [3 9],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
a8,1,0.945119,0.004739,[ 3 14] ; [ 2 10],[ 2.93103448 14.06896552] ; [2.06896552 9.93103448],0
d3,1,1.0,0.0,[15  3] ; [10  2],[15.  3.] ; [10.  2.],0
