Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000415,12.463124,[50 12] ; [10 14],[43.25581395 18.74418605] ; [16.74418605  7.25581395],1
a7,1,0.000983,10.860063,[40 22] ; [ 6 18],[33.1627907 28.8372093] ; [12.8372093 11.1627907],1
d3,1,0.001985,9.563659,[42 20] ; [ 7 16],[35.74117647 26.25882353] ; [13.25882353  9.74117647],0
a3,1,0.018377,5.559848,[40 21] ; [ 9 15],[35.16470588 25.83529412] ; [13.83529412 10.16470588],0
p3,1,0.025637,4.980364,[22 37] ; [ 3 21],[17.77108434 41.22891566] ; [ 7.22891566 16.77108434],0
s8,1,0.030747,4.667013,[19 43] ; [ 2 22],[15.13953488 46.86046512] ; [ 5.86046512 18.13953488],0
s3,1,0.036339,4.381136,[29 33] ; [ 5 18],[24.8 37.2] ; [ 9.2 13.8],0
v3,1,0.041546,4.153584,[18 44] ; [ 2 22],[14.41860465 47.58139535] ; [ 5.58139535 18.41860465],0
v1,1,0.056785,3.628887,[25 33] ; [ 5 19],[21.2195122 36.7804878] ; [ 8.7804878 15.2195122],0
r3,1,0.06093,3.51189,[42 20] ; [11 13],[38.20930233 23.79069767] ; [14.79069767  9.20930233],0
s7,1,0.088195,2.907006,[26 34] ; [ 5 17],[22.68292683 37.31707317] ; [ 8.31707317 13.68292683],0
a4,1,0.088327,2.904604,[22 40] ; [ 4 20],[18.74418605 43.25581395] ; [ 7.25581395 16.74418605],0
s6,1,0.106357,2.607533,[30 32] ; [ 7 17],[26.6744186 35.3255814] ; [10.3255814 13.6744186],0
v2,1,0.126051,2.340481,[28 31] ; [ 7 17],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
s2,1,0.14883,2.084204,[23 39] ; [ 5 19],[20.18604651 41.81395349] ; [ 7.81395349 16.18604651],0
p2,1,0.163686,1.939843,[41 19] ; [20  4],[43.57142857 16.42857143] ; [17.42857143  6.57142857],0
a5,1,0.190664,1.712479,[33 29] ; [ 9 15],[30.27906977 31.72093023] ; [11.72093023 12.27906977],0
b5,1,0.19408,1.686372,[38 24] ; [11 13],[35.3255814 26.6744186] ; [13.6744186 10.3255814],0
p7,1,0.196456,1.668523,[22 35] ; [13 11],[24.62962963 32.37037037] ; [10.37037037 13.62962963],0
n3,1,0.212787,1.552361,[16 15] ; [10  4],[17.91111111 13.08888889] ; [8.08888889 5.91111111],0
a6,1,0.218202,1.516158,[35 27] ; [10 14],[32.44186047 29.55813953] ; [12.55813953 11.44186047],0
r1,1,0.238452,1.389724,[18 44] ; [ 4 20],[15.86046512 46.13953488] ; [ 6.13953488 17.86046512],0
u3,1,0.256839,1.285714,[11 10] ; [ 5 10],[ 9.33333333 11.66666667] ; [6.66666667 8.33333333],0
d2,1,0.27474,1.192924,[26 36] ; [ 7 17],[23.79069767 38.20930233] ; [ 9.20930233 14.79069767],0
b1,1,0.362999,0.827491,[32 30] ; [15  9],[33.88372093 28.11627907] ; [13.11627907 10.88372093],0
p11,1,0.362999,0.827491,[32 30] ; [15  9],[33.88372093 28.11627907] ; [13.11627907 10.88372093],0
p5,1,0.392056,0.732557,[ 6 55] ; [ 1 23],[ 5.02352941 55.97647059] ; [ 1.97647059 22.02352941],0
n6,1,0.411562,0.674283,[42 20] ; [14 10],[40.37209302 21.62790698] ; [15.62790698  8.37209302],0
n5,1,0.431305,0.619308,[35 26] ; [16  8],[36.6 24.4] ; [14.4  9.6],0
u2,1,0.463193,0.538169,[10 11] ; [9 6],[11.08333333  9.91666667] ; [7.91666667 7.08333333],0
a8,1,0.492633,0.470769,[ 1 57] ; [ 1 22],[ 1.43209877 56.56790123] ; [ 0.56790123 22.43209877],0
p8,1,0.532455,0.389703,[21 40] ; [10 14],[22.24705882 38.75294118] ; [ 8.75294118 15.24705882],0
b4,1,0.575171,0.314107,[32 30] ; [14 10],[33.1627907 28.8372093] ; [12.8372093 11.1627907],0
p9,1,0.58556,0.297332,[41 20] ; [14  9],[39.94047619 21.05952381] ; [15.05952381  7.94047619],0
b2,1,0.595082,0.282477,[10 23] ; [5 8],[10.76086957 22.23913043] ; [4.23913043 8.76086957],0
b3,1,0.595082,0.282477,[10 23] ; [5 8],[10.76086957 22.23913043] ; [4.23913043 8.76086957],0
p6,1,0.605404,0.266923,[14 45] ; [ 7 17],[14.92771084 44.07228916] ; [ 6.07228916 17.92771084],0
n1,1,0.653977,0.200923,[ 9 22] ; [5 9],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
s5,1,0.725048,0.123707,[ 9 49] ; [ 3 21],[ 8.48780488 49.51219512] ; [ 3.51219512 20.48780488],0
p4,1,0.725238,0.123529,[25 35] ; [ 9 15],[24.28571429 35.71428571] ; [ 9.71428571 14.28571429],0
p10,1,0.788536,0.071938,[35 24] ; [15  9],[35.54216867 23.45783133] ; [14.45783133  9.54216867],0
n2,1,0.804671,0.061161,[21 10] ; [10  4],[21.35555556  9.64444444] ; [9.64444444 4.35555556],0
p1,1,0.831099,0.045494,[ 2 60] ; [ 1 23],[ 2.1627907 59.8372093] ; [ 0.8372093 23.1627907],0
n4,1,0.848222,0.036629,[35 27] ; [13 11],[34.60465116 27.39534884] ; [13.39534884 10.60465116],0
s4,1,0.989035,0.000189,[13 49] ; [ 5 19],[12.97674419 49.02325581] ; [ 5.02325581 18.97674419],0
r2,1,1.0,0.0,[38 19] ; [16  8],[38. 19.] ; [16.  8.],0
