Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,86.581304,[58 93] ; [161  24],[98.41964286 52.58035714] ; [120.58035714  64.41964286],1
s7,1,0.0,28.378428,[54 96] ; [116  61],[77.98165138 72.01834862] ; [92.01834862 84.98165138],1
s8,1,0.0,26.378449,[ 53 100] ; [116  69],[76.5 76.5] ; [92.5 92.5],1
d2,1,0.003887,8.336037,[57 97] ; [97 87],[70.16568047 83.83431953] ; [ 83.83431953 100.16568047],0
d1,1,0.009653,6.697924,[75 79] ; [116  69],[86.76696165 67.23303835] ; [104.23303835  80.76696165],0
u1,1,0.024782,5.039049,[ 19 135] ; [ 40 145],[ 26.80235988 127.19764012] ; [ 32.19764012 152.80235988],0
s1,1,0.041012,4.175515,[  2 150] ; [ 10 172],[  5.46107784 146.53892216] ; [  6.53892216 175.46107784],0
a3,1,0.053941,3.714518,[94 59] ; [132  53],[102.30177515  50.69822485] ; [123.69822485  61.30177515],0
s4,1,0.065255,3.398525,[ 18 135] ; [ 35 148],[ 24.13392857 128.86607143] ; [ 28.86607143 154.13392857],0
r3,1,0.080556,3.053642,[145   9] ; [180   4],[148.07692308   5.92307692] ; [176.92307692   7.07692308],0
v1,1,0.082748,3.010079,[88 61] ; [87 89],[80.23076923 68.76923077] ; [94.76923077 81.23076923],0
p4,1,0.115517,2.477078,[87 67] ; [120  65],[94.03539823 59.96460177] ; [112.96460177  72.03539823],0
a2,1,0.119536,2.423387,[ 29 125] ; [ 48 137],[ 34.97935103 119.02064897] ; [ 42.02064897 142.97935103],0
r1,1,0.122027,2.391114,[118  35] ; [155  30],[123.57692308  29.42307692] ; [149.42307692  35.57692308],0
b1,1,0.125156,2.351584,[ 54 100] ; [ 80 105],[60.87315634 93.12684366] ; [ 73.12684366 111.87315634],0
d4,1,0.135651,2.226614,[119  35] ; [154  30],[124.38461538  29.61538462] ; [148.61538462  35.38461538],0
a4,1,0.171561,1.869252,[55 96] ; [ 81 104],[61.11904762 89.88095238] ; [ 74.88095238 110.11904762],0
u4,1,0.218905,1.511534,[  3 151] ; [  8 177],[  4.99705015 149.00294985] ; [  6.00294985 178.99705015],0
u3,1,0.249906,1.32383,[33 26] ; [34 17],[35.93636364 23.06363636] ; [31.06363636 19.93636364],0
p1,1,0.25138,1.315619,[  7 146] ; [ 14 170],[  9.53412463 143.46587537] ; [ 11.46587537 172.53412463],0
p11,1,0.269362,1.219991,[125  29] ; [141  44],[120.83775811  33.16224189] ; [145.16224189  39.83775811],0
p6,1,0.273881,1.197205,[ 46 107] ; [ 65 117],[ 50.69552239 102.30447761] ; [ 60.30447761 121.69552239],0
a6,1,0.28717,1.132843,[112  42] ; [124  60],[107.52662722  46.47337278] ; [128.47337278  55.52662722],0
p12,1,0.289338,1.122698,[  8 145] ; [ 15 169],[ 10.4421365 142.5578635] ; [ 12.5578635 171.4421365],0
a8,1,0.289482,1.122028,[ 16 122] ; [ 27 144],[ 19.2038835 118.7961165] ; [ 23.7961165 147.2038835],0
b2,1,0.321131,0.984334,[26 65] ; [40 74],[29.29756098 61.70243902] ; [36.70243902 77.29756098],0
b3,1,0.321131,0.984334,[26 65] ; [40 74],[29.29756098 61.70243902] ; [36.70243902 77.29756098],0
p2,1,0.347658,0.881988,[129  23] ; [149  35],[125.76190476  26.23809524] ; [152.23809524  31.76190476],0
b4,1,0.357994,0.844919,[95 59] ; [105  80],[90.85545723 63.14454277] ; [109.14454277  75.85545723],0
n2,1,0.367845,0.810932,[29 10] ; [24 13],[27.19736842 11.80263158] ; [25.80263158 11.19736842],0
v4,1,0.381603,0.765531,[144  10] ; [176   8],[145.79881657   8.20118343] ; [174.20118343   9.79881657],0
a7,1,0.424712,0.637241,[118  36] ; [134  50],[114.81656805  39.18343195] ; [137.18343195  46.81656805],0
