Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,8.7e-05,15.394737,[ 4 34] ; [26 26],[12.66666667 25.33333333] ; [17.33333333 34.66666667],1
d1,1,0.000272,13.254965,[ 9 29] ; [33 20],[17.53846154 20.46153846] ; [24.46153846 28.53846154],1
a6,1,0.001412,10.189919,[17 21] ; [41 12],[24.21978022 13.78021978] ; [33.78021978 19.21978022],0
n4,1,0.001751,9.79357,[20 18] ; [44  9],[26.72527473 11.27472527] ; [37.27472527 15.72527473],0
d5,1,0.001751,9.79357,[20 18] ; [44  9],[26.72527473 11.27472527] ; [37.27472527 15.72527473],0
d2,1,0.004183,8.202525,[11 26] ; [32 21],[17.67777778 19.32222222] ; [25.32222222 27.67777778],0
r4,1,0.007519,7.144486,[26 12] ; [48  5],[30.9010989  7.0989011] ; [43.0989011  9.9010989],0
r2,1,0.009346,6.755467,[30  8] ; [51  2],[33.82417582  4.17582418] ; [47.17582418  5.82417582],0
d4,1,0.012061,6.30184,[21 16] ; [43 10],[26.31111111 10.68888889] ; [37.68888889 15.31111111],0
r1,1,0.016866,5.710293,[24 14] ; [45  8],[28.81318681  9.18681319] ; [40.18681319 12.81318681],0
a3,1,0.023304,5.145716,[16 22] ; [35 18],[21.2967033 16.7032967] ; [29.7032967 23.2967033],0
d3,1,0.026969,4.892786,[17 21] ; [36 17],[22.13186813 15.86813187] ; [30.86813187 22.13186813],0
n5,1,0.04898,3.87603,[18 20] ; [36 17],[22.54945055 15.45054945] ; [31.45054945 21.54945055],0
b2,1,0.080878,3.047167,[ 3 20] ; [12 24],[ 5.84745763 17.15254237] ; [ 9.15254237 26.84745763],0
b3,1,0.080878,3.047167,[ 3 20] ; [12 24],[ 5.84745763 17.15254237] ; [ 9.15254237 26.84745763],0
n1,1,0.086828,2.932224,[6 5] ; [ 3 11],[3.96 7.04] ; [5.04 8.96],0
v1,1,0.094644,2.793553,[10 28] ; [23 30],[13.78021978 24.21978022] ; [19.21978022 33.78021978],0
p6,1,0.097675,2.743107,[12 25] ; [ 9 43],[ 8.73033708 28.26966292] ; [12.26966292 39.73033708],0
s4,1,0.11274,2.515389,[ 7 30] ; [ 4 48],[ 4.57303371 32.42696629] ; [ 6.42696629 45.57303371],0
v4,1,0.11757,2.449393,[32  6] ; [49  3],[34.2  3.8] ; [46.8  5.2],0
p3,1,0.160879,1.965947,[ 8 30] ; [18 34],[10.97777778 27.02222222] ; [15.02222222 36.97777778],0
p4,1,0.182429,1.777726,[14 24] ; [27 26],[17.12087912 20.87912088] ; [23.87912088 29.12087912],0
p2,1,0.187365,1.738216,[23 15] ; [39 14],[25.89010989 12.10989011] ; [36.10989011 16.89010989],0
b1,1,0.235348,1.408248,[16 22] ; [29 24],[18.79120879 19.20879121] ; [26.20879121 26.79120879],0
s7,1,0.270507,1.214172,[11 26] ; [21 30],[13.45454545 23.54545455] ; [18.54545455 32.45454545],0
n3,1,0.280077,1.166717,[9 2] ; [10  6],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
p10,1,0.34816,0.880152,[11 27] ; [20 32],[13.08888889 24.91111111] ; [17.91111111 34.08888889],0
u2,1,0.358419,0.843426,[11 11] ; [11  6],[12.41025641  9.58974359] ; [9.58974359 7.41025641],0
s3,1,0.370664,0.801438,[16 21] ; [28 25],[18.08888889 18.91111111] ; [25.91111111 27.08888889],0
a7,1,0.371561,0.798437,[21 16] ; [35 18],[23.02222222 13.97777778] ; [32.97777778 20.02222222],0
v2,1,0.393618,0.727735,[14 22] ; [25 27],[15.95454545 20.04545455] ; [23.04545455 28.95454545],0
u3,1,0.436275,0.606061,[12 10] ; [12  6],[13.2  8.8] ; [10.8  7.2],0
s2,1,0.494786,0.466102,[13 24] ; [22 30],[14.5505618 22.4494382] ; [20.4494382 31.5505618],0
p8,1,0.544108,0.367979,[12 26] ; [20 33],[13.36263736 24.63736264] ; [18.63736264 34.36263736],0
s5,1,0.563296,0.33403,[ 9 28] ; [10 42],[ 7.8988764 29.1011236] ; [11.1011236 40.8988764],0
s8,1,0.622025,0.243031,[ 9 29] ; [15 38],[10.02197802 27.97802198] ; [13.97802198 39.02197802],0
s1,1,0.631123,0.23054,[ 2 36] ; [ 4 47],[ 2.56179775 35.43820225] ; [ 3.43820225 47.56179775],0
a8,1,0.659606,0.194003,[ 4 31] ; [ 4 43],[ 3.41463415 31.58536585] ; [ 4.58536585 42.41463415],0
s6,1,0.707228,0.141061,[18 20] ; [23 30],[17.12087912 20.87912088] ; [23.87912088 29.12087912],0
b4,1,0.749843,0.101663,[27 11] ; [36 17],[26.30769231 11.69230769] ; [36.69230769 16.30769231],0
p5,1,0.763494,0.090539,[ 1 37] ; [ 2 51],[ 1.25274725 36.74725275] ; [ 1.74725275 51.25274725],0
p7,1,0.800144,0.06409,[20 16] ; [28 25],[19.41573034 16.58426966] ; [28.58426966 24.41573034],0
v3,1,0.898277,0.016342,[11 27] ; [16 37],[11.27472527 26.72527473] ; [15.72527473 37.27472527],0
b5,1,0.898886,0.016147,[21 17] ; [30 23],[21.2967033 16.7032967] ; [29.7032967 23.2967033],0
r3,1,0.922118,0.009558,[34  3] ; [49  4],[34.12222222  2.87777778] ; [48.87777778  4.12222222],0
n2,1,0.946434,0.004514,[7 3] ; [11  5],[6.92307692 3.07692308] ; [11.07692308  4.92307692],0
n6,1,0.948694,0.004141,[28 10] ; [38 14],[27.86666667 10.13333333] ; [38.13333333 13.86666667],0
p1,1,0.971748,0.001254,[ 3 35] ; [ 4 48],[ 2.95555556 35.04444444] ; [ 4.04444444 47.95555556],0
