Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001961,9.585223,[11 13] ; [85 25],[17.19402985  6.80597015] ; [78.80597015 31.19402985],0
p2,1,0.011963,6.316302,[17  8] ; [97 13],[21.11111111  3.88888889] ; [92.88888889 17.11111111],0
p11,1,0.016355,5.764322,[14 11] ; [87 23],[18.7037037  6.2962963] ; [82.2962963 27.7037037],0
p10,1,0.017488,5.646697,[14 10] ; [89 21],[18.44776119  5.55223881] ; [84.55223881 25.44776119],0
r4,1,0.026544,4.920228,[18  7] ; [98 12],[21.48148148  3.51851852] ; [94.51851852 15.48148148],0
u1,1,0.026716,4.909091,[ 1 24] ; [26 84],[ 5. 20.] ; [22. 88.],0
b1,1,0.07044,3.272727,[14 11] ; [40 70],[10. 15.] ; [44. 66.],0
p4,1,0.070457,3.272339,[12 13] ; [74 36],[15.92592593  9.07407407] ; [70.07407407 39.92592593],0
u2,1,0.075425,3.160816,[6 1] ; [12 13],[3.9375 3.0625] ; [14.0625 10.9375],0
r2,1,0.091358,2.850285,[22  3] ; [105   4],[23.69402985  1.30597015] ; [103.30597015   5.69402985],0
a7,1,0.094898,2.789256,[15 10] ; [84 26],[18.33333333  6.66666667] ; [80.66666667 29.33333333],0
v4,1,0.095717,2.775498,[20  4] ; [103   7],[22.02985075  1.97014925] ; [100.97014925   9.02985075],0
n4,1,0.096566,2.761364,[17  8] ; [91 19],[20.  5.] ; [88. 22.],0
v3,1,0.119477,2.424163,[ 5 18] ; [42 66],[ 8.2519084 14.7480916] ; [38.7480916 69.2519084],0
r1,1,0.123999,2.366064,[17  8] ; [90 20],[19.81481481  5.18518519] ; [87.18518519 22.81481481],0
p8,1,0.1269,2.330024,[ 8 15] ; [57 52],[11.32575758 11.67424242] ; [53.67424242 55.32575758],0
s4,1,0.167573,1.904524,[ 9 16] ; [25 85],[ 6.2962963 18.7037037] ; [27.7037037 82.2962963],0
b4,1,0.174844,1.840909,[12 13] ; [69 41],[15. 10.] ; [66. 44.],0
a6,1,0.19407,1.686443,[18  6] ; [67 43],[15.2238806  8.7761194] ; [69.7761194 40.2238806],0
d3,1,0.194557,1.682769,[15  9] ; [83 27],[17.55223881  6.44776119] ; [80.44776119 29.55223881],0
d2,1,0.220133,1.503505,[10 14] ; [61 49],[12.71641791 11.28358209] ; [58.28358209 51.71641791],0
p5,1,0.24711,1.339567,[ 1 24] ; [13 97],[ 2.59259259 22.40740741] ; [11.40740741 98.59259259],0
p9,1,0.251569,1.31457,[17  7] ; [87 20],[19.05343511  4.94656489] ; [84.94656489 22.05343511],0
p3,1,0.279255,1.17071,[11 14] ; [61 48],[13.43283582 11.56716418] ; [58.56716418 50.43283582],0
