Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,37.495652,[22 48] ; [77 21],[41.25 28.75] ; [57.75 40.25],1
p10,1,0.006035,7.53993,[31 37] ; [65 32],[39.56363636 28.43636364] ; [56.43636364 40.56363636],0
s6,1,0.011406,6.400909,[18 51] ; [44 53],[25.77108434 43.22891566] ; [36.22891566 60.77108434],0
d4,1,0.011903,6.325307,[50 20] ; [50 46],[42.1686747 27.8313253] ; [57.8313253 38.1686747],0
p6,1,0.020272,5.388338,[11 55] ; [32 65],[17.41104294 48.58895706] ; [25.58895706 71.41104294],0
p9,1,0.025135,5.014584,[39 30] ; [71 26],[45.72289157 23.27710843] ; [64.27710843 32.72289157],0
n6,1,0.025285,5.004255,[44 26] ; [77 21],[50.41666667 19.58333333] ; [70.58333333 27.41666667],0
p4,1,0.027664,4.848855,[20 50] ; [44 53],[26.82634731 43.17365269] ; [37.17365269 59.82634731],0
v1,1,0.028347,4.806813,[19 49] ; [43 53],[25.70731707 42.29268293] ; [36.29268293 59.70731707],0
p5,1,0.036217,4.386835,[ 1 69] ; [ 9 89],[ 4.16666667 65.83333333] ; [ 5.83333333 92.16666667],0
a6,1,0.044595,4.033905,[29 41] ; [56 42],[35.41666667 34.58333333] ; [49.58333333 48.41666667],0
a7,1,0.051581,3.789303,[48 22] ; [52 45],[41.91616766 28.08383234] ; [58.08383234 38.91616766],0
p3,1,0.057366,3.611949,[18 52] ; [39 59],[23.75 46.25] ; [33.25 64.75],0
u2,1,0.082698,3.011063,[24 16] ; [24 33],[19.79381443 20.20618557] ; [28.20618557 28.79381443],0
d3,1,0.11319,2.509102,[39 31] ; [42 55],[33.95209581 36.04790419] ; [47.04790419 49.95209581],0
n1,1,0.158188,1.991465,[ 7 21] ; [12 16],[ 9.5 18.5] ; [ 9.5 18.5],0
d1,1,0.178528,1.809836,[23 47] ; [23 75],[19.16666667 50.83333333] ; [26.83333333 71.16666667],0
s3,1,0.179994,1.797677,[14 54] ; [29 68],[17.72121212 50.27878788] ; [25.27878788 71.72121212],0
s4,1,0.205903,1.6,[ 5 65] ; [13 85],[ 7.5 62.5] ; [10.5 87.5],0
a8,1,0.211707,1.559714,[ 5 63] ; [12 76],[ 7.41025641 60.58974359] ; [ 9.58974359 78.41025641],0
p2,1,0.217306,1.522072,[46 24] ; [73 25],[49.58333333 20.41666667] ; [69.41666667 28.58333333],0
n3,1,0.236724,1.4,[22  6] ; [18 10],[20.  8.] ; [20.  8.],0
p7,1,0.320933,0.985139,[31 39] ; [50 46],[34.15662651 35.84337349] ; [46.84337349 49.15662651],0
b5,1,0.381701,0.765217,[44 26] ; [55 43],[41.25 28.75] ; [57.75 40.25],0
s1,1,0.396214,0.719787,[ 4 66] ; [ 3 95],[ 2.91666667 67.08333333] ; [ 4.08333333 93.91666667],0
u3,1,0.399067,0.711134,[20 20] ; [24 34],[17.95918367 22.04081633] ; [26.04081633 31.95918367],0
v3,1,0.4476,0.576722,[18 50] ; [31 66],[20.19393939 47.80606061] ; [28.80606061 68.19393939],0
b4,1,0.456927,0.553412,[44 26] ; [56 42],[41.66666667 28.33333333] ; [58.33333333 39.66666667],0
n2,1,0.508813,0.436508,[15 12] ; [18 10],[16.2 10.8] ; [16.8 11.2],0
v4,1,0.515603,0.422681,[61  9] ; [81 16],[59.52095808 10.47904192] ; [82.47904192 14.52095808],0
r1,1,0.524071,0.405875,[41 29] ; [52 45],[38.98203593 31.01796407] ; [54.01796407 42.98203593],0
p11,1,0.580069,0.306122,[45 25] ; [67 31],[46.66666667 23.33333333] ; [65.33333333 32.66666667],0
s5,1,0.583161,0.301152,[10 55] ; [12 85],[ 8.82716049 56.17283951] ; [13.17283951 83.82716049],0
r4,1,0.585662,0.29717,[48 22] ; [71 27],[49.58333333 20.41666667] ; [69.41666667 28.58333333],0
r3,1,0.632326,0.22892,[59 11] ; [79 18],[57.84431138 12.15568862] ; [80.15568862 16.84431138],0
b2,1,0.636523,0.223319,[10 25] ; [18 36],[11.01123596 23.98876404] ; [16.98876404 37.01123596],0
b3,1,0.636523,0.223319,[10 25] ; [18 36],[11.01123596 23.98876404] ; [16.98876404 37.01123596],0
v2,1,0.645699,0.211366,[27 40] ; [40 51],[28.41139241 38.58860759] ; [38.58860759 52.41139241],0
p8,1,0.648888,0.207304,[25 45] ; [38 59],[26.40718563 43.59281437] ; [36.59281437 60.40718563],0
r2,1,0.661935,0.191181,[58 11] ; [79 18],[56.94578313 12.05421687] ; [80.05421687 16.94578313],0
d2,1,0.688457,0.160761,[17 53] ; [21 76],[15.92814371 54.07185629] ; [22.07185629 74.92814371],0
a4,1,0.688463,0.160754,[12 58] ; [19 78],[12.99401198 57.00598802] ; [18.00598802 78.99401198],0
p1,1,0.712099,0.13619,[ 4 66] ; [ 7 91],[ 4.58333333 65.41666667] ; [ 6.41666667 91.58333333],0
b1,1,0.743971,0.106667,[26 44] ; [34 64],[25. 45.] ; [35. 63.],0
a3,1,0.816345,0.053939,[30 39] ; [40 56],[29.27272727 39.72727273] ; [40.72727273 55.27272727],0
d5,1,0.853385,0.034151,[41 29] ; [56 42],[40.41666667 29.58333333] ; [56.58333333 41.41666667],0
s8,1,0.888683,0.019592,[12 58] ; [16 82],[11.66666667 58.33333333] ; [16.33333333 81.66666667],0
a1,1,0.938828,0.00589,[ 2 68] ; [ 3 95],[ 2.08333333 67.91666667] ; [ 2.91666667 95.08333333],0
s7,1,0.953407,0.003414,[13 56] ; [17 75],[12.85714286 56.14285714] ; [17.14285714 74.85714286],0
