Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.009785,6.6736,[29  3] ; [32 17],[24.09876543  7.90123457] ; [36.90123457 12.09876543],0
r4,1,0.010441,6.558074,[31  1] ; [37 12],[26.86419753  5.13580247] ; [41.13580247  7.86419753],0
b4,1,0.022442,5.211215,[22 10] ; [21 28],[16.98765432 15.01234568] ; [26.01234568 22.98765432],0
a5,1,0.026774,4.905312,[23  9] ; [23 26],[18.17283951 13.82716049] ; [27.82716049 21.17283951],0
s7,1,0.032444,4.574897,[23  8] ; [24 24],[18.44303797 12.55696203] ; [28.55696203 19.44303797],0
p9,1,0.057979,3.594266,[29  3] ; [36 13],[25.67901235  6.32098765] ; [39.32098765  9.67901235],0
s4,1,0.066819,3.35949,[10 22] ; [ 7 42],[ 6.71604938 25.28395062] ; [10.28395062 38.71604938],0
p8,1,0.079093,3.083447,[22 10] ; [24 25],[18.17283951 13.82716049] ; [27.82716049 21.17283951],0
p5,1,0.084884,2.968819,[ 7 25] ; [ 4 44],[ 4.4 27.6] ; [ 6.6 41.4],0
v4,1,0.09421,2.800926,[31  1] ; [41  7],[28.8  3.2] ; [43.2  4.8],0
r2,1,0.111725,2.529644,[30  2] ; [39  9],[27.6  4.4] ; [41.4  6.6],0
n6,1,0.11827,2.440087,[28  4] ; [35 13],[25.2  6.8] ; [37.8 10.2],0
p6,1,0.138417,2.195472,[15 17] ; [15 34],[11.85185185 20.14814815] ; [18.14814815 30.85185185],0
b2,1,0.142438,2.151421,[9 9] ; [10 24],[ 6.57692308 11.42307692] ; [12.42307692 21.57692308],0
b3,1,0.142438,2.151421,[9 9] ; [10 24],[ 6.57692308 11.42307692] ; [12.42307692 21.57692308],0
a7,1,0.143412,2.140959,[24  8] ; [29 20],[20.9382716 11.0617284] ; [32.0617284 16.9382716],0
p1,1,0.148329,2.089348,[ 7 25] ; [ 5 44],[ 4.74074074 27.25925926] ; [ 7.25925926 41.74074074],0
a3,1,0.170507,1.878479,[16 16] ; [32 17],[18.96296296 13.03703704] ; [29.03703704 19.96296296],0
p3,1,0.170507,1.878479,[16 16] ; [17 32],[13.03703704 18.96296296] ; [19.96296296 29.03703704],0
p10,1,0.185176,1.755583,[28  4] ; [37 12],[25.67901235  6.32098765] ; [39.32098765  9.67901235],0
s3,1,0.193227,1.692843,[29  2] ; [41  8],[27.125  3.875] ; [42.875  6.125],0
n5,1,0.233669,1.418386,[26  6] ; [34 15],[23.7037037  8.2962963] ; [36.2962963 12.7037037],0
p11,1,0.233669,1.418386,[26  6] ; [34 15],[23.7037037  8.2962963] ; [36.2962963 12.7037037],0
a4,1,0.248375,1.332418,[ 7 25] ; [ 6 43],[ 5.13580247 26.86419753] ; [ 7.86419753 41.13580247],0
p7,1,0.261858,1.258909,[23  9] ; [28 19],[20.65822785 11.34177215] ; [30.34177215 16.65822785],0
n4,1,0.268766,1.223034,[24  8] ; [31 18],[21.72839506 10.27160494] ; [33.27160494 15.72839506],0
s8,1,0.276959,1.18195,[17 15] ; [20 29],[14.61728395 17.38271605] ; [22.38271605 26.61728395],0
u3,1,0.280226,1.165992,[11  5] ; [8 8],[9.5 6.5] ; [9.5 6.5],0
a8,1,0.303048,1.060734,[ 4 27] ; [10 35],[ 5.71052632 25.28947368] ; [ 8.28947368 36.71052632],0
p12,1,0.317974,0.997262,[ 4 28] ; [ 3 46],[ 2.7654321 29.2345679] ; [ 4.2345679 44.7654321],0
d2,1,0.376904,0.780776,[10 22] ; [11 38],[ 8.2962963 23.7037037] ; [12.7037037 36.2962963],0
n3,1,0.376954,0.780612,[5 2] ; [5 5],[4.11764706 2.88235294] ; [5.88235294 4.11764706],0
v2,1,0.440304,0.595491,[15 16] ; [19 29],[13.34177215 17.65822785] ; [20.65822785 27.34177215],0
n2,1,0.452209,0.56511,[6 1] ; [7 3],[5.35294118 1.64705882] ; [7.64705882 2.35294118],0
s1,1,0.518196,0.417482,[ 2 30] ; [ 5 43],[ 2.8 29.2] ; [ 4.2 43.8],0
d1,1,0.522468,0.409019,[ 4 28] ; [ 4 45],[ 3.16049383 28.83950617] ; [ 4.83950617 44.16049383],0
a2,1,0.584771,0.298584,[ 3 29] ; [ 3 46],[ 2.37037037 29.62962963] ; [ 3.62962963 45.37037037],0
b5,1,0.588929,0.292021,[19 13] ; [32 17],[20.14814815 11.85185185] ; [30.85185185 18.14814815],0
p2,1,0.634772,0.225645,[25  7] ; [36 13],[24.09876543  7.90123457] ; [36.90123457 12.09876543],0
v1,1,0.648077,0.208333,[17 15] ; [23 25],[16. 16.] ; [24. 24.],0
a1,1,0.659702,0.193886,[ 2 30] ; [ 2 47],[ 1.58024691 30.41975309] ; [ 2.41975309 46.58024691],0
r3,1,0.687842,0.161432,[29  3] ; [43  6],[28.44444444  3.55555556] ; [43.55555556  5.44444444],0
a6,1,0.704304,0.144033,[19 13] ; [27 22],[18.17283951 13.82716049] ; [27.82716049 21.17283951],0
u2,1,0.718894,0.129555,[10  6] ; [9 7],[9.5 6.5] ; [9.5 6.5],0
p4,1,0.722023,0.126563,[17 15] ; [28 21],[17.77777778 14.22222222] ; [27.22222222 21.77777778],0
d4,1,0.796773,0.06632,[20 12] ; [32 17],[20.54320988 11.45679012] ; [31.45679012 17.54320988],0
r1,1,0.810596,0.057436,[23  9] ; [34 15],[22.51851852  9.48148148] ; [34.48148148 14.51851852],0
b1,1,0.919039,0.010332,[14 18] ; [22 27],[14.22222222 17.77777778] ; [21.77777778 27.22222222],0
d3,1,0.928448,0.008064,[16 16] ; [25 24],[16.19753086 15.80246914] ; [24.80246914 24.19753086],0
v3,1,0.94441,0.004862,[12 20] ; [18 31],[11.85185185 20.14814815] ; [18.14814815 30.85185185],0
n1,1,0.949272,0.004048,[2 5] ; [3 7],[2.05882353 4.94117647] ; [2.94117647 7.05882353],0
