Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000249,13.422705,[21 13] ; [18 54],[12.50943396 21.49056604] ; [26.49056604 45.50943396],1
p5,1,0.004162,8.211553,[ 5 28] ; [ 1 73],[ 1.85046729 31.14953271] ; [ 4.14953271 69.85046729],0
a5,1,0.006684,7.356037,[22 12] ; [28 48],[15.45454545 18.54545455] ; [34.54545455 41.45454545],0
p9,1,0.028755,4.782216,[26  7] ; [42 32],[20.97196262 12.02803738] ; [47.02803738 26.97196262],0
a3,1,0.029058,4.764158,[25  9] ; [39 37],[19.78181818 14.21818182] ; [44.21818182 31.78181818],0
p3,1,0.031221,4.640773,[11 21] ; [12 64],[ 6.81481481 25.18518519] ; [16.18518519 59.81481481],0
n2,1,0.049838,3.846893,[8 1] ; [18 16],[5.44186047 3.55813953] ; [20.55813953 13.44186047],0
v3,1,0.062239,3.476685,[ 9 24] ; [ 9 63],[ 5.65714286 27.34285714] ; [12.34285714 59.65714286],0
p11,1,0.069624,3.291857,[25  9] ; [42 34],[20.70909091 13.29090909] ; [46.29090909 29.70909091],0
p10,1,0.076673,3.134054,[23 10] ; [38 36],[18.81308411 14.18691589] ; [42.18691589 31.81308411],0
a2,1,0.094964,2.788149,[ 5 29] ; [ 4 72],[ 2.78181818 31.21818182] ; [ 6.21818182 69.78181818],0
r1,1,0.100917,2.690985,[24 10] ; [41 35],[20.09090909 13.90909091] ; [44.90909091 31.09090909],0
a4,1,0.113064,2.510868,[12 22] ; [16 60],[ 8.65454545 25.34545455] ; [19.34545455 56.65454545],0
s2,1,0.124295,2.36235,[ 8 26] ; [ 9 66],[ 5.30275229 28.69724771] ; [11.69724771 63.30275229],0
p2,1,0.14567,2.11702,[25  8] ; [46 29],[21.69444444 11.30555556] ; [49.30555556 25.69444444],0
u3,1,0.151489,2.057196,[7 2] ; [19 18],[5.08695652 3.91304348] ; [20.91304348 16.08695652],0
n5,1,0.17217,1.863943,[15 19] ; [23 52],[11.85321101 22.14678899] ; [26.14678899 48.85321101],0
s5,1,0.177968,1.814508,[ 5 29] ; [ 5 70],[ 3.11926606 30.88073394] ; [ 6.88073394 68.11926606],0
u1,1,0.224966,1.472409,[ 4 30] ; [ 4 72],[ 2.47272727 31.52727273] ; [ 5.52727273 70.47272727],0
n3,1,0.232228,1.427166,[7 2] ; [19 15],[5.44186047 3.55813953] ; [20.55813953 13.44186047],0
p8,1,0.23562,1.406612,[14 19] ; [23 52],[11.30555556 21.69444444] ; [25.69444444 49.30555556],0
d4,1,0.244925,1.352019,[26  8] ; [49 26],[23.39449541 10.60550459] ; [51.60550459 23.39449541],0
s4,1,0.258009,1.279406,[ 2 32] ; [10 66],[ 3.70909091 30.29090909] ; [ 8.29090909 67.70909091],0
r2,1,0.284585,1.145062,[29  5] ; [58 18],[26.89090909  7.10909091] ; [60.10909091 15.89090909],0
b1,1,0.302384,1.063652,[17 17] ; [30 46],[14.52727273 19.47272727] ; [32.47272727 43.52727273],0
b3,1,0.32949,0.9509,[ 7 13] ; [ 9 30],[ 5.42372881 14.57627119] ; [10.57627119 28.42372881],0
b2,1,0.32949,0.9509,[ 7 13] ; [ 9 30],[ 5.42372881 14.57627119] ; [10.57627119 28.42372881],0
n1,1,0.33211,0.940652,[1 8] ; [ 9 25],[2.09302326 6.90697674] ; [ 7.90697674 26.09302326],0
p4,1,0.375478,0.785455,[13 20] ; [23 52],[11. 22.] ; [25. 50.],0
r4,1,0.375548,0.785225,[24 10] ; [47 29],[21.94545455 12.05454545] ; [49.05454545 26.94545455],0
p7,1,0.38612,0.751126,[17 16] ; [31 42],[14.94339623 18.05660377] ; [33.05660377 39.94339623],0
s8,1,0.392912,0.72991,[ 5 29] ; [ 7 69],[ 3.70909091 30.29090909] ; [ 8.29090909 67.70909091],0
p1,1,0.4081,0.684329,[ 2 32] ; [ 2 73],[ 1.24770642 32.75229358] ; [ 2.75229358 72.24770642],0
d1,1,0.482773,0.492592,[14 20] ; [26 50],[12.36363636 21.63636364] ; [27.63636364 48.36363636],0
u2,1,0.493629,0.468607,[6 3] ; [20 17],[5.08695652 3.91304348] ; [20.91304348 16.08695652],0
a7,1,0.513578,0.42677,[20 14] ; [49 26],[21.52293578 12.47706422] ; [47.47706422 27.52293578],0
