Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.049563,3.85617,[28 11] ; [7 9],[24.81818182 14.18181818] ; [10.18181818  5.81818182],0
v4,1,0.049563,3.85617,[28 11] ; [7 9],[24.81818182 14.18181818] ; [10.18181818  5.81818182],0
v1,1,0.058452,3.580763,[15 24] ; [ 2 14],[12.05454545 26.94545455] ; [ 4.94545455 11.05454545],0
s8,1,0.066962,3.355968,[11 27] ; [ 1 15],[ 8.44444444 29.55555556] ; [ 3.55555556 12.44444444],0
v3,1,0.066962,3.355968,[11 27] ; [ 1 15],[ 8.44444444 29.55555556] ; [ 3.55555556 12.44444444],0
n4,1,0.071292,3.253019,[33  6] ; [10  6],[30.49090909  8.50909091] ; [12.50909091  3.49090909],0
p10,1,0.072797,3.218801,[21 18] ; [ 4 11],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
n3,1,0.100728,2.693981,[13 11] ; [2 7],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
s4,1,0.107515,2.590367,[ 5 34] ; [ 5 11],[ 7.09090909 31.90909091] ; [ 2.90909091 13.09090909],0
s3,1,0.1241,2.364792,[15 22] ; [ 3 13],[12.56603774 24.43396226] ; [ 5.43396226 10.56603774],0
n2,1,0.137987,2.200269,[18  7] ; [4 5],[16.17647059  8.82352941] ; [5.82352941 3.17647059],0
a3,1,0.141074,2.166209,[26 12] ; [7 8],[23.66037736 14.33962264] ; [9.33962264 5.66037736],0
s2,1,0.157755,1.995611,[12 27] ; [ 2 14],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],0
n1,1,0.169327,1.888889,[15 10] ; [3 6],[13.23529412 11.76470588] ; [4.76470588 4.23529412],0
p9,1,0.179759,1.799617,[21 16] ; [5 9],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
s6,1,0.23461,1.412693,[16 22] ; [ 4 12],[14.07407407 23.92592593] ; [ 5.92592593 10.07407407],0
r1,1,0.235467,1.407532,[19 20] ; [ 5 11],[17.01818182 21.98181818] ; [6.98181818 9.01818182],0
p8,1,0.236689,1.400206,[14 24] ; [ 3 12],[12.18867925 25.81132075] ; [ 4.81132075 10.18867925],0
d5,1,0.303071,1.06063,[23 16] ; [7 9],[21.27272727 17.72727273] ; [8.72727273 7.27272727],0
d3,1,0.308806,1.035777,[18 21] ; [ 5 11],[16.30909091 22.69090909] ; [6.69090909 9.30909091],0
d2,1,0.309547,1.032606,[20 18] ; [ 6 10],[18.2962963 19.7037037] ; [7.7037037 8.2962963],0
p12,1,0.33899,0.914247,[ 2 37] ; [ 2 14],[ 2.83636364 36.16363636] ; [ 1.16363636 14.83636364],0
d1,1,0.340315,0.909244,[15 24] ; [ 4 12],[13.47272727 25.52727273] ; [ 5.52727273 10.47272727],0
s7,1,0.375717,0.78467,[13 25] ; [ 3 11],[11.69230769 26.30769231] ; [4.30769231 9.69230769],0
b1,1,0.396203,0.719818,[22 17] ; [11  5],[23.4 15.6] ; [9.6 6.4],0
s5,1,0.46471,0.534528,[11 28] ; [ 3 13],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],0
u3,1,0.47433,0.511871,[ 3 10] ; [1 8],[ 2.36363636 10.63636364] ; [1.63636364 7.36363636],0
a1,1,0.484073,0.489672,[ 8 31] ; [ 2 14],[ 7.09090909 31.90909091] ; [ 2.90909091 13.09090909],0
p11,1,0.49793,0.459346,[16 23] ; [ 5 11],[14.89090909 24.10909091] ; [6.10909091 9.89090909],0
n6,1,0.507423,0.439377,[25 13] ; [9 7],[23.92592593 14.07407407] ; [10.07407407  5.92592593],0
a6,1,0.542177,0.371519,[23 16] ; [8 8],[21.98181818 17.01818182] ; [9.01818182 6.98181818],0
a7,1,0.556697,0.345456,[18 21] ; [ 6 10],[17.01818182 21.98181818] ; [6.98181818 9.01818182],0
p7,1,0.577962,0.309541,[11 26] ; [ 6 10],[11.86792453 25.13207547] ; [ 5.13207547 10.86792453],0
u2,1,0.59536,0.282051,[ 3 10] ; [3 6],[3.54545455 9.45454545] ; [2.45454545 6.54545455],0
p5,1,0.656771,0.19747,[ 7 31] ; [ 2 13],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
p4,1,0.742005,0.108372,[14 25] ; [ 5 11],[13.47272727 25.52727273] ; [ 5.52727273 10.47272727],0
p1,1,0.75929,0.093889,[ 6 33] ; [ 3 13],[ 6.38181818 32.61818182] ; [ 2.61818182 13.38181818],0
p3,1,0.767445,0.087449,[11 27] ; [ 4 12],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
p6,1,0.807541,0.059341,[ 9 30] ; [ 3 12],[ 8.66666667 30.33333333] ; [ 3.33333333 11.66666667],0
s1,1,0.808466,0.058761,[ 4 35] ; [ 2 14],[ 4.25454545 34.74545455] ; [ 1.74545455 14.25454545],0
a2,1,0.808466,0.058761,[ 4 35] ; [ 2 14],[ 4.25454545 34.74545455] ; [ 1.74545455 14.25454545],0
v2,1,0.820171,0.051677,[ 9 29] ; [ 4 11],[ 9.32075472 28.67924528] ; [ 3.67924528 11.32075472],0
b3,1,0.832506,0.044727,[12 18] ; [4 7],[11.70731707 18.29268293] ; [4.29268293 6.70731707],0
b2,1,0.832506,0.044727,[12 18] ; [4 7],[11.70731707 18.29268293] ; [4.29268293 6.70731707],0
b4,1,0.852416,0.03461,[23 16] ; [9 7],[22.69090909 16.30909091] ; [9.30909091 6.69090909],0
u1,1,0.867851,0.027685,[ 2 37] ; [ 1 15],[ 2.12727273 36.87272727] ; [ 0.87272727 15.12727273],0
a4,1,0.869092,0.027163,[13 24] ; [ 6 10],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
b5,1,0.931164,0.007462,[19 20] ; [8 8],[19.14545455 19.85454545] ; [7.85454545 8.14545455],0
d4,1,0.931164,0.007462,[19 20] ; [8 8],[19.14545455 19.85454545] ; [7.85454545 8.14545455],0
p2,1,0.946869,0.004441,[17 21] ; [7 9],[16.88888889 21.11111111] ; [7.11111111 8.88888889],0
