Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000918,10.986207,[39 20] ; [21 38],[30. 29.] ; [30. 29.],1
n6,1,0.003772,8.390328,[45 16] ; [56  4],[50.91735537 10.08264463] ; [50.08264463  9.91735537],0
v3,1,0.003932,8.31475,[29 29] ; [14 44],[21.5 36.5] ; [21.5 36.5],0
s4,1,0.015682,5.838143,[ 7 55] ; [17 42],[12.29752066 49.70247934] ; [11.70247934 47.29752066],0
a3,1,0.061967,3.483939,[44 18] ; [51  9],[48.27868852 13.72131148] ; [46.72131148 13.27868852],0
a6,1,0.069076,3.304839,[43 19] ; [32 28],[38.1147541 23.8852459] ; [36.8852459 23.1147541],0
a5,1,0.074164,3.18836,[51 11] ; [41 19],[46.75409836 15.24590164] ; [45.24590164 14.75409836],0
p4,1,0.102458,2.666855,[35 27] ; [25 35],[30.49180328 31.50819672] ; [29.50819672 30.49180328],0
r4,1,0.107997,2.583292,[56  6] ; [48 12],[52.85245902  9.14754098] ; [51.14754098  8.85245902],0
n5,1,0.123858,2.367849,[42 20] ; [48 12],[45.73770492 16.26229508] ; [44.26229508 15.73770492],0
b1,1,0.149499,2.07736,[21 41] ; [28 32],[24.90163934 37.09836066] ; [24.09836066 35.90163934],0
s2,1,0.195332,1.676937,[46 16] ; [38 22],[42.68852459 19.31147541] ; [41.31147541 18.68852459],0
b5,1,0.199212,1.648144,[45 17] ; [37 23],[41.67213115 20.32786885] ; [40.32786885 19.67213115],0
p8,1,0.20686,1.593266,[20 42] ; [13 46],[16.90909091 45.09090909] ; [16.09090909 42.90909091],0
d1,1,0.239906,1.381149,[36 26] ; [41 19],[39.13114754 22.86885246] ; [37.86885246 22.13114754],0
a8,1,0.262801,1.253942,[ 7 44] ; [ 4 52],[ 5.24299065 45.75700935] ; [ 5.75700935 50.24299065],0
d4,1,0.264101,1.247133,[49 13] ; [52  8],[51.32786885 10.67213115] ; [49.67213115 10.32786885],0
p2,1,0.269422,1.219687,[46 16] ; [39 21],[43.19672131 18.80327869] ; [41.80327869 18.19672131],0
a4,1,0.27435,1.194868,[29 33] ; [34 26],[32.01639344 29.98360656] ; [30.98360656 29.01639344],0
s6,1,0.29468,1.098116,[52 10] ; [45 14],[49.70247934 12.29752066] ; [47.29752066 11.70247934],0
u2,1,0.319806,0.989741,[11  6] ; [4 5],[9.80769231 7.19230769] ; [5.19230769 3.80769231],0
d2,1,0.333908,0.93368,[35 27] ; [39 21],[37.60655738 24.39344262] ; [36.39344262 23.60655738],0
n1,1,0.356356,0.850694,[11  5] ; [13 11],[9.6 6.4] ; [14.4  9.6],0
b3,1,0.374998,0.787037,[20 25] ; [14 26],[18. 27.] ; [16. 24.],0
b2,1,0.374998,0.787037,[20 25] ; [14 26],[18. 27.] ; [16. 24.],0
n3,1,0.393854,0.727011,[9 7] ; [16  7],[10.25641026  5.74358974] ; [14.74358974  8.25641026],0
n4,1,0.411356,0.674877,[48 14] ; [50 10],[49.80327869 12.19672131] ; [48.19672131 11.80327869],0
r2,1,0.421095,0.647257,[59  3] ; [54  5],[57.90082645  4.09917355] ; [55.09917355  3.90082645],0
s5,1,0.43966,0.597169,[19 39] ; [23 35],[21. 37.] ; [21. 37.],0
v4,1,0.449695,0.571421,[58  3] ; [55  5],[56.96694215  4.03305785] ; [56.03305785  3.96694215],0
p11,1,0.482962,0.492168,[40 22] ; [35 25],[38.1147541 23.8852459] ; [36.8852459 23.1147541],0
s1,1,0.491679,0.472849,[ 4 57] ; [ 6 54],[ 5.04132231 55.95867769] ; [ 4.95867769 55.04132231],0
r3,1,0.504183,0.446121,[57  5] ; [53  7],[55.90163934  6.09836066] ; [54.09836066  5.90163934],0
p5,1,0.508883,0.436364,[ 6 54] ; [ 4 56],[ 5. 55.] ; [ 5. 55.],0
a1,1,0.539602,0.376278,[ 1 61] ; [ 2 58],[ 1.52459016 60.47540984] ; [ 1.47540984 58.52459016],0
d5,1,0.543704,0.368718,[49 13] ; [50 10],[50.31147541 11.68852459] ; [48.68852459 11.31147541],0
u3,1,0.551149,0.355263,[12  6] ; [7 2],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
n2,1,0.573138,0.31746,[12  4] ; [16  8],[11.2  4.8] ; [16.8  7.2],0
p6,1,0.591255,0.288388,[16 46] ; [13 47],[14.73770492 47.26229508] ; [14.26229508 45.73770492],0
p1,1,0.614974,0.252995,[ 8 54] ; [ 6 54],[ 7.1147541 54.8852459] ; [ 6.8852459 53.1147541],0
s8,1,0.655768,0.198706,[39 22] ; [36 24],[37.80991736 23.19008264] ; [37.19008264 22.80991736],0
p3,1,0.703145,0.145221,[22 40] ; [19 40],[21.00826446 40.99173554] ; [19.99173554 39.00826446],0
a7,1,0.750257,0.101315,[43 19] ; [40 20],[42.18032787 19.81967213] ; [40.81967213 19.18032787],0
d3,1,0.750257,0.101315,[43 19] ; [40 20],[42.18032787 19.81967213] ; [40.81967213 19.18032787],0
r1,1,0.751801,0.100024,[50 12] ; [47 13],[49.29508197 12.70491803] ; [47.70491803 12.29508197],0
p12,1,0.767771,0.087197,[ 5 57] ; [ 4 56],[ 4.57377049 57.42622951] ; [ 4.42622951 55.57377049],0
p10,1,0.770786,0.084883,[44 18] ; [44 16],[44.72131148 17.27868852] ; [43.27868852 16.72131148],0
s3,1,0.891046,0.018764,[42 19] ; [42 18],[42.34710744 18.65289256] ; [41.65289256 18.34710744],0
p9,1,0.892058,0.018415,[50 12] ; [47 12],[49.70247934 12.29752066] ; [47.29752066 11.70247934],0
a2,1,0.906727,0.013728,[18 44] ; [18 42],[18.29508197 43.70491803] ; [17.70491803 42.29508197],0
u1,1,0.914008,0.011661,[16 46] ; [16 44],[16.26229508 45.73770492] ; [15.73770492 44.26229508],0
b4,1,0.965938,0.001824,[38 24] ; [37 23],[38.1147541 23.8852459] ; [36.8852459 23.1147541],0
u4,1,0.973402,0.001112,[ 2 60] ; [ 2 58],[ 2.03278689 59.96721311] ; [ 1.96721311 58.03278689],0
