Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.491142,[94  9] ; [21 19],[82.83216783 20.16783217] ; [32.16783217  7.83216783],1
r3,1,5e-06,20.99108,[92 11] ; [22 18],[82.11188811 20.88811189] ; [31.88811189  8.11188811],1
p9,1,9e-06,19.776253,[92 12] ; [20 17],[82.60992908 21.39007092] ; [29.39007092  7.60992908],1
p4,1,1e-05,19.529884,[63 40] ; [ 8 32],[51.13986014 51.86013986] ; [19.86013986 20.13986014],1
p10,1,6.2e-05,16.037058,[82 20] ; [18 21],[72.34042553 29.65957447] ; [27.65957447 11.34042553],1
p11,1,7.4e-05,15.700745,[84 20] ; [19 21],[74.38888889 29.61111111] ; [28.61111111 11.38888889],1
s6,1,0.000223,13.627888,[62 38] ; [11 29],[52.14285714 47.85714286] ; [20.85714286 19.14285714],1
r4,1,0.000277,13.221186,[71 33] ; [14 26],[61.38888889 42.61111111] ; [23.61111111 16.38888889],1
p7,1,0.000785,11.276471,[60 42] ; [11 29],[51. 51.] ; [20. 20.],1
p8,1,0.002168,9.401268,[49 53] ; [ 8 32],[40.94366197 61.05633803] ; [16.05633803 23.94366197],0
s3,1,0.004518,8.063003,[56 46] ; [11 28],[48.46808511 53.53191489] ; [18.53191489 20.46808511],0
p3,1,0.004911,7.912088,[53 51] ; [10 30],[45.5 58.5] ; [17.5 22.5],0
s7,1,0.005131,7.832745,[45 52] ; [ 8 31],[37.80147059 59.19852941] ; [15.19852941 23.80147059],0
s2,1,0.009329,6.758732,[48 56] ; [ 9 31],[41.16666667 62.83333333] ; [15.83333333 24.16666667],0
n6,1,0.010416,6.562246,[91 13] ; [27 12],[85.81818182 18.18181818] ; [32.18181818  6.81818182],0
p1,1,0.019559,5.450877,[ 7 97] ; [ 8 32],[10.83333333 93.16666667] ; [ 4.16666667 35.83333333],0
n3,1,0.029913,4.714286,[24  4] ; [9 7],[21.  7.] ; [12.  4.],0
v1,1,0.043289,4.084073,[48 52] ; [11 27],[42.75362319 57.24637681] ; [16.24637681 21.75362319],0
s5,1,0.04635,3.968833,[25 70] ; [ 4 34],[20.71428571 74.28571429] ; [ 8.28571429 29.71428571],0
p6,1,0.061979,3.483628,[37 63] ; [ 8 31],[32.37410072 67.62589928] ; [12.62589928 26.37410072],0
s8,1,0.070874,3.262657,[37 67] ; [ 8 32],[32.5 71.5] ; [12.5 27.5],0
v2,1,0.093181,2.818535,[51 52] ; [12 24],[46.68345324 56.31654676] ; [16.31654676 19.68345324],0
b2,1,0.114259,2.494297,[20 44] ; [14 15],[23.39784946 40.60215054] ; [10.60215054 18.39784946],0
b3,1,0.114259,2.494297,[20 44] ; [14 15],[23.39784946 40.60215054] ; [10.60215054 18.39784946],0
d2,1,0.119489,2.424011,[37 67] ; [19 19],[41.01408451 62.98591549] ; [14.98591549 23.01408451],0
a1,1,0.120924,2.405312,[ 7 97] ; [ 6 34],[ 9.38888889 94.61111111] ; [ 3.61111111 36.38888889],0
d5,1,0.136548,2.216434,[78 26] ; [25 15],[74.38888889 29.61111111] ; [28.61111111 11.38888889],0
p5,1,0.159159,1.982201,[14 90] ; [ 2 37],[11.63636364 92.36363636] ; [ 4.36363636 34.63636364],0
v3,1,0.205812,1.600642,[38 65] ; [10 29],[34.81690141 68.18309859] ; [13.18309859 25.81690141],0
u3,1,0.210596,1.567323,[13 23] ; [ 3 13],[11.07692308 24.92307692] ; [ 4.92307692 11.07692308],0
s1,1,0.219397,1.50831,[  3 100] ; [ 3 37],[ 4.32167832 98.67832168] ; [ 1.67832168 38.32167832],0
u1,1,0.248942,1.329231,[ 5 99] ; [ 4 36],[ 6.5 97.5] ; [ 2.5 37.5],0
r2,1,0.256256,1.288873,[81 18] ; [27 10],[78.61764706 20.38235294] ; [29.38235294  7.61764706],0
b5,1,0.297215,1.086647,[67 37] ; [22 18],[64.27777778 39.72222222] ; [24.72222222 15.27777778],0
d4,1,0.339527,0.912217,[76 28] ; [26 14],[73.66666667 30.33333333] ; [28.33333333 11.66666667],0
u2,1,0.403986,0.696429,[18 18] ; [ 6 10],[16.61538462 19.38461538] ; [7.38461538 8.61538462],0
d3,1,0.431417,0.619005,[57 47] ; [19 21],[54.88888889 49.11111111] ; [21.11111111 18.88888889],0
a5,1,0.43895,0.599025,[62 42] ; [21 19],[59.94444444 44.05555556] ; [23.05555556 16.94444444],0
a7,1,0.43895,0.599025,[62 42] ; [21 19],[59.94444444 44.05555556] ; [23.05555556 16.94444444],0
n2,1,0.469221,0.52381,[22  6] ; [11  5],[21.  7.] ; [12.  4.],0
n1,1,0.554536,0.349253,[11 16] ; [8 8],[11.93023256 15.06976744] ; [7.06976744 8.93023256],0
a8,1,0.615914,0.251652,[13 84] ; [ 4 35],[12.125 84.875] ; [ 4.875 34.125],0
a3,1,0.622055,0.24299,[67 37] ; [24 16],[65.72222222 38.27777778] ; [25.27777778 14.72222222],0
p12,1,0.691376,0.1576,[ 7 96] ; [ 2 38],[ 6.48251748 96.51748252] ; [ 2.51748252 37.48251748],0
b1,1,0.73597,0.113701,[41 63] ; [17 23],[41.88888889 62.11111111] ; [16.11111111 23.88888889],0
a4,1,0.749452,0.101992,[37 67] ; [15 24],[37.81818182 66.18181818] ; [14.18181818 24.81818182],0
a2,1,0.872751,0.025653,[12 92] ; [ 5 35],[12.27777778 91.72222222] ; [ 4.72222222 35.27777778],0
a6,1,0.883033,0.021646,[61 43] ; [24 16],[61.38888889 42.61111111] ; [23.61111111 16.38888889],0
