Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.2e-05,15.295951,[18 24] ; [81 25],[28.09459459 13.90540541] ; [70.90540541 35.09459459],1
b1,1,0.003794,8.379664,[27 16] ; [39 67],[19.04697987 23.95302013] ; [46.95302013 59.04697987],0
r4,1,0.003802,8.375828,[23 20] ; [82 24],[30.30201342 12.69798658] ; [74.69798658 31.30201342],0
p2,1,0.006423,7.427659,[19 22] ; [74 31],[26.11643836 14.88356164] ; [66.88356164 38.11643836],0
n4,1,0.007575,7.131328,[20 23] ; [74 32],[27.12751678 15.87248322] ; [66.87248322 39.12751678],0
p9,1,0.009667,6.69532,[21 21] ; [76 29],[27.71428571 14.28571429] ; [69.28571429 35.71428571],0
a1,1,0.009811,6.668948,[ 6 37] ; [  3 103],[ 2.59731544 40.40268456] ; [ 6.40268456 99.59731544],0
v4,1,0.014502,5.976017,[30 13] ; [92 14],[35.20805369  7.79194631] ; [86.79194631 19.20805369],0
p10,1,0.015795,5.825586,[18 23] ; [69 36],[24.43150685 16.56849315] ; [62.56849315 42.43150685],0
s5,1,0.016505,5.748296,[ 5 36] ; [32 69],[10.68309859 30.31690141] ; [26.31690141 74.68309859],0
p11,1,0.034417,4.473876,[24 19] ; [78 28],[29.43624161 13.56375839] ; [72.56375839 33.43624161],0
r3,1,0.035909,4.40142,[29 14] ; [88 18],[33.76510067  9.23489933] ; [83.23489933 22.76510067],0
u2,1,0.035926,4.400628,[12  9] ; [16 36],[ 8.05479452 12.94520548] ; [19.94520548 32.05479452],0
a5,1,0.065094,3.402603,[18 25] ; [62 44],[23.08724832 19.91275168] ; [56.91275168 49.08724832],0
p8,1,0.075293,3.163696,[11 31] ; [44 61],[15.71428571 26.28571429] ; [39.28571429 65.71428571],0
v2,1,0.080317,3.058481,[12 28] ; [47 55],[16.61971831 23.38028169] ; [42.38028169 59.61971831],0
a4,1,0.09559,2.777616,[10 33] ; [39 65],[14.33333333 28.66666667] ; [34.66666667 69.33333333],0
d5,1,0.13191,2.269885,[21 22] ; [66 40],[25.10738255 17.89261745] ; [61.89261745 44.10738255],0
a6,1,0.140742,2.169824,[15 28] ; [51 55],[19.04697987 23.95302013] ; [46.95302013 59.04697987],0
d3,1,0.156533,2.007406,[11 32] ; [40 66],[14.71812081 28.28187919] ; [36.28187919 69.71812081],0
d1,1,0.17766,1.817093,[12 31] ; [42 64],[15.58389262 27.41610738] ; [38.41610738 67.58389262],0
p3,1,0.179527,1.801532,[10 32] ; [37 68],[13.42857143 28.57142857] ; [33.57142857 71.42857143],0
s3,1,0.185329,1.754367,[17 25] ; [30 73],[13.6137931 28.3862069] ; [33.3862069 69.6137931],0
n1,1,0.223142,1.48405,[ 7 11] ; [ 7 24],[ 5.14285714 12.85714286] ; [ 8.85714286 22.14285714],0
b4,1,0.226469,1.462902,[23 20] ; [68 38],[26.26174497 16.73825503] ; [64.73825503 41.26174497],0
s1,1,0.240676,1.376629,[ 3 39] ; [  3 101],[ 1.7260274 40.2739726] ; [ 4.2739726 99.7260274],0
r1,1,0.254367,1.299161,[22 21] ; [65 41],[25.10738255 17.89261745] ; [61.89261745 44.10738255],0
p7,1,0.280726,1.16357,[18 23] ; [56 48],[20.92413793 20.07586207] ; [53.07586207 50.92413793],0
p5,1,0.324147,0.972141,[ 2 41] ; [10 95],[ 3.48648649 39.51351351] ; [ 8.51351351 96.48648649],0
s6,1,0.355474,0.853819,[15 28] ; [44 58],[17.49655172 25.50344828] ; [41.50344828 60.49655172],0
d4,1,0.363476,0.825847,[25 18] ; [70 36],[27.41610738 15.58389262] ; [67.58389262 38.41610738],0
a8,1,0.372897,0.793986,[ 2 40] ; [ 9 89],[ 3.3 38.7] ; [ 7.7 90.3],0
r2,1,0.380183,0.77011,[33  9] ; [88 16],[34.80821918  7.19178082] ; [86.19178082 17.80821918],0
u3,1,0.381098,0.767157,[ 9 12] ; [17 36],[ 7.37837838 13.62162162] ; [18.62162162 34.37837838],0
v1,1,0.432917,0.614985,[16 27] ; [46 58],[18.13605442 24.86394558] ; [43.86394558 60.13605442],0
n2,1,0.453453,0.562007,[14  4] ; [21 10],[12.85714286  5.14285714] ; [22.14285714  8.85714286],0
p1,1,0.522084,0.409775,[ 2 41] ; [ 8 98],[ 2.88590604 40.11409396] ; [ 7.11409396 98.88590604],0
s4,1,0.533855,0.387048,[ 6 37] ; [11 95],[ 4.90604027 38.09395973] ; [12.09395973 93.90604027],0
s2,1,0.581742,0.303426,[10 33] ; [20 84],[ 8.7755102 34.2244898] ; [21.2244898 82.7755102],0
s8,1,0.632713,0.2284,[ 6 37] ; [18 87],[ 6.97297297 36.02702703] ; [17.02702703 87.97297297],0
v3,1,0.646041,0.210929,[ 9 31] ; [27 76],[10.06993007 29.93006993] ; [25.93006993 77.06993007],0
p12,1,0.665982,0.186338,[ 1 41] ; [  4 101],[ 1.42857143 40.57142857] ; [  3.57142857 101.42857143],0
n3,1,0.696819,0.151803,[11  7] ; [20 10],[11.625  6.375] ; [19.375 10.625],0
b5,1,0.699531,0.14896,[20 23] ; [53 53],[21.06711409 21.93288591] ; [51.93288591 54.06711409],0
p6,1,0.720628,0.127892,[ 7 31] ; [22 82],[ 7.76056338 30.23943662] ; [21.23943662 82.76056338],0
p4,1,0.751956,0.099895,[15 26] ; [41 63],[15.83448276 25.16551724] ; [40.16551724 63.83448276],0
a2,1,0.804418,0.061322,[ 2 41] ; [  6 100],[ 2.30872483 40.69127517] ; [  5.69127517 100.30872483],0
d2,1,0.875234,0.024653,[18 25] ; [45 59],[18.42857143 24.57142857] ; [44.57142857 59.42857143],0
a3,1,0.939536,0.005754,[22 21] ; [53 52],[21.79054054 21.20945946] ; [53.20945946 51.79054054],0
b2,1,0.941406,0.005403,[ 8 17] ; [21 43],[ 8.14606742 16.85393258] ; [20.85393258 43.14606742],0
b3,1,0.941406,0.005403,[ 8 17] ; [21 43],[ 8.14606742 16.85393258] ; [20.85393258 43.14606742],0
