Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1.9e-05,18.295432,[49 12] ; [10 19],[39.98888889 21.01111111] ; [19.01111111  9.98888889],1
v4,1,0.000202,13.816404,[55  5] ; [17 12],[48.53932584 11.46067416] ; [23.46067416  5.53932584],1
p11,1,0.000209,13.752718,[45 16] ; [10 20],[36.86813187 24.13186813] ; [18.13186813 11.86813187],1
p6,1,0.000509,12.08074,[23 37] ; [ 1 28],[16.17977528 43.82022472] ; [ 7.82022472 21.17977528],1
p7,1,0.001562,10.004497,[38 22] ; [ 8 21],[31.01123596 28.98876404] ; [14.98876404 14.01123596],0
r3,1,0.001636,9.918398,[50 10] ; [15 14],[43.82022472 16.17977528] ; [21.17977528  7.82022472],0
p4,1,0.001735,9.810365,[31 30] ; [ 5 25],[24.13186813 36.86813187] ; [11.86813187 18.13186813],0
a1,1,0.006618,7.373701,[ 1 60] ; [ 5 25],[ 4.02197802 56.97802198] ; [ 1.97802198 28.02197802],0
b5,1,0.009007,6.821368,[40 21] ; [11 19],[34.18681319 26.81318681] ; [16.81318681 13.18681319],0
p8,1,0.015348,5.876124,[28 31] ; [ 6 23],[22.79545455 36.20454545] ; [11.20454545 17.79545455],0
s1,1,0.019885,5.421961,[ 1 59] ; [ 4 25],[ 3.37078652 56.62921348] ; [ 1.62921348 27.37078652],0
r4,1,0.027207,4.877637,[43 18] ; [14 16],[38.20879121 22.79120879] ; [18.79120879 11.20879121],0
p9,1,0.042793,4.103573,[39 22] ; [11 16],[34.65909091 26.34090909] ; [15.34090909 11.65909091],0
p3,1,0.05778,3.6,[24 36] ; [ 6 24],[20. 40.] ; [10. 20.],0
p10,1,0.083373,2.997884,[36 25] ; [11 17],[32.21348315 28.78651685] ; [14.78651685 13.21348315],0
d5,1,0.086747,2.933728,[25 35] ; [ 7 23],[21.33333333 38.66666667] ; [10.66666667 19.33333333],0
n3,1,0.12437,2.361404,[17  3] ; [8 5],[15.15151515  4.84848485] ; [9.84848485 3.15151515],0
s3,1,0.129279,2.301136,[19 41] ; [ 5 25],[16. 44.] ; [ 8. 22.],0
a7,1,0.133187,2.254954,[35 25] ; [12 17],[31.68539326 28.31460674] ; [15.31460674 13.68539326],0
s7,1,0.135381,2.229686,[11 45] ; [ 2 26],[ 8.66666667 47.33333333] ; [ 4.33333333 23.66666667],0
n5,1,0.140889,2.168217,[39 22] ; [23  6],[42.02222222 18.97777778] ; [19.97777778  9.02222222],0
r1,1,0.145853,2.115098,[31 30] ; [10 19],[27.78888889 33.21111111] ; [13.21111111 15.78888889],0
v2,1,0.154083,2.031361,[23 36] ; [ 6 20],[20.12941176 38.87058824] ; [ 8.87058824 17.12941176],0
s4,1,0.197249,1.662627,[ 7 54] ; [ 1 29],[ 5.36263736 55.63736264] ; [ 2.63736264 27.36263736],0
s2,1,0.197338,1.661965,[10 51] ; [ 2 28],[ 8.04395604 52.95604396] ; [ 3.95604396 26.04395604],0
n1,1,0.200628,1.637794,[ 7 13] ; [8 6],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
d3,1,0.209212,1.576871,[17 42] ; [ 5 25],[14.58426966 44.41573034] ; [ 7.41573034 22.58426966],0
v1,1,0.308604,1.036642,[25 36] ; [ 9 21],[22.79120879 38.20879121] ; [11.20879121 18.79120879],0
b4,1,0.325853,0.965309,[29 32] ; [11 19],[26.81318681 34.18681319] ; [13.18681319 16.81318681],0
b1,1,0.335322,0.928233,[26 35] ; [16 14],[28.15384615 32.84615385] ; [13.84615385 16.15384615],0
u2,1,0.392783,0.730309,[13 20] ; [ 4 11],[11.6875 21.3125] ; [5.3125 9.6875],0
p1,1,0.412595,0.671311,[10 51] ; [ 3 27],[ 8.71428571 52.28571429] ; [ 4.28571429 25.71428571],0
a6,1,0.413063,0.669966,[32 29] ; [13 17],[30.16483516 30.83516484] ; [14.83516484 15.16483516],0
d2,1,0.466988,0.529094,[14 47] ; [ 9 21],[15.41758242 45.58241758] ; [ 7.58241758 22.41758242],0
b2,1,0.47987,0.49916,[11 22] ; [ 9 12],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],0
b3,1,0.47987,0.49916,[11 22] ; [ 9 12],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],0
r2,1,0.498614,0.457886,[50 11] ; [22  7],[48.8 12.2] ; [23.2  5.8],0
u3,1,0.508883,0.436364,[10 23] ; [6 9],[11. 22.] ; [ 5. 10.],0
v3,1,0.568144,0.325797,[14 47] ; [ 8 20],[15.07865169 45.92134831] ; [ 6.92134831 21.07865169],0
a4,1,0.58195,0.303092,[15 46] ; [ 9 21],[16.08791209 44.91208791] ; [ 7.91208791 22.08791209],0
u1,1,0.604361,0.268469,[ 1 60] ; [ 1 29],[ 1.34065934 59.65934066] ; [ 0.65934066 29.34065934],0
a3,1,0.605305,0.267069,[28 33] ; [15 14],[29.14444444 31.85555556] ; [13.85555556 15.14444444],0
a5,1,0.605761,0.266393,[27 34] ; [15 15],[28.15384615 32.84615385] ; [13.84615385 16.15384615],0
s8,1,0.668303,0.183594,[ 8 53] ; [ 3 27],[ 7.37362637 53.62637363] ; [ 3.62637363 26.37362637],0
d1,1,0.728847,0.120173,[ 3 58] ; [ 1 29],[ 2.68131868 58.31868132] ; [ 1.31868132 28.68131868],0
p12,1,0.728847,0.120173,[ 3 58] ; [ 1 29],[ 2.68131868 58.31868132] ; [ 1.31868132 28.68131868],0
a2,1,0.796799,0.066302,[ 5 56] ; [ 2 28],[ 4.69230769 56.30769231] ; [ 2.30769231 27.69230769],0
n2,1,0.833497,0.044192,[14  6] ; [10  5],[13.71428571  6.28571429] ; [10.28571429  4.71428571],0
n4,1,0.863733,0.029455,[39 22] ; [18 11],[38.63333333 22.36666667] ; [18.36666667 10.63333333],0
a8,1,0.94925,0.004051,[ 4 51] ; [ 2 27],[ 3.92857143 51.07142857] ; [ 2.07142857 26.92857143],0
