Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.6e-05,18.644989,[78 28] ; [13 25],[66.98611111 39.01388889] ; [24.01388889 13.98611111],1
p6,1,0.000292,13.120707,[58 47] ; [ 8 30],[48.46153846 56.53846154] ; [17.53846154 20.46153846],1
s3,1,0.001374,10.240609,[70 35] ; [14 24],[61.67832168 43.32167832] ; [22.32167832 15.67832168],0
s4,1,0.010039,6.627969,[26 80] ; [ 2 36],[20.61111111 85.38888889] ; [ 7.38888889 30.61111111],0
p11,1,0.017288,5.666907,[87 19] ; [24 14],[81.70833333 24.29166667] ; [29.29166667  8.70833333],0
s5,1,0.021587,5.278744,[50 52] ; [ 9 25],[44.25 57.75] ; [14.75 19.25],0
p2,1,0.029894,4.715386,[91 14] ; [27 11],[86.64335664 18.35664336] ; [31.35664336  6.64335664],0
b5,1,0.031301,4.636386,[40 66] ; [22 16],[45.63888889 60.36111111] ; [16.36111111 21.63888889],0
p10,1,0.043216,4.086928,[88 17] ; [26 12],[83.70629371 21.29370629] ; [30.29370629  7.70629371],0
v1,1,0.051419,3.794564,[60 44] ; [14 22],[54.97142857 49.02857143] ; [19.02857143 16.97142857],0
b4,1,0.061118,3.506796,[51 55] ; [25 13],[55.94444444 50.05555556] ; [20.05555556 17.94444444],0
v2,1,0.078983,3.085714,[57 48] ; [13 22],[52.5 52.5] ; [17.5 17.5],0
d3,1,0.08674,2.933854,[59 47] ; [15 23],[54.47222222 51.52777778] ; [19.52777778 18.47222222],0
p5,1,0.100711,2.694247,[24 81] ; [ 4 34],[20.55944056 84.44055944] ; [ 7.44055944 30.55944056],0
v3,1,0.114653,2.488889,[49 56] ; [11 24],[45. 60.] ; [15. 20.],0
a4,1,0.136272,2.219553,[46 59] ; [22 16],[49.93006993 55.06993007] ; [18.06993007 19.93006993],0
u1,1,0.180098,1.796814,[  3 103] ; [ 3 35],[  4.41666667 101.58333333] ; [ 1.58333333 36.41666667],0
s1,1,0.184437,1.761503,[  3 102] ; [ 3 35],[  4.40559441 100.59440559] ; [ 1.59440559 36.40559441],0
n3,1,0.226238,1.46436,[18  6] ; [6 5],[16.45714286  7.54285714] ; [7.54285714 3.45714286],0
n1,1,0.327929,0.957058,[11 13] ; [7 4],[12.34285714 11.65714286] ; [5.65714286 5.34285714],0
s2,1,0.379279,0.773037,[59 47] ; [18 20],[56.68055556 49.31944444] ; [20.31944444 17.68055556],0
d2,1,0.403261,0.698581,[53 53] ; [22 16],[55.20833333 50.79166667] ; [19.79166667 18.20833333],0
s7,1,0.412497,0.671593,[64 39] ; [19 16],[61.94927536 41.05072464] ; [21.05072464 13.94927536],0
r4,1,0.441483,0.592424,[87 19] ; [29  9],[85.38888889 20.61111111] ; [30.61111111  7.38888889],0
a5,1,0.450424,0.569585,[74 32] ; [24 14],[72.13888889 33.86111111] ; [25.86111111 12.13888889],0
a8,1,0.452763,0.563725,[12 90] ; [ 6 30],[13.30434783 88.69565217] ; [ 4.69565217 31.30434783],0
a1,1,0.456344,0.554848,[  6 100] ; [ 1 37],[  5.15277778 100.84722222] ; [ 1.84722222 36.15277778],0
s8,1,0.482769,0.492602,[60 46] ; [19 19],[58.15277778 47.84722222] ; [20.84722222 17.15277778],0
u2,1,0.491251,0.473785,[16 15] ; [7 4],[16.97619048 14.02380952] ; [6.02380952 4.97619048],0
