Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.5e-05,18.77983,[31 22] ; [74  8],[41.22222222 11.77777778] ; [63.77777778 18.22222222],1
p9,1,3.1e-05,17.374249,[22 25] ; [68 15],[32.53846154 14.46153846] ; [57.46153846 25.53846154],1
p10,1,0.000193,13.893496,[21 30] ; [61 22],[31.20895522 19.79104478] ; [50.79104478 32.20895522],1
p11,1,0.000919,10.983466,[24 29] ; [61 22],[33.125 19.875] ; [51.875 31.125],1
r3,1,0.003506,8.5237,[32 21] ; [68 14],[39.25925926 13.74074074] ; [60.74074074 21.25925926],0
p7,1,0.004186,8.201168,[11 42] ; [36 44],[18.72932331 34.27067669] ; [28.27067669 51.72932331],0
p8,1,0.008812,6.860606,[ 9 43] ; [31 49],[15.75757576 36.24242424] ; [24.24242424 55.75757576],0
s3,1,0.009822,6.666967,[12 40] ; [37 45],[19.01492537 32.98507463] ; [29.98507463 52.01492537],0
s6,1,0.012856,6.188767,[15 38] ; [40 40],[21.91729323 31.08270677] ; [33.08270677 46.91729323],0
s2,1,0.014578,5.966705,[11 42] ; [34 49],[17.53676471 35.46323529] ; [27.46323529 55.53676471],0
b1,1,0.015585,5.849064,[29 24] ; [28 55],[22.21323529 30.78676471] ; [34.78676471 48.21323529],0
r4,1,0.031636,4.618098,[20 33] ; [47 36],[26.11029412 26.88970588] ; [40.88970588 42.11029412],0
s4,1,0.032689,4.562008,[ 6 47] ; [22 61],[10.91176471 42.08823529] ; [17.08823529 65.91176471],0
p4,1,0.038899,4.26527,[10 43] ; [29 53],[15.31111111 37.68888889] ; [23.68888889 58.31111111],0
p6,1,0.061903,3.485648,[ 7 45] ; [22 59],[11.33834586 40.66165414] ; [17.66165414 63.33834586],0
a1,1,0.080167,3.061505,[ 7 46] ; [ 4 79],[ 4.28676471 48.71323529] ; [ 6.71323529 76.28676471],0
n3,1,0.096321,2.765432,[10 10] ; [26 10],[12.85714286  7.14285714] ; [23.14285714 12.85714286],0
r2,1,0.107551,2.589844,[33 17] ; [63 17],[36.92307692 13.07692308] ; [59.07692308 20.92307692],0
n6,1,0.108642,2.573861,[32 21] ; [61 22],[36.24264706 16.75735294] ; [56.75735294 26.24264706],0
n2,1,0.12465,2.357895,[11  9] ; [27  9],[13.57142857  6.42857143] ; [24.42857143 11.57142857],0
s1,1,0.137284,2.208144,[ 3 50] ; [ 1 81],[ 1.57037037 51.42962963] ; [ 2.42962963 79.57037037],0
a2,1,0.149759,2.074704,[ 7 46] ; [ 5 78],[ 4.67647059 48.32352941] ; [ 7.32352941 75.67647059],0
u1,1,0.159535,1.978632,[ 5 48] ; [ 3 80],[ 3.11764706 49.88235294] ; [ 4.88235294 78.11764706],0
n1,1,0.167189,1.907965,[ 9 10] ; [10 25],[ 6.68518519 12.31481481] ; [12.31481481 22.68518519],0
s5,1,0.168626,1.895117,[ 7 46] ; [18 61],[10.03787879 42.96212121] ; [14.96212121 64.03787879],0
v2,1,0.182827,1.774489,[13 35] ; [32 51],[16.48854962 31.51145038] ; [28.51145038 54.48854962],0
a8,1,0.189224,1.723647,[ 3 49] ; [10 68],[ 5.2 46.8] ; [ 7.8 70.2],0
d2,1,0.194131,1.685984,[24 28] ; [29 54],[20.41481481 31.58518519] ; [32.58518519 50.41481481],0
b2,1,0.219016,1.510807,[16 20] ; [13 29],[13.38461538 22.61538462] ; [15.61538462 26.38461538],0
b3,1,0.219016,1.510807,[16 20] ; [13 29],[13.38461538 22.61538462] ; [15.61538462 26.38461538],0
s7,1,0.264749,1.243752,[10 40] ; [23 57],[12.69230769 37.30769231] ; [20.30769231 59.69230769],0
s8,1,0.266263,1.235899,[ 8 45] ; [19 64],[10.52205882 42.47794118] ; [16.47794118 66.52205882],0
a5,1,0.316343,1.004006,[27 26] ; [35 48],[24.16176471 28.83823529] ; [37.83823529 45.16176471],0
