Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.9e-05,16.911425,[ 7 71] ; [16 23],[15.33333333 62.66666667] ; [ 7.66666667 31.33333333],1
p8,1,8.7e-05,15.39437,[11 68] ; [18 20],[19.58119658 59.41880342] ; [ 9.41880342 28.58119658],1
p3,1,0.000164,14.204483,[16 62] ; [21 17],[24.87931034 53.12068966] ; [12.12068966 25.87931034],1
a2,1,0.003793,8.380411,[28 51] ; [ 4 35],[21.42372881 57.57627119] ; [10.57627119 28.42372881],0
s3,1,0.006652,7.364672,[27 50] ; [24 15],[33.85344828 43.14655172] ; [17.14655172 21.85344828],0
d3,1,0.017514,5.644125,[60 19] ; [20 17],[54.48275862 24.51724138] ; [25.51724138 11.48275862],0
s2,1,0.022894,5.176516,[25 53] ; [21 18],[30.66666667 47.33333333] ; [15.33333333 23.66666667],0
a4,1,0.025579,4.984228,[41 37] ; [12 27],[35.33333333 42.66666667] ; [17.66666667 21.33333333],0
v2,1,0.039719,4.22985,[34 41] ; [25 13],[39.15929204 35.84070796] ; [19.84070796 18.15929204],0
a8,1,0.046294,3.970873,[ 6 67] ; [ 8 29],[ 9.29090909 63.70909091] ; [ 4.70909091 32.29090909],0
p10,1,0.0522,3.769355,[43 34] ; [29 10],[47.79310345 29.20689655] ; [24.20689655 14.79310345],0
d2,1,0.072988,3.214506,[44 35] ; [14 23],[39.5 39.5] ; [18.5 18.5],0
u1,1,0.075184,3.166042,[19 60] ; [ 4 35],[15.39830508 63.60169492] ; [ 7.60169492 31.39830508],0
n5,1,0.081019,3.044349,[48 31] ; [30  9],[52.22033898 26.77966102] ; [25.77966102 13.22033898],0
v1,1,0.092121,2.836912,[23 53] ; [18 21],[27.09565217 48.90434783] ; [13.90434783 25.09565217],0
n2,1,0.103237,2.654815,[17 13] ; [10  2],[19.28571429 10.71428571] ; [7.71428571 4.28571429],0
b4,1,0.127646,2.320898,[52 27] ; [20 19],[48.20338983 30.79661017] ; [23.79661017 15.20338983],0
p5,1,0.134778,2.236593,[ 4 73] ; [ 5 33],[ 6.02608696 70.97391304] ; [ 2.97391304 35.02608696],0
s1,1,0.135348,2.230063,[ 4 75] ; [ 5 34],[ 6.02542373 72.97457627] ; [ 2.97457627 36.02542373],0
p9,1,0.184547,1.760618,[45 31] ; [28 11],[48.24347826 27.75652174] ; [24.75652174 14.24347826],0
s7,1,0.193508,1.690706,[25 51] ; [16 19],[28.07207207 47.92792793] ; [12.92792793 22.07207207],0
a1,1,0.203006,1.620612,[10 69] ; [ 2 37],[ 8.03389831 70.96610169] ; [ 3.96610169 35.03389831],0
p4,1,0.21354,1.54726,[20 58] ; [14 24],[22.86206897 55.13793103] ; [11.13793103 26.86206897],0
