Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.728304,[ 5 33] ; [68 48],[18.01298701 19.98701299] ; [54.98701299 61.01298701],1
d2,1,5e-06,21.003641,[ 8 30] ; [74 42],[20.23376623 17.76623377] ; [61.76623377 54.23376623],1
a3,1,2.9e-05,17.468119,[18 20] ; [95 21],[27.88311688 10.11688312] ; [85.11688312 30.88311688],1
d1,1,0.001477,10.106624,[16 22] ; [82 34],[24.18181818 13.81818182] ; [73.81818182 42.18181818],0
n4,1,0.001966,9.58112,[23 15] ; [97 18],[29.80392157  8.19607843] ; [90.19607843 24.80392157],0
u1,1,0.017359,5.65971,[ 2 36] ; [26 90],[ 6.90909091 31.09090909] ; [21.09090909 94.90909091],0
d5,1,0.022004,5.245446,[26 12] ; [98 17],[30.79738562  7.20261438] ; [93.20261438 21.79738562],0
a6,1,0.029786,4.721594,[17 21] ; [75 41],[22.7012987 15.2987013] ; [69.2987013 46.7012987],0
n6,1,0.0356,4.41615,[28 10] ; [102  14],[32.07792208  5.92207792] ; [97.92207792 18.07792208],0
p7,1,0.036277,4.384023,[19 18] ; [80 34],[24.25827815 12.74172185] ; [74.74172185 39.25827815],0
p3,1,0.076166,3.144873,[15 23] ; [65 51],[19.74025974 18.25974026] ; [60.25974026 55.74025974],0
p11,1,0.078915,3.087114,[26 12] ; [95 21],[29.85714286  8.14285714] ; [91.14285714 24.85714286],0
s5,1,0.081982,3.025163,[10 25] ; [51 62],[14.42567568 20.57432432] ; [46.57432432 66.42567568],0
p9,1,0.094295,2.799479,[31  7] ; [106  10],[33.80519481  4.19480519] ; [103.19480519  12.80519481],0
d4,1,0.094406,2.797585,[27 11] ; [96 19],[30.54901961  7.45098039] ; [92.45098039 22.54901961],0
n5,1,0.10374,2.647089,[26 12] ; [94 22],[29.61038961  8.38961039] ; [90.38961039 25.61038961],0
p12,1,0.107927,2.584316,[ 1 37] ; [ 13 102],[ 3.47712418 34.52287582] ; [ 10.52287582 104.47712418],0
b3,1,0.117486,2.450525,[ 6 15] ; [39 43],[ 9.17475728 11.82524272] ; [35.82524272 46.17475728],0
b2,1,0.117486,2.450525,[ 6 15] ; [39 43],[ 9.17475728 11.82524272] ; [35.82524272 46.17475728],0
n3,1,0.161077,1.964085,[4 5] ; [23 10],[5.78571429 3.21428571] ; [21.21428571 11.78571429],0
p10,1,0.176263,1.828856,[30  8] ; [101  14],[32.53594771  5.46405229] ; [98.46405229 16.53594771],0
u2,1,0.228101,1.452664,[15  5] ; [12  9],[13.17073171  6.82926829] ; [13.82926829  7.17073171],0
s6,1,0.267741,1.228283,[31  7] ; [101  13],[33.  5.] ; [99. 15.],0
p6,1,0.295508,1.094358,[14 24] ; [54 62],[16.77922078 21.22077922] ; [51.22077922 64.77922078],0
r4,1,0.314983,1.009664,[33  5] ; [107   9],[34.54545455  3.45454545] ; [105.45454545  10.54545455],0
v1,1,0.327582,0.958435,[15 23] ; [54 57],[17.59731544 20.40268456] ; [51.40268456 59.59731544],0
b5,1,0.339685,0.911621,[24 14] ; [63 53],[21.46753247 16.53246753] ; [65.53246753 50.46753247],0
r2,1,0.366153,0.816677,[34  4] ; [107   7],[35.25  2.75] ; [105.75   8.25],0
p5,1,0.368438,0.808925,[ 4 32] ; [20 95],[ 5.7218543 30.2781457] ; [18.2781457 96.7218543],0
r1,1,0.390848,0.736302,[29  9] ; [95 20],[30.79738562  7.20261438] ; [93.20261438 21.79738562],0
n2,1,0.392113,0.73238,[5 4] ; [24 10],[6.06976744 2.93023256] ; [22.93023256 11.06976744],0
s2,1,0.508262,0.437643,[27 11] ; [75 40],[25.33333333 12.66666667] ; [76.66666667 38.33333333],0
b4,1,0.515015,0.423864,[18 20] ; [62 54],[19.74025974 18.25974026] ; [60.25974026 55.74025974],0
