Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,70.296416,[68 43] ; [ 15 123],[37. 74.] ; [46. 92.],1
p2,1,0.0,26.384314,[95 17] ; [75 63],[76.16 35.84] ; [93.84 44.16],1
s6,1,4.6e-05,16.62244,[80 31] ; [63 73],[64.26315789 46.73684211] ; [78.73684211 57.26315789],1
r4,1,7.3e-05,15.725061,[101  11] ; [96 42],[88.256 23.744] ; [108.744  29.256],1
p8,1,8.5e-05,15.444423,[42 69] ; [ 22 116],[28.53012048 82.46987952] ; [ 35.46987952 102.53012048],1
s7,1,0.000189,13.93566,[56 47] ; [41 94],[41.9789916 61.0210084] ; [55.0210084 79.9789916],1
p6,1,0.000189,13.933018,[28 82] ; [ 11 126],[17.36842105 92.63157895] ; [ 21.63157895 115.36842105],1
d1,1,0.000326,12.91192,[75 37] ; [61 77],[60.928 51.072] ; [75.072 62.928],1
n4,1,0.000388,12.588301,[106   6] ; [109  29],[96.32 15.68] ; [118.68  19.32],1
r3,1,0.000506,12.092707,[105   7] ; [106  30],[95.29032258 16.70967742] ; [115.70967742  20.29032258],1
d5,1,0.000845,11.139808,[94 18] ; [90 48],[82.432 29.568] ; [101.568  36.432],1
s8,1,0.000846,11.137704,[52 58] ; [ 37 101],[39.47580645 70.52419355] ; [49.52419355 88.47580645],1
s2,1,0.001544,10.024965,[60 49] ; [47 88],[47.79918033 61.20081967] ; [59.20081967 75.79918033],0
v1,1,0.00182,9.72229,[59 48] ; [47 87],[47.06224066 59.93775934] ; [58.93775934 75.06224066],0
v4,1,0.002336,9.265117,[106   6] ; [113  25],[98.112 13.888] ; [120.888  17.112],0
d3,1,0.00279,8.939758,[80 32] ; [73 65],[68.544 43.456] ; [84.456 53.544],0
n6,1,0.003211,8.683555,[105   7] ; [111  26],[97.15662651 14.84337349] ; [118.84337349  18.15662651],0
d2,1,0.003603,8.473941,[70 41] ; [60 75],[58.65853659 52.34146341] ; [71.34146341 63.65853659],0
p9,1,0.004174,8.206329,[95 15] ; [96 39],[85.75510204 24.24489796] ; [105.24489796  29.75510204],0
v2,1,0.004248,8.174547,[59 50] ; [46 83],[48.08823529 60.91176471] ; [56.91176471 72.08823529],0
a1,1,0.011482,6.389219,[  2 110] ; [ 13 125],[  6.72 105.28] ; [  8.28 129.72],0
p5,1,0.024079,5.088963,[12 98] ; [  5 133],[  7.54032258 102.45967742] ; [  9.45967742 128.54032258],0
p10,1,0.024674,5.046608,[88 23] ; [91 46],[80.11693548 30.88306452] ; [98.88306452 38.11693548],0
d4,1,0.031554,4.622579,[91 21] ; [95 42],[83.6626506 28.3373494] ; [102.3373494  34.6626506],0
u1,1,0.035409,4.425367,[25 87] ; [ 17 121],[18.816 93.184] ; [ 23.184 114.816],0
u2,1,0.04553,3.998907,[19 13] ; [18 31],[14.61728395 17.38271605] ; [22.38271605 26.61728395],0
a7,1,0.047513,3.927138,[82 30] ; [84 53],[74.66666667 37.33333333] ; [91.33333333 45.66666667],0
a4,1,0.051552,3.790241,[60 52] ; [56 80],[52.38709677 59.61290323] ; [63.61290323 72.38709677],0
s3,1,0.056863,3.6266,[61 48] ; [59 76],[53.60655738 55.39344262] ; [66.39344262 68.60655738],0
p12,1,0.065433,3.394017,[14 98] ; [  8 129],[  9.89558233 102.10441767] ; [ 12.10441767 124.89558233],0
r2,1,0.078702,3.091496,[104   7] ; [120  18],[99.85542169 11.14457831] ; [124.14457831  13.85542169],0
n1,1,0.084179,2.982304,[16 10] ; [23 33],[12.36585366 13.63414634] ; [26.63414634 29.36585366],0
r1,1,0.094482,2.796299,[84 28] ; [90 48],[77.952 34.048] ; [96.048 41.952],0
a5,1,0.101407,2.683272,[86 26] ; [93 45],[80.192 31.808] ; [98.808 39.192],0
u4,1,0.150719,2.064954,[  5 107] ; [  2 136],[  3.136 108.864] ; [  3.864 134.136],0
p11,1,0.151181,2.060299,[84 28] ; [92 46],[78.848 33.152] ; [97.152 40.848],0
s5,1,0.156135,2.01127,[28 77] ; [ 25 107],[23.48101266 81.51898734] ; [ 29.51898734 102.48101266],0
s1,1,0.221625,1.493818,[  8 103] ; [  5 130],[  5.86585366 105.13414634] ; [  7.13414634 127.86585366],0
n3,1,0.251762,1.313502,[19  7] ; [33 22],[16.69135802  9.30864198] ; [35.30864198 19.69135802],0
b5,1,0.26621,1.236173,[75 37] ; [83 55],[70.784 41.216] ; [87.216 50.784],0
v3,1,0.311987,1.022247,[39 67] ; [41 93],[35.33333333 70.66666667] ; [44.66666667 89.33333333],0
a3,1,0.313873,1.01431,[80 32] ; [89 47],[76.32258065 35.67741935] ; [92.67741935 43.32258065],0
u3,1,0.412553,0.67143,[18 14] ; [23 26],[16.19753086 15.80246914] ; [24.80246914 24.19753086],0
b4,1,0.44828,0.574996,[67 45] ; [89 49],[69.888 42.112] ; [86.112 51.888],0
b1,1,0.491069,0.474184,[47 65] ; [52 86],[44.352 67.648] ; [54.648 83.352],0
a2,1,0.657188,0.196958,[27 85] ; [ 30 108],[25.536 86.464] ; [ 31.464 106.536],0
a8,1,0.695746,0.152936,[11 85] ; [ 13 119],[10.10526316 85.89473684] ; [ 13.89473684 118.10526316],0
p1,1,0.734498,0.115022,[ 12 100] ; [ 13 125],[ 11.2 100.8] ; [ 13.8 124.2],0
s4,1,0.811298,0.057002,[15 95] ; [ 20 116],[15.6504065 94.3495935] ; [ 19.3495935 116.6504065],0
b3,1,0.846062,0.037692,[28 44] ; [28 47],[27.42857143 44.57142857] ; [28.57142857 46.42857143],0
b2,1,0.846062,0.037692,[28 44] ; [28 47],[27.42857143 44.57142857] ; [28.57142857 46.42857143],0
n2,1,0.913759,0.011729,[19  7] ; [41 16],[18.79518072  7.20481928] ; [41.20481928 15.79518072],0
a6,1,0.921069,0.009818,[74 38] ; [92 46],[74.368 37.632] ; [91.632 46.368],0
