Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.9e-05,15.355196,[23 44] ; [30 11],[32.87962963 34.12037037] ; [20.12037037 20.87962963],1
p10,1,0.000455,12.292546,[30 35] ; [33  8],[38.63207547 26.36792453] ; [24.36792453 16.63207547],1
p9,1,0.00047,12.229412,[33 33] ; [35  7],[41.55555556 24.44444444] ; [26.44444444 15.55555556],1
p2,1,0.003761,8.395701,[40 28] ; [35  6],[46.78899083 21.21100917] ; [28.21100917 12.78899083],0
p6,1,0.01199,6.312405,[10 57] ; [15 27],[15.36697248 51.63302752] ; [ 9.63302752 32.36697248],0
p11,1,0.014752,5.945829,[36 32] ; [32 10],[42.03636364 25.96363636] ; [25.96363636 16.03636364],0
p3,1,0.021737,5.266745,[17 51] ; [19 22],[22.4587156 45.5412844] ; [13.5412844 27.4587156],0
b3,1,0.024563,5.054448,[15 31] ; [ 2 22],[11.17142857 34.82857143] ; [ 5.82857143 18.17142857],0
b2,1,0.024563,5.054448,[15 31] ; [ 2 22],[11.17142857 34.82857143] ; [ 5.82857143 18.17142857],0
a7,1,0.028059,4.824426,[27 40] ; [26 16],[32.57798165 34.42201835] ; [20.42201835 21.57798165],0
a3,1,0.033229,4.533955,[37 30] ; [14 27],[31.63888889 35.36111111] ; [19.36111111 21.63888889],0
d1,1,0.048839,3.880886,[ 1 67] ; [ 4 38],[ 3.09090909 64.90909091] ; [ 1.90909091 40.09090909],0
p1,1,0.049426,3.860842,[ 7 61] ; [10 31],[10.60550459 57.39449541] ; [ 6.39449541 34.60550459],0
p5,1,0.060325,3.528425,[ 3 65] ; [ 6 35],[ 5.6146789 62.3853211] ; [ 3.3853211 37.6146789],0
r3,1,0.088993,2.892501,[48 19] ; [36  6],[51.63302752 15.36697248] ; [32.36697248  9.63302752],0
d2,1,0.127938,2.317344,[22 46] ; [ 8 34],[18.54545455 49.45454545] ; [11.45454545 30.54545455],0
n6,1,0.171109,1.873203,[47 21] ; [34  8],[50.07272727 17.92727273] ; [30.92727273 11.07272727],0
a1,1,0.17868,1.808568,[ 6 62] ; [ 1 41],[ 4.32727273 63.67272727] ; [ 2.67272727 39.32727273],0
v4,1,0.181573,1.784705,[54 13] ; [37  4],[56.4537037 10.5462963] ; [34.5462963  6.4537037],0
s7,1,0.195267,1.677426,[19 46] ; [17 24],[22.0754717 42.9245283] ; [13.9245283 27.0754717],0
a8,1,0.209952,1.571759,[11 52] ; [ 3 33],[ 8.90909091 54.09090909] ; [ 5.09090909 30.90909091],0
v3,1,0.249151,1.328059,[14 53] ; [ 5 36],[11.78703704 55.21296296] ; [ 7.21296296 33.78703704],0
s1,1,0.29935,1.077087,[ 7 59] ; [ 2 39],[ 5.55140187 60.44859813] ; [ 3.44859813 37.55140187],0
p4,1,0.332368,0.93965,[26 42] ; [20 22],[28.43636364 39.56363636] ; [17.56363636 24.43636364],0
s6,1,0.344752,0.892681,[31 37] ; [22 18],[33.37037037 34.62962963] ; [19.62962963 20.37037037],0
a4,1,0.368686,0.80809,[20 47] ; [ 9 32],[17.99074074 49.00925926] ; [11.00925926 29.99074074],0
n3,1,0.393841,0.727049,[17  9] ; [8 2],[18.05555556  7.94444444] ; [6.94444444 3.05555556],0
r4,1,0.399988,0.708362,[45 23] ; [31 11],[46.98181818 21.01818182] ; [29.01818182 12.98181818],0
v1,1,0.433514,0.613391,[24 43] ; [12 30],[22.12844037 44.87155963] ; [13.87155963 28.12844037],0
n5,1,0.441342,0.592792,[50 18] ; [28 14],[48.21818182 19.78181818] ; [29.78181818 12.21818182],0
d5,1,0.456816,0.553685,[32 35] ; [17 25],[30.11926606 36.88073394] ; [18.88073394 23.11926606],0
a6,1,0.465997,0.531451,[34 34] ; [24 18],[35.85454545 32.14545455] ; [22.14545455 19.85454545],0
s5,1,0.497175,0.460961,[10 57] ; [ 8 32],[11.27102804 55.72897196] ; [ 6.72897196 33.27102804],0
b4,1,0.525264,0.403546,[35 33] ; [19 23],[33.38181818 34.61818182] ; [20.61818182 21.38181818],0
b5,1,0.53386,0.387038,[38 30] ; [26 16],[39.56363636 28.43636364] ; [24.43636364 17.56363636],0
d3,1,0.549855,0.357578,[14 52] ; [11 31],[15.27777778 50.72222222] ; [ 9.72222222 32.27777778],0
s4,1,0.571326,0.320469,[15 53] ; [11 30],[16.22018349 51.77981651] ; [ 9.77981651 31.22018349],0
a2,1,0.576471,0.311975,[ 7 61] ; [ 3 39],[ 6.18181818 61.81818182] ; [ 3.81818182 38.18181818],0
u3,1,0.624654,0.239381,[13 18] ; [10 18],[12.08474576 18.91525424] ; [10.91525424 17.08474576],0
n4,1,0.63677,0.222991,[46 21] ; [27 15],[44.87155963 22.12844037] ; [28.12844037 13.87155963],0
r2,1,0.643382,0.214347,[56 12] ; [36  6],[56.87272727 11.12727273] ; [35.12727273  6.87272727],0
n2,1,0.653023,0.20211,[19  9] ; [6 4],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
u2,1,0.779437,0.07843,[10 21] ; [10 18],[10.50847458 20.49152542] ; [ 9.49152542 18.50847458],0
n1,1,0.809423,0.058163,[10 18] ; [4 6],[10.31578947 17.68421053] ; [3.68421053 6.31578947],0
s8,1,0.841246,0.04012,[19 49] ; [11 31],[18.54545455 49.45454545] ; [11.45454545 30.54545455],0
p12,1,0.860875,0.030716,[ 2 66] ; [ 1 41],[ 1.85454545 66.14545455] ; [ 1.14545455 40.85454545],0
r1,1,0.868016,0.027616,[34 33] ; [22 20],[34.42201835 32.57798165] ; [21.57798165 20.42201835],0
a5,1,0.954404,0.003269,[32 36] ; [20 22],[32.14545455 35.85454545] ; [19.85454545 22.14545455],0
s3,1,0.954929,0.003194,[31 37] ; [18 21],[31.14018692 36.85981308] ; [17.85981308 21.14018692],0
s2,1,0.972496,0.001189,[23 45] ; [14 27],[23.08256881 44.91743119] ; [13.91743119 27.08256881],0
b1,1,0.982735,0.000468,[29 39] ; [18 24],[29.05454545 38.94545455] ; [17.94545455 24.05454545],0
