Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.837693,[20  3] ; [ 8 27],[11.10344828 11.89655172] ; [16.89655172 18.10344828],1
s7,1,1.3e-05,18.981941,[14  8] ; [ 3 31],[ 6.67857143 15.32142857] ; [10.32142857 23.67857143],1
s2,1,2.8e-05,17.573813,[15  9] ; [ 4 32],[ 7.6 16.4] ; [11.4 24.6],1
r4,1,0.000183,14.0,[21  3] ; [14 22],[14. 10.] ; [21. 15.],1
s8,1,0.000261,13.333333,[12 12] ; [ 3 33],[ 6. 18.] ; [ 9. 27.],1
r3,1,0.000293,13.11428,[22  2] ; [16 19],[15.45762712  8.54237288] ; [22.54237288 12.45762712],1
s3,1,0.000729,11.414463,[16  7] ; [ 9 27],[ 9.74576271 13.25423729] ; [15.25423729 20.74576271],1
p4,1,0.001341,10.285714,[16  8] ; [ 9 27],[10. 14.] ; [15. 21.],0
v2,1,0.006355,7.446891,[10 13] ; [ 4 30],[ 5.64912281 17.35087719] ; [ 8.35087719 25.64912281],0
p10,1,0.007261,7.20713,[13  9] ; [ 8 26],[ 8.25 13.75] ; [12.75 21.25],0
p9,1,0.007597,7.126067,[16  7] ; [11 22],[11.08928571 11.91071429] ; [15.91071429 17.08928571],0
d5,1,0.011616,6.368593,[14 10] ; [ 9 26],[ 9.3559322 14.6440678] ; [13.6440678 21.3559322],0
b3,1,0.017112,5.684881,[ 1 13] ; [ 9 11],[4.11764706 9.88235294] ; [ 5.88235294 14.11764706],0
b2,1,0.017112,5.684881,[ 1 13] ; [ 9 11],[4.11764706 9.88235294] ; [ 5.88235294 14.11764706],0
a8,1,0.020409,5.376587,[ 6 15] ; [ 2 32],[ 3.05454545 17.94545455] ; [ 4.94545455 29.05454545],0
u3,1,0.025718,4.974892,[8 4] ; [ 6 16],[4.94117647 7.05882353] ; [ 9.05882353 12.94117647],0
v4,1,0.036481,4.374465,[21  3] ; [22 13],[17.49152542  6.50847458] ; [25.50847458  9.49152542],0
p2,1,0.044129,4.051627,[17  7] ; [16 20],[13.2 10.8] ; [19.8 16.2],0
p7,1,0.046432,3.96585,[14  9] ; [12 23],[10.31034483 12.68965517] ; [15.68965517 19.31034483],0
n6,1,0.068208,3.325621,[18  6] ; [18 17],[14.6440678  9.3559322] ; [21.3559322 13.6440678],0
a7,1,0.071749,3.242555,[17  7] ; [16 18],[13.65517241 10.34482759] ; [19.34482759 14.65517241],0
a5,1,0.07298,3.214683,[15  9] ; [14 22],[11.6 12.4] ; [17.4 18.6],0
r2,1,0.092197,2.835597,[22  2] ; [26  9],[19.52542373  4.47457627] ; [28.47457627  6.52542373],0
v1,1,0.093533,2.8125,[11 13] ; [ 9 27],[ 8. 16.] ; [12. 24.],0
p3,1,0.134827,2.236025,[ 8 16] ; [ 6 30],[ 5.6 18.4] ; [ 8.4 27.6],0
p1,1,0.162898,1.947115,[ 5 19] ; [ 3 33],[ 3.2 20.8] ; [ 4.8 31.2],0
n2,1,0.183902,1.765803,[8 3] ; [7 8],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
n3,1,0.188274,1.731069,[8 3] ; [6 7],[6.41666667 4.58333333] ; [7.58333333 5.41666667],0
b1,1,0.201847,1.628959,[16  8] ; [18 18],[13.6 10.4] ; [20.4 15.6],0
p8,1,0.208494,1.581854,[ 8 15] ; [ 7 28],[ 5.94827586 17.05172414] ; [ 9.05172414 25.94827586],0
a6,1,0.291841,1.111111,[14 10] ; [16 20],[12. 12.] ; [18. 18.],0
n1,1,0.315266,1.008485,[3 8] ; [7 8],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
a3,1,0.361785,0.831689,[12 11] ; [14 21],[10.31034483 12.68965517] ; [15.68965517 19.31034483],0
v3,1,0.39684,0.717882,[ 7 16] ; [ 7 27],[ 5.64912281 17.35087719] ; [ 8.35087719 25.64912281],0
b4,1,0.451402,0.56713,[11 13] ; [13 23],[ 9.6 14.4] ; [14.4 21.6],0
n4,1,0.458406,0.549785,[16  7] ; [21 14],[14.67241379  8.32758621] ; [22.32758621 12.67241379],0
s4,1,0.4795,0.5,[ 5 19] ; [ 5 31],[ 4. 20.] ; [ 6. 30.],0
p6,1,0.586583,0.295712,[ 6 17] ; [ 7 28],[ 5.15517241 17.84482759] ; [ 7.84482759 27.15517241],0
d2,1,0.598161,0.277778,[ 4 20] ; [ 8 28],[ 4.8 19.2] ; [ 7.2 28.8],0
n5,1,0.661975,0.191133,[17  6] ; [24 11],[16.25862069  6.74137931] ; [24.74137931 10.25862069],0
a2,1,0.672604,0.178571,[ 2 22] ; [ 2 34],[ 1.6 22.4] ; [ 2.4 33.6],0
u2,1,0.710906,0.137374,[4 8] ; [ 6 16],[3.52941176 8.47058824] ; [ 6.47058824 15.52941176],0
d3,1,0.796152,0.066735,[ 7 17] ; [11 23],[ 7.44827586 16.55172414] ; [10.55172414 23.44827586],0
b5,1,0.915865,0.011161,[13 11] ; [19 17],[12.8 11.2] ; [19.2 16.8],0
a4,1,0.94232,0.005235,[ 4 19] ; [ 6 30],[ 3.89830508 19.10169492] ; [ 6.10169492 29.89830508],0
s1,1,0.986844,0.000272,[ 2 21] ; [ 3 32],[ 1.98275862 21.01724138] ; [ 3.01724138 31.98275862],0
