Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,55.188053,[ 45 110] ; [76 23],[73.83858268 81.16141732] ; [47.16141732 51.83858268],1
p5,1,4.8e-05,16.533228,[  6 151] ; [19 79],[ 15.39215686 141.60784314] ; [ 9.60784314 88.39215686],1
p8,1,9.1e-05,15.315742,[ 54 102] ; [59 40],[69.12941176 86.87058824] ; [43.87058824 55.12941176],1
p1,1,0.000101,15.121179,[  5 152] ; [17 82],[ 13.4921875 143.5078125] ; [ 8.5078125 90.4921875],1
n4,1,0.000167,14.171643,[82 75] ; [75 24],[96.28515625 60.71484375] ; [60.71484375 38.28515625],1
p7,1,0.000543,11.960421,[75 74] ; [71 27],[88.07287449 60.92712551] ; [57.92712551 40.07287449],1
s6,1,0.002666,9.022964,[79 75] ; [69 29],[90.44444444 63.55555556] ; [57.55555556 40.44444444],0
p6,1,0.003264,8.653796,[ 40 116] ; [41 53],[ 50.544 105.456] ; [30.456 63.544],0
s7,1,0.006993,7.274794,[ 46 107] ; [43 48],[55.80737705 97.19262295] ; [33.19262295 57.80737705],0
n5,1,0.007517,7.145125,[91 65] ; [74 25],[100.94117647  55.05882353] ; [64.05882353 34.94117647],0
v1,1,0.007811,7.076214,[57 97] ; [52 44],[67.144 86.856] ; [41.856 54.144],0
d5,1,0.011148,6.44159,[93 64] ; [74 25],[102.41796875  54.58203125] ; [64.58203125 34.41796875],0
r4,1,0.01337,6.119489,[123  35] ; [89 10],[130.33463035  27.66536965] ; [81.66536965 17.33463035],0
p2,1,0.018718,5.527674,[116  42] ; [85 14],[123.57198444  34.42801556] ; [77.42801556 21.57198444],0
n6,1,0.029809,4.72029,[115  42] ; [84 15],[122.04296875  34.95703125] ; [76.95703125 22.04296875],0
a7,1,0.033223,4.534274,[96 60] ; [73 25],[103.79527559  52.20472441] ; [65.20472441 32.79527559],0
v3,1,0.053563,3.726264,[ 43 111] ; [37 56],[ 49.87854251 104.12145749] ; [30.12145749 62.87854251],0
s8,1,0.077832,3.109592,[ 44 114] ; [38 61],[ 50.41245136 107.58754864] ; [31.58754864 67.41245136],0
p12,1,0.084299,2.980001,[  4 152] ; [ 7 92],[  6.72941176 149.27058824] ; [ 4.27058824 94.72941176],0
d1,1,0.10969,2.558678,[ 44 114] ; [37 62],[ 49.79766537 108.20233463] ; [31.20233463 67.79766537],0
s5,1,0.161662,1.95861,[ 33 121] ; [27 65],[ 37.56097561 116.43902439] ; [22.43902439 69.56097561],0
r3,1,0.193576,1.690189,[141  15] ; [93  5],[143.71653543  12.28346457] ; [90.28346457  7.71653543],0
b1,1,0.242151,1.368028,[ 54 104] ; [41 58],[58.40466926 99.59533074] ; [36.59533074 62.40466926],0
d2,1,0.267069,1.231737,[ 29 128] ; [24 75],[ 32.50390625 124.49609375] ; [20.49609375 78.50390625],0
u1,1,0.30467,1.05364,[  3 155] ; [ 4 95],[  4.30350195 153.69649805] ; [ 2.69649805 96.30350195],0
r1,1,0.333908,0.93368,[102  56] ; [69 29],[105.5390625  52.4609375] ; [65.4609375 32.5390625],0
n3,1,0.375478,0.785455,[36 18] ; [14  4],[37.5 16.5] ; [12.5  5.5],0
p9,1,0.37975,0.77151,[112  40] ; [77 21],[114.912  37.088] ; [74.088 23.912],0
n1,1,0.395355,0.722408,[18 36] ; [ 8 10],[19.5 34.5] ; [ 6.5 11.5],0
r2,1,0.396687,0.718345,[139  18] ; [90  8],[140.99215686  16.00784314] ; [88.00784314  9.99215686],0
n2,1,0.428719,0.626291,[36 17] ; [14  4],[37.32394366 15.67605634] ; [12.67605634  5.32394366],0
b5,1,0.450661,0.568989,[100  58] ; [58 41],[97.13618677 60.86381323] ; [60.86381323 38.13618677],0
a6,1,0.453748,0.561272,[77 81] ; [53 46],[79.92217899 78.07782101] ; [50.07782101 48.92217899],0
p10,1,0.527962,0.398313,[107  47] ; [71 26],[109.21115538  44.78884462] ; [68.78884462 28.21115538],0
s3,1,0.52998,0.39443,[80 75] ; [54 43],[82.42063492 72.57936508] ; [51.57936508 45.42063492],0
a8,1,0.577754,0.30988,[ 18 129] ; [ 9 82],[ 16.67647059 130.32352941] ; [10.32352941 80.67647059],0
a4,1,0.59011,0.290173,[ 26 131] ; [19 80],[ 27.59765625 129.40234375] ; [17.40234375 81.59765625],0
d4,1,0.714799,0.133531,[106  51] ; [69 30],[107.32421875  49.67578125] ; [67.67578125 31.32421875],0
d3,1,0.737055,0.112732,[90 66] ; [55 44],[88.70588235 67.29411765] ; [56.29411765 42.70588235],0
p11,1,0.750087,0.101458,[112  46] ; [72 27],[113.12062257  44.87937743] ; [70.87937743 28.12062257],0
u2,1,0.781661,0.076815,[52 35] ; [31 23],[51.21276596 35.78723404] ; [31.78723404 22.21276596],0
