Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,7e-06,20.21217,[59  7] ; [ 9 12],[51.5862069 14.4137931] ; [16.4137931  4.5862069],1
n4,1,0.000195,13.874774,[54 13] ; [ 8 13],[47.20454545 19.79545455] ; [14.79545455  6.20454545],1
v2,1,0.01908,5.494124,[42 23] ; [ 7 13],[37.47058824 27.52941176] ; [11.52941176  8.47058824],0
p10,1,0.023675,5.118251,[53 12] ; [12  9],[49.12790698 15.87209302] ; [15.87209302  5.12790698],0
s2,1,0.023813,5.108173,[35 30] ; [ 5 15],[30.58823529 34.41176471] ; [ 9.41176471 10.58823529],0
p6,1,0.040336,4.203682,[23 43] ; [ 2 17],[19.41176471 46.58823529] ; [ 5.58823529 13.41176471],0
a1,1,0.050945,3.810086,[ 2 65] ; [ 3 18],[ 3.80681818 63.19318182] ; [ 1.19318182 19.80681818],0
s7,1,0.058137,3.589744,[33 30] ; [ 6 15],[29.25 33.75] ; [ 9.75 11.25],0
p9,1,0.100546,2.69686,[55 11] ; [14  7],[52.34482759 13.65517241] ; [16.65517241  4.34482759],0
r4,1,0.107446,2.591395,[58  9] ; [15  6],[55.57954545 11.42045455] ; [17.42045455  3.57954545],0
s3,1,0.113934,2.498785,[40 24] ; [ 9 12],[36.89411765 27.10588235] ; [12.10588235  8.89411765],0
u2,1,0.124362,2.361504,[10 13] ; [6 2],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
d2,1,0.125652,2.345416,[21 46] ; [ 3 18],[18.27272727 48.72727273] ; [ 5.72727273 15.27272727],0
r2,1,0.132707,2.260545,[61  5] ; [17  4],[59.17241379  6.82758621] ; [18.82758621  2.17241379],0
a7,1,0.13821,2.197776,[44 23] ; [10 11],[41.11363636 25.88636364] ; [12.88636364  8.11363636],0
d3,1,0.201083,1.634494,[33 34] ; [ 7 14],[30.45454545 36.54545455] ; [ 9.54545455 11.45454545],0
r3,1,0.212771,1.552471,[60  6] ; [17  4],[58.4137931  7.5862069] ; [18.5862069  2.4137931],0
p4,1,0.233141,1.421594,[35 31] ; [ 8 13],[32.62068966 33.37931034] ; [10.37931034 10.62068966],0
p11,1,0.31215,1.021559,[52 15] ; [14  7],[50.25 16.75] ; [15.75  5.25],0
s4,1,0.334787,0.930292,[ 8 58] ; [ 1 20],[ 6.82758621 59.17241379] ; [ 2.17241379 18.82758621],0
a2,1,0.343493,0.89735,[ 8 59] ; [ 1 20],[ 6.85227273 60.14772727] ; [ 2.14772727 18.85227273],0
s8,1,0.370358,0.802465,[26 40] ; [ 6 15],[24.27586207 41.72413793] ; [ 7.72413793 13.27586207],0
a6,1,0.393985,0.726608,[39 28] ; [10 11],[37.30681818 29.69318182] ; [11.69318182  9.30681818],0
d1,1,0.429031,0.625444,[ 7 60] ; [ 1 20],[ 6.09090909 60.90909091] ; [ 1.90909091 19.09090909],0
b4,1,0.46505,0.533712,[38 29] ; [10 11],[36.54545455 30.45454545] ; [11.45454545  9.54545455],0
b3,1,0.479074,0.50097,[21 28] ; [7 6],[22.12903226 26.87096774] ; [5.87096774 7.12903226],0
b2,1,0.479074,0.50097,[21 28] ; [7 6],[22.12903226 26.87096774] ; [5.87096774 7.12903226],0
s5,1,0.495878,0.463747,[16 50] ; [ 3 15],[14.92857143 51.07142857] ; [ 4.07142857 13.92857143],0
v4,1,0.495976,0.463536,[60  6] ; [18  3],[59.17241379  6.82758621] ; [18.82758621  2.17241379],0
r1,1,0.552923,0.352107,[50 17] ; [17  4],[51.01136364 15.98863636] ; [15.98863636  5.01136364],0
p2,1,0.592958,0.285748,[48 18] ; [14  7],[47.03448276 18.96551724] ; [14.96551724  6.03448276],0
p3,1,0.593235,0.285321,[24 42] ; [ 9 12],[25.03448276 40.96551724] ; [ 7.96551724 13.03448276],0
a4,1,0.610374,0.25963,[15 50] ; [ 6 15],[15.87209302 49.12790698] ; [ 5.12790698 15.87209302],0
a8,1,0.647858,0.208612,[ 8 52] ; [ 2 19],[ 7.40740741 52.59259259] ; [ 2.59259259 18.40740741],0
s6,1,0.654825,0.199871,[40 26] ; [11  9],[39.13953488 26.86046512] ; [11.86046512  8.13953488],0
b5,1,0.674286,0.176629,[38 29] ; [13  8],[38.82954545 28.17045455] ; [12.17045455  8.82954545],0
a5,1,0.727108,0.121783,[38 29] ; [11 10],[37.30681818 29.69318182] ; [11.69318182  9.30681818],0
p7,1,0.780069,0.077969,[38 27] ; [13  8],[38.54651163 26.45348837] ; [12.45348837  8.54651163],0
a3,1,0.786705,0.07322,[43 23] ; [13  8],[42.48275862 23.51724138] ; [13.51724138  7.48275862],0
s1,1,0.789588,0.071207,[ 5 60] ; [ 2 19],[ 5.29069767 59.70930233] ; [ 1.70930233 19.29069767],0
p1,1,0.801364,0.063294,[11 55] ; [ 4 17],[11.37931034 54.62068966] ; [ 3.62068966 17.37931034],0
p12,1,0.823754,0.049604,[ 4 62] ; [ 1 20],[ 3.79310345 62.20689655] ; [ 1.20689655 19.79310345],0
u3,1,0.835378,0.043185,[14 10] ; [5 3],[14.25  9.75] ; [4.75 3.25],0
v3,1,0.857149,0.032402,[27 40] ; [ 8 13],[26.64772727 40.35227273] ; [ 8.35227273 12.64772727],0
p8,1,0.897788,0.016501,[33 32] ; [11 10],[33.25581395 31.74418605] ; [10.74418605 10.25581395],0
d4,1,0.990921,0.000129,[35 32] ; [11 10],[35.02272727 31.97727273] ; [10.97727273 10.02272727],0
b1,1,0.990921,0.000129,[32 35] ; [10 11],[31.97727273 35.02272727] ; [10.02272727 10.97727273],0
n3,1,1.0,0.0,[10  5] ; [2 1],[10.  5.] ; [2. 1.],0
