Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000817,11.202475,[ 5 12] ; [36 12],[10.72307692  6.27692308] ; [30.27692308 17.72307692],1
a2,1,0.026886,4.898116,[ 1 16] ; [16 32],[ 4.44615385 12.55384615] ; [12.55384615 35.44615385],0
s5,1,0.034142,4.487578,[9 5] ; [15 31],[5.6 8.4] ; [18.4 27.6],0
d3,1,0.039288,4.248366,[10  7] ; [40  8],[13.07692308  3.92307692] ; [36.92307692 11.07692308],0
b5,1,0.052844,3.748841,[8 9] ; [35 13],[11.24615385  5.75384615] ; [31.75384615 16.24615385],0
p10,1,0.060011,3.537075,[9 8] ; [37 11],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
s4,1,0.060011,3.537075,[8 9] ; [11 37],[ 4.96923077 12.03076923] ; [14.03076923 33.96923077],0
p2,1,0.066575,3.365502,[11  6] ; [41  7],[13.6  3.4] ; [38.4  9.6],0
n6,1,0.067348,3.346499,[9 8] ; [36 11],[11.953125  5.046875] ; [33.046875 13.953125],0
n1,1,0.073638,3.2,[5 3] ; [ 4 12],[3. 5.] ; [ 6. 10.],0
p9,1,0.100981,2.689981,[10  7] ; [38 10],[12.55384615  4.44615385] ; [35.44615385 12.55384615],0
b1,1,0.102182,2.67115,[11  6] ; [20 28],[8.10769231 8.89230769] ; [22.89230769 25.10769231],0
s6,1,0.116208,2.467694,[13  3] ; [28 19],[10.41269841  5.58730159] ; [30.58730159 16.41269841],0
u1,1,0.157717,1.995981,[ 1 16] ; [10 38],[ 2.87692308 14.12307692] ; [ 8.12307692 39.87692308],0
v1,1,0.164338,1.933846,[ 5 12] ; [23 24],[7.4375 9.5625] ; [20.5625 26.4375],0
n4,1,0.181053,1.78896,[ 6 11] ; [26 22],[8.36923077 8.63076923] ; [23.63076923 24.36923077],0
n2,1,0.204008,1.613445,[7 1] ; [10  6],[5.66666667 2.33333333] ; [11.33333333  4.66666667],0
a5,1,0.207607,1.588033,[10  7] ; [36 12],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
p7,1,0.22485,1.473146,[15  2] ; [34 12],[13.22222222  3.77777778] ; [35.77777778 10.22222222],0
a3,1,0.24143,1.372226,[9 8] ; [33 15],[10.98461538  6.01538462] ; [31.01538462 16.98461538],0
a1,1,0.262614,1.254922,[ 2 15] ; [ 2 46],[ 1.04615385 15.95384615] ; [ 2.95384615 45.04615385],0
r2,1,0.273022,1.201502,[15  2] ; [45  2],[15.9375  1.0625] ; [44.0625  2.9375],0
d4,1,0.278759,1.173128,[13  4] ; [42  6],[14.38461538  2.61538462] ; [40.61538462  7.38461538],0
p4,1,0.279296,1.170513,[10  7] ; [35 13],[11.76923077  5.23076923] ; [33.23076923 14.76923077],0
p1,1,0.294909,1.097075,[ 4 13] ; [ 6 41],[ 2.65625 14.34375] ; [ 7.34375 39.65625],0
n3,1,0.317311,1.0,[5 3] ; [13  3],[6. 2.] ; [12.  4.],0
v2,1,0.317358,0.999803,[ 7 10] ; [26 21],[8.765625 8.234375] ; [24.234375 22.765625],0
u3,1,0.362656,0.828676,[5 3] ; [12  3],[5.91304348 2.08695652] ; [11.08695652  3.91304348],0
u2,1,0.362656,0.828676,[5 3] ; [12  3],[5.91304348 2.08695652] ; [11.08695652  3.91304348],0
p3,1,0.372121,0.796569,[12  5] ; [28 20],[10.46153846  6.53846154] ; [29.53846154 18.46153846],0
r1,1,0.415021,0.664372,[11  6] ; [36 12],[12.29230769  4.70769231] ; [34.70769231 13.29230769],0
p11,1,0.415021,0.664372,[11  6] ; [36 12],[12.29230769  4.70769231] ; [34.70769231 13.29230769],0
a4,1,0.439533,0.597502,[ 7 10] ; [25 23],[8.36923077 8.63076923] ; [23.63076923 24.36923077],0
b3,1,0.443002,0.588495,[ 4 10] ; [11 16],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
b2,1,0.443002,0.588495,[ 4 10] ; [11 16],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
a8,1,0.510751,0.432528,[ 2 15] ; [ 3 42],[ 1.37096774 15.62903226] ; [ 3.62903226 41.37096774],0
d2,1,0.531363,0.391785,[10  7] ; [24 24],[8.89230769 8.10769231] ; [25.10769231 22.89230769],0
r4,1,0.578878,0.308052,[16  1] ; [43  5],[15.43076923  1.56923077] ; [43.56923077  4.43076923],0
s3,1,0.631904,0.229488,[ 7 10] ; [23 25],[7.84615385 9.15384615] ; [22.15384615 25.84615385],0
d5,1,0.649697,0.206282,[14  3] ; [37 11],[13.33846154  3.66153846] ; [37.66153846 10.33846154],0
p5,1,0.772028,0.083939,[ 1 16] ; [ 2 46],[ 0.78461538 16.21538462] ; [ 2.21538462 45.78461538],0
s2,1,0.834882,0.043449,[8 9] ; [24 24],[8.36923077 8.63076923] ; [23.63076923 24.36923077],0
b4,1,0.908269,0.013276,[10  7] ; [29 19],[10.2  6.8] ; [28.8 19.2],0
p8,1,0.930592,0.007586,[9 8] ; [26 22],[9.15384615 7.84615385] ; [25.84615385 22.15384615],0
s7,1,0.941394,0.005405,[8 8] ; [24 23],[8.12698413 7.87301587] ; [23.87301587 23.12698413],0
v4,1,0.956772,0.002938,[16  1] ; [45  3],[15.95384615  1.04615385] ; [45.04615385  2.95384615],0
d1,1,0.971884,0.001242,[10  7] ; [28 20],[9.93846154 7.06153846] ; [28.06153846 19.93846154],0
s8,1,1.0,0.0,[7 9] ; [21 27],[7. 9.] ; [21. 27.],0
v3,1,1.0,0.0,[ 4 12] ; [12 36],[ 4. 12.] ; [12. 36.],0
