Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,30.510378,[  6 273] ; [16 72],[ 16.72479564 262.27520436] ; [ 5.27520436 82.72479564],1
s6,1,6e-06,20.510721,[124 154] ; [63 24],[142.42739726 135.57260274] ; [44.57260274 42.42739726],1
s2,1,9e-06,19.678133,[ 63 214] ; [42 47],[ 79.46721311 197.53278689] ; [25.53278689 63.46721311],1
d4,1,0.000401,12.526704,[208  72] ; [81  7],[219.89130435  60.10869565] ; [69.10869565 18.89130435],1
b5,1,0.004044,8.264153,[183  97] ; [43 46],[171.49051491 108.50948509] ; [54.50948509 34.49051491],0
p1,1,0.008621,6.899662,[ 13 266] ; [11 76],[ 18.29508197 260.70491803] ; [ 5.70491803 81.29508197],0
s3,1,0.010922,6.477991,[ 88 186] ; [41 46],[ 97.91135734 176.08864266] ; [31.08864266 55.91135734],0
a5,1,0.015968,5.806414,[175 105] ; [68 21],[184.3902439  95.6097561] ; [58.6097561 30.3902439],0
a4,1,0.024742,5.041883,[ 97 180] ; [43 46],[105.95628415 171.04371585] ; [34.04371585 54.95628415],0
a7,1,0.034743,4.45775,[209  69] ; [56 32],[201.28415301  76.71584699] ; [63.71584699 24.28415301],0
p10,1,0.043597,4.072084,[206  70] ; [74 13],[212.89256198  63.10743802] ; [67.10743802 19.89256198],0
v1,1,0.050594,3.821665,[125 150] ; [50 37],[132.94198895 142.05801105] ; [42.05801105 44.94198895],0
p3,1,0.073583,3.201225,[105 174] ; [43 46],[112.20652174 166.79347826] ; [35.79347826 53.20652174],0
p9,1,0.080037,3.064151,[214  62] ; [75 12],[219.73553719  56.26446281] ; [69.26446281 17.73553719],0
p12,1,0.084364,2.978752,[ 12 267] ; [ 8 80],[ 15.20435967 263.79564033] ; [ 4.79564033 83.20435967],0
p7,1,0.098122,2.73581,[150 124] ; [57 31],[156.67955801 117.32044199] ; [50.32044199 37.67955801],0
d1,1,0.100969,2.69017,[142 138] ; [54 35],[148.72628726 131.27371274] ; [47.27371274 41.72628726],0
