Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.530513,[25 55] ; [21  4],[35.04761905 44.95238095] ; [10.95238095 14.04761905],1
p8,1,0.000661,11.594562,[21 62] ; [16 10],[28.17431193 54.82568807] ; [ 8.82568807 17.17431193],1
s2,1,0.005028,7.869276,[26 58] ; [16 10],[32.07272727 51.92727273] ; [ 9.92727273 16.07272727],0
b5,1,0.010936,6.475667,[48 36] ; [22  4],[53.45454545 30.54545455] ; [16.54545455  9.45454545],0
a8,1,0.011952,6.318,[ 1 79] ; [ 3 21],[ 3.07692308 76.92307692] ; [ 0.92307692 23.07692308],0
n1,1,0.013724,6.073309,[ 5 27] ; [5 4],[ 7.80487805 24.19512195] ; [2.19512195 6.80487805],0
a4,1,0.023874,5.103785,[ 8 76] ; [ 7 19],[11.45454545 72.54545455] ; [ 3.54545455 22.45454545],0
v3,1,0.025128,5.015053,[19 59] ; [ 1 24],[15.14563107 62.85436893] ; [ 4.85436893 20.14563107],0
p4,1,0.025159,5.012925,[22 61] ; [13 13],[26.65137615 56.34862385] ; [ 8.34862385 17.65137615],0
b1,1,0.076031,3.147776,[26 58] ; [13 13],[29.78181818 54.21818182] ; [ 9.21818182 16.78181818],0
p5,1,0.077661,3.113178,[ 1 82] ; [ 2 24],[ 2.28440367 80.71559633] ; [ 0.71559633 25.28440367],0
d1,1,0.078256,3.100756,[28 56] ; [ 4 22],[24.43636364 59.56363636] ; [ 7.56363636 18.43636364],0
b3,1,0.083214,3.000992,[ 5 31] ; [5 9],[ 7.2 28.8] ; [ 2.8 11.2],0
b2,1,0.083214,3.000992,[ 5 31] ; [5 9],[ 7.2 28.8] ; [ 2.8 11.2],0
p11,1,0.096946,2.75508,[46 38] ; [19  7],[49.63636364 34.36363636] ; [15.36363636 10.63636364],0
b4,1,0.099112,2.71978,[54 30] ; [12 14],[50.4 33.6] ; [15.6 10.4],0
v2,1,0.166045,1.918294,[25 55] ; [12 14],[27.9245283 52.0754717] ; [ 9.0754717 16.9245283],0
n6,1,0.17687,1.823726,[53 31] ; [12 13],[50.09174312 33.90825688] ; [14.90825688 10.09174312],0
s7,1,0.179602,1.800914,[17 62] ; [ 9 17],[19.56190476 59.43809524] ; [ 6.43809524 19.56190476],0
r1,1,0.189679,1.720109,[51 33] ; [12 14],[48.10909091 35.89090909] ; [14.89090909 11.10909091],0
u2,1,0.202626,1.623342,[27 24] ; [12  5],[29.25 21.75] ; [9.75 7.25],0
n2,1,0.216222,1.529271,[17 14] ; [7 2],[18.6 12.4] ; [5.4 3.6],0
r3,1,0.256697,1.286484,[70 14] ; [24  2],[71.78181818 12.21818182] ; [22.21818182  3.78181818],0
a7,1,0.274277,1.195232,[54 30] ; [19  6],[56.25688073 27.74311927] ; [16.74311927  8.25688073],0
s6,1,0.277886,1.177399,[33 50] ; [13 12],[35.35185185 47.64814815] ; [10.64814815 14.35185185],0
n5,1,0.302084,1.06497,[26 57] ; [11 15],[28.17431193 54.82568807] ; [ 8.82568807 17.17431193],0
s4,1,0.327256,0.959727,[18 66] ; [ 8 18],[19.85454545 64.14545455] ; [ 6.14545455 19.85454545],0
a1,1,0.375796,0.784408,[ 1 83] ; [ 1 25],[ 1.52727273 82.47272727] ; [ 0.47272727 25.52727273],0
p3,1,0.388177,0.744646,[16 68] ; [ 7 19],[17.56363636 66.43636364] ; [ 5.43636364 20.56363636],0
s8,1,0.398749,0.712095,[19 65] ; [ 8 18],[20.61818182 63.38181818] ; [ 6.38181818 19.61818182],0
p2,1,0.420294,0.649493,[57 26] ; [20  6],[58.63302752 24.36697248] ; [18.36697248  7.63302752],0
v1,1,0.468721,0.524991,[20 61] ; [ 8 17],[21.39622642 59.60377358] ; [ 6.60377358 18.39622642],0
v4,1,0.524389,0.405253,[72 10] ; [24  2],[72.88888889  9.11111111] ; [23.11111111  2.88888889],0
r4,1,0.539715,0.376068,[56 28] ; [19  7],[57.27272727 26.72727273] ; [17.72727273  8.27272727],0
d5,1,0.612188,0.257001,[49 35] ; [16  9],[50.09174312 33.90825688] ; [14.90825688 10.09174312],0
r2,1,0.618714,0.247679,[71 13] ; [23  3],[71.78181818 12.21818182] ; [22.21818182  3.78181818],0
p9,1,0.661498,0.19171,[53 27] ; [16 10],[52.0754717 27.9245283] ; [16.9245283  9.0754717],0
p1,1,0.670906,0.180544,[ 5 78] ; [ 1 25],[ 4.56880734 78.43119266] ; [ 1.43119266 24.56880734],0
u1,1,0.68854,0.16067,[ 2 82] ; [ 1 25],[ 2.29090909 81.70909091] ; [ 0.70909091 25.29090909],0
d4,1,0.779033,0.078724,[55 28] ; [18  8],[55.58715596 27.41284404] ; [17.41284404  8.58715596],0
s3,1,0.792769,0.06902,[38 46] ; [11 15],[37.41818182 46.58181818] ; [11.58181818 14.41818182],0
a3,1,0.800734,0.063704,[31 52] ; [ 9 17],[30.4587156 52.5412844] ; [ 9.5412844 16.4587156],0
d2,1,0.809697,0.057993,[18 66] ; [ 5 21],[17.56363636 66.43636364] ; [ 5.43636364 20.56363636],0
s5,1,0.835301,0.043226,[18 64] ; [ 5 20],[17.62616822 64.37383178] ; [ 5.37383178 19.62616822],0
d3,1,0.835628,0.043051,[47 37] ; [14 10],[47.44444444 36.55555556] ; [13.55555556 10.44444444],0
u3,1,0.842173,0.039647,[32 20] ; [10  7],[31.65217391 20.34782609] ; [10.34782609  6.65217391],0
s1,1,0.844693,0.038374,[ 4 80] ; [ 1 25],[ 3.81818182 80.18181818] ; [ 1.18181818 24.81818182],0
a6,1,0.895958,0.0171,[40 44] ; [12 14],[39.70909091 44.29090909] ; [12.29090909 13.70909091],0
p10,1,0.924246,0.009042,[47 33] ; [15 11],[46.79245283 33.20754717] ; [15.20754717 10.79245283],0
n3,1,0.953574,0.00339,[21 11] ; [6 3],[21.07317073 10.92682927] ; [5.92682927 3.07317073],0
