Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.408491,[26 22] ; [ 64 224],[12.85714286 35.14285714] ; [ 77.14285714 210.85714286],1
n4,1,7.7e-05,15.634402,[34 19] ; [253  40],[43.96242775  9.03757225] ; [243.03757225  49.96242775],1
s6,1,0.001232,10.441441,[42  9] ; [171 121],[31.67055394 19.32944606] ; [181.32944606 110.67055394],0
s2,1,0.002582,9.081716,[34 18] ; [124 166],[24.02339181 27.97660819] ; [133.97660819 156.02339181],0
v3,1,0.022285,5.223416,[10 40] ; [104 180],[17.06586826 32.93413174] ; [ 96.93413174 187.06586826],0
r1,1,0.030825,4.662704,[33 20] ; [223  69],[39.32753623 13.67246377] ; [216.67246377  75.32753623],0
s3,1,0.048235,3.901796,[34 18] ; [145 142],[27.45722714 24.54277286] ; [151.54277286 135.45722714],0
a6,1,0.048605,3.888929,[28 25] ; [196  97],[34.31213873 18.68786127] ; [189.68786127 103.31213873],0
b3,1,0.059427,3.553299,[ 5 21] ; [ 68 110],[ 9.30392157 16.69607843] ; [ 63.69607843 114.30392157],0
b2,1,0.059427,3.553299,[ 5 21] ; [ 68 110],[ 9.30392157 16.69607843] ; [ 63.69607843 114.30392157],0
d1,1,0.064707,3.412429,[21 32] ; [157 137],[27.18731988 25.81268012] ; [150.81268012 143.18731988],0
s7,1,0.075352,3.162396,[28 24] ; [114 167],[22.17417417 29.82582583] ; [119.82582583 161.17417417],0
a8,1,0.102424,2.66739,[ 4 45] ; [ 47 222],[ 7.85849057 41.14150943] ; [ 43.14150943 225.85849057],0
n1,1,0.105618,2.618593,[ 6 16] ; [39 45],[ 9.33962264 12.66037736] ; [35.66037736 48.33962264],0
u1,1,0.106125,2.610992,[ 3 50] ; [ 40 254],[ 6.56772334 46.43227666] ; [ 36.43227666 257.56772334],0
a2,1,0.10625,2.609126,[ 7 46] ; [ 68 226],[11.45533141 41.54466859] ; [ 63.54466859 230.45533141],0
s8,1,0.116936,2.457881,[25 28] ; [105 188],[19.9132948 33.0867052] ; [110.0867052 182.9132948],0
d2,1,0.125649,2.345451,[19 34] ; [137 153],[24.10495627 28.89504373] ; [131.89504373 158.10495627],0
d4,1,0.125916,2.342148,[36 17] ; [226  65],[40.36627907 12.63372093] ; [221.63372093  69.36627907],0
a5,1,0.161803,1.957297,[32 21] ; [206  88],[36.35158501 16.64841499] ; [201.64841499  92.35158501],0
n3,1,0.170311,1.880202,[17  5] ; [53 33],[14.25925926  7.74074074] ; [55.74074074 30.25925926],0
n2,1,0.183745,1.767068,[19  3] ; [64 24],[16.6  5.4] ; [66.4 21.6],0
b1,1,0.185448,1.753414,[16 37] ; [117 177],[20.31412104 32.68587896] ; [112.68587896 181.31412104],0
b4,1,0.190714,1.712093,[27 26] ; [178 116],[31.31123919 21.68876081] ; [173.68876081 120.31123919],0
v2,1,0.226508,1.462658,[20 30] ; [137 141],[23.93292683 26.06707317] ; [133.06707317 144.93292683],0
a1,1,0.26969,1.218324,[ 1 52] ; [ 16 278],[ 2.59654179 50.40345821] ; [ 14.40345821 279.59654179],0
v4,1,0.293435,1.103795,[50  3] ; [262  30],[47.93043478  5.06956522] ; [264.06956522  27.93043478],0
a4,1,0.312403,1.02049,[19 34] ; [126 165],[22.34011628 30.65988372] ; [122.65988372 168.34011628],0
v1,1,0.377724,0.778097,[22 30] ; [140 146],[24.92307692 27.07692308] ; [137.07692308 148.92307692],0
n6,1,0.386788,0.749017,[45  7] ; [239  54],[42.8057971  9.1942029] ; [241.1942029  51.8057971],0
r3,1,0.402442,0.701018,[44  8] ; [259  33],[45.80232558  6.19767442] ; [257.19767442  34.80232558],0
p9,1,0.437633,0.60248,[43  9] ; [222  63],[40.89020772 11.10979228] ; [224.10979228  60.89020772],0
p5,1,0.440898,0.593944,[ 2 51] ; [ 19 272],[ 3.23546512 49.76453488] ; [ 17.76453488 273.23546512],0
d5,1,0.451284,0.567424,[37 16] ; [219  74],[39.21387283 13.78612717] ; [216.78612717  76.21387283],0
a3,1,0.459888,0.546168,[33 20] ; [197  95],[35.33333333 17.66666667] ; [194.66666667  97.33333333],0
s1,1,0.505565,0.443236,[ 3 48] ; [ 11 274],[ 2.125 48.875] ; [ 11.875 273.125],0
r2,1,0.562808,0.334866,[46  6] ; [263  26],[47.1202346  4.8797654] ; [261.8797654  27.1202346],0
u3,1,0.65329,0.201777,[ 9 11] ; [49 48],[ 9.91452991 10.08547009] ; [48.08547009 48.91452991],0
b5,1,0.672641,0.178529,[31 22] ; [181 113],[32.38040346 20.61959654] ; [179.61959654 114.38040346],0
d3,1,0.674012,0.176945,[35 18] ; [184 108],[33.64347826 19.35652174] ; [185.35652174 106.64347826],0
p8,1,0.750061,0.10148,[20 30] ; [108 179],[18.99109792 31.00890208] ; [109.00890208 177.99109792],0
a7,1,0.771126,0.084624,[36 17] ; [193 100],[35.07803468 17.92196532] ; [193.92196532  99.07803468],0
p1,1,0.77507,0.081653,[ 4 49] ; [ 19 274],[ 3.52312139 49.47687861] ; [ 19.47687861 273.52312139],0
p6,1,0.833023,0.044448,[14 37] ; [ 75 213],[13.38938053 37.61061947] ; [ 75.61061947 212.38938053],0
p11,1,0.869762,0.026883,[38 15] ; [214  80],[38.48991354 14.51008646] ; [213.51008646  80.48991354],0
p12,1,0.874744,0.024849,[ 3 50] ; [ 15 277],[ 2.76521739 50.23478261] ; [ 15.23478261 276.76521739],0
p7,1,0.895095,0.017387,[25 24] ; [141 141],[24.57401813 24.42598187] ; [141.42598187 140.57401813],0
r4,1,0.931077,0.00748,[43 10] ; [240  54],[43.22478386  9.77521614] ; [239.77521614  54.22478386],0
p4,1,0.951082,0.003764,[21 32] ; [114 177],[20.7994186 32.2005814] ; [114.2005814 176.7994186],0
p2,1,0.994403,4.9e-05,[40 13] ; [221  72],[39.97976879 13.02023121] ; [221.02023121  71.97976879],0
u2,1,1.0,0.0,[10 10] ; [48 48],[10. 10.] ; [48. 48.],0
p10,1,1.0,0.0,[39 13] ; [216  72],[39. 13.] ; [216.  72.],0
