Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-05,15.33262,[ 1 21] ; [19 15],[ 7.85714286 14.14285714] ; [12.14285714 21.85714286],1
d3,1,0.001026,10.780749,[ 5 17] ; [23 11],[11. 11.] ; [17. 17.],0
d5,1,0.002688,9.007978,[ 8 14] ; [26  8],[13.35714286  8.64285714] ; [20.64285714 13.35714286],0
v3,1,0.022169,5.232474,[ 1 21] ; [10 24],[ 4.32142857 17.67857143] ; [ 6.67857143 27.32142857],0
v1,1,0.044045,4.054834,[ 2 20] ; [11 23],[ 5.10714286 16.89285714] ; [ 7.89285714 26.10714286],0
s6,1,0.045283,4.008063,[ 4 18] ; [15 19],[ 7.46428571 14.53571429] ; [11.53571429 22.46428571],0
a3,1,0.048244,3.901462,[ 7 15] ; [20 14],[10.60714286 11.39285714] ; [16.39285714 17.60714286],0
a7,1,0.048244,3.901462,[ 7 15] ; [20 14],[10.60714286 11.39285714] ; [16.39285714 17.60714286],0
b1,1,0.063187,3.451691,[ 8 14] ; [21 13],[11.39285714 10.60714286] ; [17.60714286 16.39285714],0
n3,1,0.081584,3.033058,[9 4] ; [5 9],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
a5,1,0.091338,2.850641,[ 6 16] ; [17 17],[ 9.03571429 12.96428571] ; [13.96428571 20.03571429],0
r3,1,0.099218,2.718071,[10 12] ; [23 11],[12.96428571  9.03571429] ; [20.03571429 13.96428571],0
p7,1,0.126428,2.335829,[13  9] ; [13 21],[10.21428571 11.78571429] ; [15.78571429 18.21428571],0
n5,1,0.153399,2.038123,[14  8] ; [15 19],[11.39285714 10.60714286] ; [17.60714286 16.39285714],0
v2,1,0.154414,2.0281,[ 5 17] ; [14 20],[ 7.46428571 14.53571429] ; [11.53571429 22.46428571],0
p2,1,0.155097,2.02139,[12 10] ; [12 22],[ 9.42857143 12.57142857] ; [14.57142857 19.42857143],0
n2,1,0.17964,1.800598,[5 8] ; [9 5],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
s3,1,0.196874,1.665415,[ 5 17] ; [13 20],[ 7.2 14.8] ; [10.8 22.2],0
p3,1,0.216446,1.527778,[ 4 18] ; [11 22],[ 6. 16.] ; [ 9. 24.],0
b5,1,0.27375,1.197861,[ 9 13] ; [19 15],[11. 11.] ; [17. 17.],0
n6,1,0.315183,1.008832,[11 11] ; [21 12],[12.8  9.2] ; [19.2 13.8],0
d2,1,0.32167,0.982143,[ 9 13] ; [18 15],[10.8 11.2] ; [16.2 16.8],0
s1,1,0.338352,0.916667,[ 1 21] ; [ 4 29],[ 2. 20.] ; [ 3. 30.],0
s2,1,0.343212,0.898396,[ 4 18] ; [10 24],[ 5.5 16.5] ; [ 8.5 25.5],0
s8,1,0.37152,0.798574,[ 2 20] ; [ 6 28],[ 3.14285714 18.85714286] ; [ 4.85714286 29.14285714],0
a6,1,0.384929,0.754902,[11 11] ; [21 13],[12.57142857  9.42857143] ; [19.42857143 14.57142857],0
a4,1,0.396203,0.719818,[ 5 17] ; [11 22],[ 6.4 15.6] ; [ 9.6 23.4],0
u2,1,0.488462,0.479912,[ 5 10] ; [6 7],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
v4,1,0.514005,0.425906,[13  9] ; [23 11],[14.14285714  7.85714286] ; [21.85714286 12.14285714],0
p1,1,0.543783,0.368573,[ 1 21] ; [ 3 31],[ 1.57142857 20.42857143] ; [ 2.42857143 31.57142857],0
n1,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
b4,1,0.584218,0.299465,[10 12] ; [18 16],[11. 11.] ; [17. 17.],0
u3,1,0.598702,0.276958,[ 4 11] ; [5 9],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
r4,1,0.686357,0.163057,[ 6 16] ; [11 23],[ 6.67857143 15.32142857] ; [10.32142857 23.67857143],0
p10,1,0.689811,0.15929,[ 3 19] ; [ 6 28],[ 3.53571429 18.46428571] ; [ 5.46428571 28.53571429],0
p11,1,0.718728,0.129715,[ 8 14] ; [14 20],[ 8.64285714 13.35714286] ; [13.35714286 20.64285714],0
n4,1,0.739541,0.110531,[12 10] ; [17 17],[11.39285714 10.60714286] ; [17.60714286 16.39285714],0
b2,1,0.766242,0.088384,[ 4 10] ; [ 7 14],[4.4 9.6] ; [ 6.6 14.4],0
b3,1,0.766242,0.088384,[ 4 10] ; [ 7 14],[4.4 9.6] ; [ 6.6 14.4],0
s7,1,0.803942,0.061627,[ 4 17] ; [ 7 25],[ 4.35849057 16.64150943] ; [ 6.64150943 25.35849057],0
r2,1,0.816903,0.053606,[14  8] ; [22 11],[14.4  7.6] ; [21.6 11.4],0
p6,1,0.822902,0.050093,[ 5 16] ; [ 7 26],[ 4.66666667 16.33333333] ; [ 7.33333333 25.66666667],0
s5,1,0.839821,0.040854,[ 3 19] ; [ 5 27],[ 3.25925926 18.74074074] ; [ 4.74074074 27.25925926],0
p4,1,0.887637,0.019964,[ 8 14] ; [13 21],[ 8.25 13.75] ; [12.75 21.25],0
s4,1,0.944642,0.004821,[ 5 17] ; [ 8 26],[ 5.10714286 16.89285714] ; [ 7.89285714 26.10714286],0
p8,1,0.946849,0.004444,[ 6 15] ; [10 24],[ 6.10909091 14.89090909] ; [ 9.89090909 24.10909091],0
a1,1,0.972663,0.001174,[ 2 20] ; [ 3 31],[ 1.96428571 20.03571429] ; [ 3.03571429 30.96428571],0
