Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.007374,7.17964,[8 4] ; [ 3 14],[4.55172414 7.44827586] ; [ 6.44827586 10.55172414],0
d5,1,0.023189,5.154309,[5 7] ; [14  3],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
p7,1,0.035078,4.441387,[9 3] ; [ 6 11],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
d4,1,0.063835,3.434842,[7 5] ; [15  2],[9.10344828 2.89655172] ; [12.89655172  4.10344828],0
p2,1,0.071254,3.253889,[9 3] ; [ 7 10],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
s6,1,0.071855,3.240135,[8 3] ; [ 6 10],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
r2,1,0.079741,3.070175,[6 6] ; [13  3],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p3,1,0.095882,2.772736,[8 4] ; [ 6 11],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
d1,1,0.095882,2.772736,[4 8] ; [11  6],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
a5,1,0.132407,2.264057,[9 3] ; [8 9],[7.03448276 4.96551724] ; [9.96551724 7.03448276],0
p8,1,0.1354,2.229478,[5 6] ; [ 3 13],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
v2,1,0.176076,1.830439,[8 4] ; [ 7 10],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
p9,1,0.227907,1.453877,[9 3] ; [9 8],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
b2,1,0.263552,1.25,[2 6] ; [6 6],[3.2 4.8] ; [4.8 7.2],0
b3,1,0.263552,1.25,[2 6] ; [6 6],[3.2 4.8] ; [4.8 7.2],0
v3,1,0.263978,1.247772,[4 7] ; [ 3 14],[2.75 8.25] ; [ 4.25 12.75],0
v1,1,0.330931,0.945251,[4 8] ; [ 3 14],[2.89655172 9.10344828] ; [ 4.10344828 12.89655172],0
p11,1,0.36249,0.829248,[5 7] ; [10  7],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
r4,1,0.428398,0.627163,[6 6] ; [ 6 11],[4.96551724 7.03448276] ; [7.03448276 9.96551724],0
u2,1,0.465209,0.533333,[2 2] ; [1 3],[1.5 2.5] ; [1.5 2.5],0
s1,1,0.473763,0.513186,[ 1 11] ; [ 3 14],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
n4,1,0.494084,0.467621,[7 5] ; [12  5],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
s5,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
a8,1,0.544356,0.367526,[3 8] ; [ 3 14],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
r1,1,0.549563,0.3581,[5 7] ; [9 8],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
a7,1,0.549563,0.3581,[5 7] ; [9 8],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
s2,1,0.549563,0.3581,[7 5] ; [8 9],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
a3,1,0.560714,0.338469,[8 4] ; [13  4],[8.68965517 3.31034483] ; [12.31034483  4.68965517],0
s8,1,0.560714,0.338469,[4 8] ; [ 4 13],[3.31034483 8.68965517] ; [ 4.68965517 12.31034483],0
d3,1,0.637947,0.221437,[6 6] ; [10  7],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
s7,1,0.648206,0.20817,[4 6] ; [ 5 11],[3.46153846 6.53846154] ; [ 5.53846154 10.46153846],0
n6,1,0.72759,0.121336,[7 5] ; [11  6],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
p1,1,0.765064,0.089304,[ 1 11] ; [ 2 15],[ 1.24137931 10.75862069] ; [ 1.75862069 15.24137931],0
b5,1,0.773675,0.082697,[7 5] ; [9 8],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
r3,1,0.793475,0.06854,[9 3] ; [12  5],[8.68965517 3.31034483] ; [12.31034483  4.68965517],0
a2,1,0.797533,0.065813,[ 1 11] ; [ 1 16],[ 0.82758621 11.17241379] ; [ 1.17241379 15.82758621],0
n2,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
a6,1,0.875948,0.02437,[6 6] ; [9 8],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
b4,1,0.912875,0.011971,[8 4] ; [11  6],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
n5,1,0.912875,0.011971,[8 4] ; [11  6],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
a4,1,0.912875,0.011971,[4 8] ; [ 6 11],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
s4,1,0.945119,0.004739,[ 2 10] ; [ 3 14],[2.06896552 9.93103448] ; [ 2.93103448 14.06896552],0
p10,1,0.97894,0.000697,[7 5] ; [10  7],[7.03448276 4.96551724] ; [9.96551724 7.03448276],0
b1,1,0.97894,0.000697,[7 5] ; [10  7],[7.03448276 4.96551724] ; [9.96551724 7.03448276],0
d2,1,0.97894,0.000697,[7 5] ; [10  7],[7.03448276 4.96551724] ; [9.96551724 7.03448276],0
u3,1,1.0,0.0,[1 3] ; [1 3],[1. 3.] ; [1. 3.],0
