Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.007374,7.179487,[18 10] ; [ 8 20],[13. 15.] ; [13. 15.],0
d5,1,0.012983,6.171429,[22  6] ; [13 15],[17.5 10.5] ; [17.5 10.5],0
a5,1,0.015551,5.852903,[20  8] ; [11 17],[15.5 12.5] ; [15.5 12.5],0
b5,1,0.032509,4.571429,[18 10] ; [10 18],[14. 14.] ; [14. 14.],0
a3,1,0.036423,4.377205,[20  7] ; [13 15],[16.2 10.8] ; [16.8 11.2],0
s4,1,0.043352,4.081633,[ 1 27] ; [ 6 22],[ 3.5 24.5] ; [ 3.5 24.5],0
b4,1,0.053337,3.733333,[21  7] ; [14 14],[17.5 10.5] ; [17.5 10.5],0
d3,1,0.059882,3.540645,[16 12] ; [ 9 19],[12.5 15.5] ; [12.5 15.5],0
r3,1,0.07626,3.142857,[18  9] ; [12 16],[14.72727273 12.27272727] ; [15.27272727 12.72727273],0
p8,1,0.079566,3.073743,[ 8 19] ; [ 3 25],[ 5.4 21.6] ; [ 5.6 22.4],0
a2,1,0.083953,2.986667,[ 5 23] ; [ 1 27],[ 3. 25.] ; [ 3. 25.],0
b2,1,0.092881,2.823726,[ 5 14] ; [11 10],[ 7.6 11.4] ; [ 8.4 12.6],0
b3,1,0.092881,2.823726,[ 5 14] ; [11 10],[ 7.6 11.4] ; [ 8.4 12.6],0
v3,1,0.140358,2.174026,[ 6 22] ; [ 2 25],[ 4.07272727 23.92727273] ; [ 3.92727273 23.07272727],0
v1,1,0.187773,1.735005,[ 9 18] ; [ 5 23],[ 6.87272727 20.12727273] ; [ 7.12727273 20.87272727],0
s6,1,0.246219,1.344632,[ 9 19] ; [ 5 22],[ 7.12727273 20.87272727] ; [ 6.87272727 20.12727273],0
n5,1,0.27375,1.197861,[15 13] ; [19  9],[17. 11.] ; [17. 11.],0
s1,1,0.299387,1.076923,[ 3 25] ; [ 1 27],[ 2. 26.] ; [ 2. 26.],0
n1,1,0.301941,1.065601,[4 7] ; [8 6],[5.28 5.72] ; [6.72 7.28],0
p3,1,0.312951,1.018182,[ 4 24] ; [ 7 21],[ 5.5 22.5] ; [ 5.5 22.5],0
r2,1,0.341153,0.906092,[13 13] ; [17 10],[14.71698113 11.28301887] ; [15.28301887 11.71698113],0
r4,1,0.383272,0.760181,[10 18] ; [ 7 21],[ 8.5 19.5] ; [ 8.5 19.5],0
a1,1,0.387534,0.746667,[ 4 24] ; [ 2 26],[ 3. 25.] ; [ 3. 25.],0
b1,1,0.419997,0.650323,[14 14] ; [17 11],[15.5 12.5] ; [15.5 12.5],0
v2,1,0.432277,0.616697,[10 18] ; [ 7 20],[ 8.65454545 19.34545455] ; [ 8.34545455 18.65454545],0
s8,1,0.445009,0.583333,[ 5 23] ; [ 3 25],[ 4. 24.] ; [ 4. 24.],0
p1,1,0.445009,0.583333,[ 3 25] ; [ 5 23],[ 4. 24.] ; [ 4. 24.],0
u2,1,0.482016,0.494298,[2 6] ; [ 2 13],[1.39130435 6.60869565] ; [ 2.60869565 12.39130435],0
n6,1,0.490555,0.475309,[11 16] ; [14 14],[12.27272727 14.72727273] ; [12.72727273 15.27272727],0
p10,1,0.508813,0.436508,[10 18] ; [12 15],[11.2 16.8] ; [10.8 16.2],0
r1,1,0.584218,0.299465,[12 16] ; [10 18],[11. 17.] ; [11. 17.],0
p11,1,0.592034,0.287179,[12 16] ; [14 14],[13. 15.] ; [13. 15.],0
p2,1,0.646408,0.210459,[11 17] ; [ 9 18],[10.18181818 17.81818182] ; [ 9.81818182 17.18181818],0
p5,1,0.669764,0.181878,[ 2 25] ; [ 3 25],[ 2.45454545 24.54545455] ; [ 2.54545455 25.45454545],0
s5,1,0.67142,0.179945,[ 4 24] ; [ 5 22],[ 4.58181818 23.41818182] ; [ 4.41818182 22.58181818],0
d2,1,0.687536,0.161766,[13 15] ; [14 13],[13.74545455 14.25454545] ; [13.25454545 13.74545455],0
a4,1,0.70129,0.147133,[10 18] ; [11 16],[10.69090909 17.30909091] ; [10.30909091 16.69090909],0
s7,1,0.735451,0.114165,[ 5 22] ; [ 6 21],[ 5.5 21.5] ; [ 5.5 21.5],0
p6,1,0.763944,0.090183,[ 4 24] ; [ 3 23],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
n4,1,0.777761,0.079659,[18 10] ; [19  9],[18.5  9.5] ; [18.5  9.5],0
n2,1,0.821348,0.050991,[5 6] ; [7 7],[5.28 5.72] ; [6.72 7.28],0
s3,1,0.937186,0.00621,[ 7 21] ; [ 7 20],[ 7.12727273 20.87272727] ; [ 6.87272727 20.12727273],0
n3,1,0.972671,0.001174,[6 5] ; [7 6],[5.95833333 5.04166667] ; [7.04166667 5.95833333],0
p12,1,0.979099,0.000686,[ 1 27] ; [ 1 26],[ 1.01818182 26.98181818] ; [ 0.98181818 26.01818182],0
p7,1,1.0,0.0,[ 9 19] ; [ 9 19],[ 9. 19.] ; [ 9. 19.],0
p9,1,1.0,0.0,[13 14] ; [13 14],[13. 14.] ; [13. 14.],0
d4,1,1.0,0.0,[19  9] ; [19  9],[19.  9.] ; [19.  9.],0
d1,1,1.0,0.0,[11 17] ; [11 17],[11. 17.] ; [11. 17.],0
p4,1,1.0,0.0,[ 8 20] ; [ 8 20],[ 8. 20.] ; [ 8. 20.],0
