Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.8e-05,18.417302,[ 5 27] ; [27 14],[14.02739726 17.97260274] ; [17.97260274 23.02739726],1
p2,1,0.000528,12.014605,[19 13] ; [39  3],[25.08108108  6.91891892] ; [32.91891892  9.08108108],1
p10,1,0.001892,9.651697,[18 14] ; [37  5],[23.78378378  8.21621622] ; [31.21621622 10.78378378],0
p3,1,0.003934,8.314028,[ 9 23] ; [26 16],[15.13513514 16.86486486] ; [19.86486486 22.13513514],0
p6,1,0.008889,6.845079,[ 3 29] ; [15 27],[ 7.78378378 24.21621622] ; [10.21621622 31.78378378],0
p9,1,0.010462,6.554507,[18 14] ; [35  7],[22.91891892  9.08108108] ; [30.08108108 11.91891892],0
b4,1,0.032007,4.598114,[21 11] ; [17 25],[16.43243243 15.56756757] ; [21.56756757 20.43243243],0
p4,1,0.037445,4.330061,[12 20] ; [26 16],[16.43243243 15.56756757] ; [21.56756757 20.43243243],0
s7,1,0.058644,3.575318,[ 9 22] ; [21 20],[12.91666667 18.08333333] ; [17.08333333 23.91666667],0
s8,1,0.11091,2.541209,[ 8 24] ; [18 24],[11.24324324 20.75675676] ; [14.75675676 27.24324324],0
p11,1,0.128706,2.308048,[20 12] ; [33  9],[22.91891892  9.08108108] ; [30.08108108 11.91891892],0
r3,1,0.13017,2.290476,[26  6] ; [39  3],[28.10810811  3.89189189] ; [36.89189189  5.10810811],0
b1,1,0.132636,2.261373,[ 9 23] ; [19 23],[12.10810811 19.89189189] ; [15.89189189 26.10810811],0
n2,1,0.137996,2.200161,[6 7] ; [7 2],[7.68181818 5.31818182] ; [5.31818182 3.68181818],0
v4,1,0.224405,1.475979,[26  5] ; [39  3],[27.60273973  3.39726027] ; [37.39726027  4.60273973],0
b5,1,0.233195,1.42127,[24  8] ; [26 16],[21.62162162 10.37837838] ; [28.37837838 13.62162162],0
s3,1,0.276688,1.183287,[16 15] ; [27 15],[18.26027397 12.73972603] ; [24.73972603 17.26027397],0
n5,1,0.277442,1.179577,[19 13] ; [30 12],[21.18918919 10.81081081] ; [27.81081081 14.18918919],0
a2,1,0.317354,0.99982,[ 4 28] ; [ 9 33],[ 5.62162162 26.37837838] ; [ 7.37837838 34.62162162],0
a3,1,0.368991,0.80706,[23  9] ; [26 16],[21.18918919 10.81081081] ; [27.81081081 14.18918919],0
d5,1,0.387653,0.746292,[23  9] ; [33  8],[24.54794521  7.45205479] ; [31.45205479  9.54794521],0
u2,1,0.420345,0.649351,[3 6] ; [8 8],[3.96 5.04] ; [7.04 8.96],0
r1,1,0.437159,0.60373,[24  8] ; [28 14],[22.48648649  9.51351351] ; [29.51351351 12.48648649],0
s2,1,0.458517,0.549513,[15 16] ; [24 18],[16.56164384 14.43835616] ; [22.43835616 19.56164384],0
d1,1,0.501278,0.452229,[17 15] ; [19 23],[15.56756757 16.43243243] ; [20.43243243 21.56756757],0
v1,1,0.536572,0.381931,[11 21] ; [17 24],[12.2739726 19.7260274] ; [15.7260274 25.2739726],0
n6,1,0.605111,0.267356,[25  7] ; [34  7],[25.8630137  6.1369863] ; [33.1369863  7.8630137],0
u1,1,0.605745,0.266417,[ 6 26] ; [ 6 36],[ 5.18918919 26.81081081] ; [ 6.81081081 35.18918919],0
s6,1,0.632455,0.228747,[22 10] ; [31 11],[22.91891892  9.08108108] ; [30.08108108 11.91891892],0
d4,1,0.632455,0.228747,[22 10] ; [31 11],[22.91891892  9.08108108] ; [30.08108108 11.91891892],0
d2,1,0.666089,0.186211,[13 19] ; [15 27],[12.10810811 19.89189189] ; [15.89189189 26.10810811],0
v2,1,0.667311,0.184763,[12 20] ; [17 23],[12.88888889 19.11111111] ; [16.11111111 23.88888889],0
a8,1,0.692612,0.156272,[ 2 26] ; [ 2 39],[ 1.62318841 26.37681159] ; [ 2.37681159 38.62318841],0
r4,1,0.717485,0.130916,[24  8] ; [33  9],[24.64864865  7.35135135] ; [32.35135135  9.64864865],0
u3,1,0.733701,0.115741,[5 4] ; [10  6],[5.4 3.6] ; [9.6 6.4],0
a7,1,0.740663,0.109545,[23  9] ; [28 13],[22.35616438  9.64383562] ; [28.64383562 12.35616438],0
p1,1,0.779126,0.078656,[ 2 30] ; [ 2 40],[ 1.72972973 30.27027027] ; [ 2.27027027 39.72972973],0
s1,1,0.779126,0.078656,[ 2 30] ; [ 2 40],[ 1.72972973 30.27027027] ; [ 2.27027027 39.72972973],0
b3,1,0.791857,0.069643,[ 3 12] ; [ 4 20],[ 2.69230769 12.30769231] ; [ 4.30769231 19.69230769],0
b2,1,0.791857,0.069643,[ 3 12] ; [ 4 20],[ 2.69230769 12.30769231] ; [ 4.30769231 19.69230769],0
a1,1,0.84497,0.038236,[ 1 31] ; [ 1 41],[ 0.86486486 31.13513514] ; [ 1.13513514 40.86486486],0
d3,1,0.859714,0.031237,[24  8] ; [30 11],[23.67123288  8.32876712] ; [30.32876712 10.67123288],0
r2,1,0.865161,0.028835,[27  4] ; [36  6],[26.75342466  4.24657534] ; [36.24657534  5.75342466],0
n1,1,0.898977,0.016117,[4 9] ; [3 6],[4.13636364 8.86363636] ; [2.86363636 6.13636364],0
a6,1,0.904833,0.014294,[21 11] ; [27 15],[20.75675676 11.24324324] ; [27.24324324 14.75675676],0
a4,1,0.925221,0.00881,[11 21] ; [14 28],[10.81081081 21.18918919] ; [14.18918919 27.81081081],0
a5,1,0.958285,0.002736,[20 12] ; [26 16],[19.89189189 12.10810811] ; [26.10810811 15.89189189],0
n4,1,0.958285,0.002736,[20 12] ; [26 16],[19.89189189 12.10810811] ; [26.10810811 15.89189189],0
v3,1,1.0,0.0,[ 8 24] ; [10 30],[ 8. 24.] ; [10. 30.],0
