Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.00049,12.154908,[10 43] ; [15 11],[16.7721519 36.2278481] ; [ 8.2278481 17.7721519],1
d5,1,0.004135,8.223503,[29 26] ; [23  4],[34.87804878 20.12195122] ; [17.12195122  9.87804878],0
a3,1,0.006136,7.509896,[21 34] ; [19  8],[26.82926829 28.17073171] ; [13.17073171 13.82926829],0
s8,1,0.017856,5.610246,[ 9 45] ; [11 16],[13.33333333 40.66666667] ; [ 6.66666667 20.33333333],0
a8,1,0.028823,4.77814,[ 3 47] ; [ 6 20],[ 5.92105263 44.07894737] ; [ 3.07894737 22.92105263],0
b5,1,0.031545,4.623061,[38 17] ; [12 15],[33.53658537 21.46341463] ; [16.46341463 10.53658537],0
d4,1,0.064141,3.426923,[33 21] ; [22  5],[36.66666667 17.33333333] ; [18.33333333  8.66666667],0
d1,1,0.066067,3.37813,[17 38] ; [14 13],[20.79268293 34.20731707] ; [10.20731707 16.79268293],0
p11,1,0.094052,2.803607,[28 27] ; [19  8],[31.52439024 23.47560976] ; [15.47560976 11.52439024],0
p3,1,0.094052,2.803607,[27 28] ; [ 8 19],[23.47560976 31.52439024] ; [11.52439024 15.47560976],0
n4,1,0.169668,1.885876,[30 25] ; [19  8],[32.86585366 22.13414634] ; [16.13414634 10.86585366],0
n5,1,0.176622,1.825823,[28 27] ; [18  9],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
s2,1,0.180941,1.789876,[20 35] ; [14 13],[22.80487805 32.19512195] ; [11.19512195 15.80487805],0
a5,1,0.181221,1.787583,[26 29] ; [17 10],[28.84146341 26.15853659] ; [14.15853659 12.84146341],0
p6,1,0.189843,1.718833,[22 32] ; [ 7 20],[19.33333333 34.66666667] ; [ 9.66666667 17.33333333],0
u1,1,0.19561,1.674848,[ 7 48] ; [ 1 26],[ 5.36585366 49.63414634] ; [ 2.63414634 24.36585366],0
v3,1,0.20429,1.611438,[13 42] ; [10 17],[15.42682927 39.57317073] ; [ 7.57317073 19.42682927],0
a1,1,0.205186,1.605075,[ 1 54] ; [ 2 25],[ 2.01219512 52.98780488] ; [ 0.98780488 26.01219512],0
s6,1,0.20869,1.580488,[24 30] ; [16 11],[26.66666667 27.33333333] ; [13.33333333 13.66666667],0
p2,1,0.234017,1.41628,[38 17] ; [22  5],[40.24390244 14.75609756] ; [19.75609756  7.24390244],0
n2,1,0.236386,1.402019,[11  6] ; [7 1],[12.24  4.76] ; [5.76 2.24],0
s3,1,0.236477,1.401476,[27 28] ; [17 10],[29.51219512 25.48780488] ; [14.48780488 12.51219512],0
s5,1,0.240518,1.377556,[ 8 45] ; [ 7 20],[ 9.9375 43.0625] ; [ 5.0625 21.9375],0
a7,1,0.295089,1.096257,[30 25] ; [18  9],[32.19512195 22.80487805] ; [15.80487805 11.19512195],0
d3,1,0.302618,1.062623,[28 27] ; [17 10],[30.18292683 24.81707317] ; [14.81707317 12.18292683],0
a6,1,0.302618,1.062623,[28 27] ; [17 10],[30.18292683 24.81707317] ; [14.81707317 12.18292683],0
b1,1,0.371275,0.799393,[31 24] ; [18  9],[32.86585366 22.13414634] ; [16.13414634 10.86585366],0
v2,1,0.379269,0.77307,[22 31] ; [14 13],[23.85 29.15] ; [12.15 14.85],0
b4,1,0.380094,0.770396,[29 26] ; [17 10],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
r1,1,0.430541,0.621364,[36 19] ; [20  7],[37.56097561 17.43902439] ; [18.43902439  8.56097561],0
u3,1,0.524169,0.405682,[17 17] ; [5 3],[17.80952381 16.19047619] ; [4.19047619 3.80952381],0
