Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,89.622856,[334  64] ; [139 139],[278.48224852 119.51775148] ; [194.51775148  83.48224852],1
p3,1,0.0,42.250537,[258 144] ; [110 172],[216.28070175 185.71929825] ; [151.71929825 130.28070175],1
p4,1,0.0,39.065741,[301 101] ; [146 136],[262.71052632 139.28947368] ; [184.28947368  97.71052632],1
p6,1,0.0,32.711026,[195 203] ; [ 76 204],[159.08259587 238.91740413] ; [111.91740413 168.08259587],1
p5,1,4e-06,21.3396,[ 69 334] ; [ 15 266],[ 49.49122807 353.50877193] ; [ 34.50877193 246.49122807],1
p11,1,9e-05,15.340659,[350  53] ; [212  70],[330.63649635  72.36350365] ; [231.36350365  50.63649635],1
s8,1,0.000367,12.691067,[207 193] ; [107 175],[184.16422287 215.83577713] ; [129.83577713 152.16422287],1
p10,1,0.000589,11.810195,[357  45] ; [221  58],[341.19823789  60.80176211] ; [236.80176211  42.19823789],1
n5,1,0.000697,11.497807,[326  76] ; [195  84],[307.55066079  94.44933921] ; [213.44933921  65.55066079],1
v1,1,0.000946,10.929967,[244 152] ; [133 140],[223.15695067 172.84304933] ; [153.84304933 119.15695067],1
p1,1,0.001315,10.321681,[ 49 352] ; [ 14 267],[ 37.04252199 363.95747801] ; [ 25.95747801 255.04252199],0
v3,1,0.003153,8.717028,[178 214] ; [ 92 179],[159.63800905 232.36199095] ; [110.36199095 160.63800905],0
p9,1,0.003416,8.570823,[364  36] ; [234  46],[351.76470588  48.23529412] ; [246.23529412  33.76470588],0
n6,1,0.005621,7.667819,[358  43] ; [230  51],[345.73020528  55.26979472] ; [242.26979472  38.73020528],0
d1,1,0.006075,7.527881,[262 141] ; [154 128],[244.74160584 158.25839416] ; [171.25839416 110.74160584],0
s5,1,0.008049,7.022436,[154 234] ; [ 81 192],[137.94251135 250.05748865] ; [ 97.05748865 175.94251135],0
s7,1,0.01568,5.83838,[209 175] ; [122 150],[193.75609756 190.24390244] ; [137.24390244 134.75609756],0
b5,1,0.017484,5.647127,[228 175] ; [185  97],[242.97664234 160.02335766] ; [170.02335766 111.97664234],0
p12,1,0.022148,5.234121,[ 41 360] ; [ 15 266],[ 32.92668622 368.07331378] ; [ 23.07331378 257.92668622],0
n4,1,0.026386,4.930569,[331  71] ; [211  69],[319.47800587  82.52199413] ; [222.52199413  57.47800587],0
s6,1,0.034196,4.484889,[282 108] ; [181  99],[269.50746269 120.49253731] ; [193.49253731  86.50746269],0
a6,1,0.036521,4.372614,[271 131] ; [211  71],[283.28070175 118.71929825] ; [198.71929825  83.28070175],0
a5,1,0.039613,4.234388,[315  88] ; [201  81],[303.57372263  99.42627737] ; [212.42627737  69.57372263],0
d4,1,0.051913,3.778564,[347  55] ; [227  54],[337.84480234  64.15519766] ; [236.15519766  44.84480234],0
a1,1,0.05688,3.62609,[ 22 381] ; [  7 275],[ 17.06131387 385.93868613] ; [ 11.93868613 270.06131387],0
r1,1,0.069208,3.301694,[354  48] ; [232  47],[345.92070485  56.07929515] ; [240.07929515  38.92070485],0
u4,1,0.129436,2.299255,[ 11 392] ; [  3 279],[  8.23649635 394.76350365] ; [  5.76350365 276.23649635],0
a2,1,0.149727,2.075033,[ 92 311] ; [ 78 204],[100.01459854 302.98540146] ; [ 69.98540146 212.01459854],0
b1,1,0.170724,1.876571,[152 251] ; [ 92 190],[143.55036496 259.44963504] ; [100.44963504 181.55036496],0
v2,1,0.18728,1.738884,[233 159] ; [146 123],[224.76248109 167.23751891] ; [154.23751891 114.76248109],0
u3,1,0.226603,1.462058,[60 47] ; [50 27],[63.9673913 43.0326087] ; [46.0326087 30.9673913],0
d3,1,0.228215,1.451949,[298 105] ; [196  85],[291.05555556 111.94444444] ; [202.94444444  78.05555556],0
r3,1,0.243609,1.359585,[395   7] ; [280   2],[396.71052632   5.28947368] ; [278.28947368   3.71052632],0
u1,1,0.290683,1.116455,[ 70 333] ; [ 58 224],[ 75.30510949 327.69489051] ; [ 52.69489051 229.30510949],0
n1,1,0.312301,1.020919,[24 34] ; [25 51],[21.20895522 36.79104478] ; [27.79104478 48.20895522],0
a4,1,0.409085,0.681458,[176 226] ; [132 149],[181.28257687 220.71742313] ; [126.71742313 154.28257687],0
s1,1,0.422308,0.643884,[  9 391] ; [  9 267],[ 10.65088757 389.34911243] ; [  7.34911243 268.65088757],0
n2,1,0.457359,0.552351,[46 13] ; [55 21],[44.14074074 14.85925926] ; [56.85925926 19.14074074],0
b4,1,0.5805,0.305428,[233 170] ; [169 113],[236.50510949 166.49489051] ; [165.49489051 116.50510949],0
d5,1,0.623011,0.241658,[339  63] ; [233  48],[336.66764275  65.33235725] ; [235.33235725  45.66764275],0
d2,1,0.631104,0.230566,[204 199] ; [137 144],[200.91081871 202.08918129] ; [140.08918129 140.91081871],0
a8,1,0.633814,0.226924,[ 58 309] ; [ 36 214],[ 55.91247974 311.08752026] ; [ 38.08752026 211.91247974],0
s3,1,0.640018,0.218719,[238 163] ; [160 118],[235.04860088 165.95139912] ; [162.95139912 115.04860088],0
v4,1,0.651582,0.203912,[395   8] ; [273   7],[394.14934114   8.85065886] ; [273.85065886   6.14934114],0
n3,1,0.707871,0.140413,[43 15] ; [60 18],[43.92647059 14.07352941] ; [59.07352941 18.92647059],0
s4,1,0.711772,0.136514,[ 65 331] ; [ 43 237],[ 63.26627219 332.73372781] ; [ 44.73372781 235.26627219],0
a3,1,0.722229,0.126367,[295 106] ; [204  78],[292.97071742 108.02928258] ; [206.02928258  75.97071742],0
s2,1,0.833411,0.044238,[211 190] ; [144 134],[209.6539028 191.3460972] ; [145.3460972 132.6539028],0
u2,1,0.848764,0.036365,[61 47] ; [44 32],[61.63043478 46.36956522] ; [43.36956522 32.63043478],0
b3,1,0.893992,0.017757,[ 92 149] ; [ 66 104],[ 92.64720195 148.35279805] ; [ 65.35279805 104.64720195],0
b2,1,0.893992,0.017757,[ 92 149] ; [ 66 104],[ 92.64720195 148.35279805] ; [ 65.35279805 104.64720195],0
r2,1,0.914569,0.011508,[391   9] ; [276   6],[391.20234604   8.79765396] ; [275.79765396   6.20234604],0
