Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.372361,[32  7] ; [30 53],[19.81967213 19.18032787] ; [42.18032787 40.81967213],1
p11,1,2.7e-05,17.647187,[35  7] ; [38 48],[23.953125 18.046875] ; [49.046875 36.953125],1
p10,1,0.001579,9.983519,[31 11] ; [37 47],[22.66666667 19.33333333] ; [45.33333333 38.66666667],0
p2,1,0.002762,8.958637,[35  7] ; [48 37],[27.4488189 14.5511811] ; [55.5511811 29.4488189],0
p6,1,0.002894,8.872865,[16 24] ; [13 70],[ 9.43089431 30.56910569] ; [19.56910569 63.43089431],0
p3,1,0.005966,7.560546,[20 22] ; [20 65],[13.22834646 28.77165354] ; [26.77165354 58.22834646],0
s6,1,0.009825,6.666444,[26 16] ; [32 53],[19.18110236 22.81889764] ; [38.81889764 46.18110236],0
s8,1,0.016799,5.717239,[16 26] ; [16 70],[10.5 31.5] ; [21.5 64.5],0
p4,1,0.017175,5.678405,[22 20] ; [26 59],[15.87401575 26.12598425] ; [32.12598425 52.87401575],0
a4,1,0.023013,5.167546,[ 9 33] ; [36 50],[14.765625 27.234375] ; [30.234375 55.765625],0
r3,1,0.024947,5.027567,[38  4] ; [63 23],[33.140625  8.859375] ; [67.859375 18.140625],0
v4,1,0.033555,4.517219,[37  4] ; [62 22],[32.472  8.528] ; [66.528 17.472],0
n4,1,0.044127,4.051714,[15 27] ; [47 39],[20.34375 21.65625] ; [41.65625 44.34375],0
a6,1,0.045668,3.993795,[32 10] ; [50 36],[26.90625 15.09375] ; [55.09375 30.90625],0
s7,1,0.054681,3.691791,[16 24] ; [18 60],[11.52542373 28.47457627] ; [22.47457627 55.52542373],0
b4,1,0.06029,3.529384,[17 25] ; [50 36],[21.984375 20.015625] ; [45.015625 40.984375],0
n1,1,0.063067,3.454839,[6 3] ; [14 28],[3.52941176 5.47058824] ; [16.47058824 25.52941176],0
p9,1,0.071446,3.249474,[30 12] ; [46 38],[25.33333333 16.66666667] ; [50.66666667 33.33333333],0
d5,1,0.093875,2.806645,[33  9] ; [55 31],[28.875 13.125] ; [59.125 26.875],0
n2,1,0.103121,2.656601,[8 1] ; [26 17],[5.88461538 3.11538462] ; [28.11538462 14.88461538],0
r4,1,0.144795,2.126246,[30 12] ; [50 36],[26.25 15.75] ; [53.75 32.25],0
u1,1,0.150418,2.068011,[ 1 41] ; [ 8 78],[ 2.953125 39.046875] ; [ 6.046875 79.953125],0
r1,1,0.166309,1.915899,[30 12] ; [50 35],[26.45669291 15.54330709] ; [53.54330709 31.45669291],0
a7,1,0.233219,1.421122,[29 13] ; [50 36],[25.921875 16.078125] ; [53.078125 32.921875],0
a3,1,0.278784,1.173009,[23 19] ; [55 30],[25.79527559 16.20472441] ; [52.20472441 32.79527559],0
d2,1,0.293074,1.105446,[14 28] ; [37 49],[16.734375 25.265625] ; [34.265625 51.734375],0
v2,1,0.317896,0.997585,[16 24] ; [25 56],[13.55371901 26.44628099] ; [27.44628099 53.55371901],0
b3,1,0.320433,0.987179,[ 5 20] ; [16 36],[ 6.81818182 18.18181818] ; [14.18181818 37.81818182],0
b2,1,0.320433,0.987179,[ 5 20] ; [16 36],[ 6.81818182 18.18181818] ; [14.18181818 37.81818182],0
u3,1,0.341314,0.90549,[13  6] ; [17 14],[11.4  7.6] ; [18.6 12.4],0
b5,1,0.344248,0.894546,[29 13] ; [52 34],[26.578125 15.421875] ; [54.421875 31.578125],0
n5,1,0.373941,0.790525,[16 26] ; [39 45],[18.33333333 23.66666667] ; [36.66666667 47.33333333],0
v1,1,0.39006,0.738754,[17 23] ; [29 55],[14.83870968 25.16129032] ; [31.16129032 52.83870968],0
a8,1,0.45474,0.558811,[ 3 36] ; [10 72],[ 4.19008264 34.80991736] ; [ 8.80991736 73.19008264],0
d3,1,0.472758,0.515523,[27 15] ; [49 36],[25.13385827 16.86614173] ; [50.86614173 34.13385827],0
a1,1,0.482821,0.492484,[ 2 40] ; [ 7 79],[ 2.953125 39.046875] ; [ 6.046875 79.953125],0
s5,1,0.510657,0.43272,[10 32] ; [15 65],[ 8.60655738 33.39344262] ; [16.39344262 63.60655738],0
s2,1,0.535724,0.383522,[16 26] ; [28 58],[14.4375 27.5625] ; [29.5625 56.4375],0
a2,1,0.543106,0.369814,[ 6 36] ; [16 70],[ 7.21875 34.78125] ; [14.78125 71.21875],0
s3,1,0.57241,0.318667,[22 20] ; [40 45],[20.50393701 21.49606299] ; [41.49606299 43.50393701],0
p12,1,0.61425,0.254032,[ 1 41] ; [ 1 83],[ 0.66666667 41.33333333] ; [ 1.33333333 82.66666667],0
p1,1,0.616188,0.251262,[ 2 40] ; [ 6 79],[ 2.64566929 39.35433071] ; [ 5.35433071 79.64566929],0
r2,1,0.673187,0.177896,[34  7] ; [67 17],[33.128  7.872] ; [67.872 16.128],0
n3,1,0.723308,0.125346,[5 4] ; [26 16],[5.47058824 3.52941176] ; [25.52941176 16.47058824],0
p5,1,0.726953,0.121928,[ 2 40] ; [ 3 83],[ 1.640625 40.359375] ; [ 3.359375 82.640625],0
s1,1,0.727365,0.121545,[ 1 41] ; [ 3 82],[ 1.32283465 40.67716535] ; [ 2.67716535 82.32283465],0
d1,1,0.784106,0.075061,[17 25] ; [37 49],[17.71875 24.28125] ; [36.28125 49.71875],0
d4,1,0.857555,0.032216,[30 12] ; [62 23],[30.42519685 11.57480315] ; [61.57480315 23.42519685],0
u2,1,0.894939,0.017439,[12  7] ; [19 12],[11.78  7.22] ; [19.22 11.78],0
a5,1,0.906158,0.013897,[22 20] ; [46 40],[22.3125 19.6875] ; [45.6875 40.3125],0
s4,1,0.913083,0.011914,[ 7 35] ; [15 71],[ 7.21875 34.78125] ; [14.78125 71.21875],0
b1,1,0.990571,0.00014,[23 19] ; [47 39],[22.96875 19.03125] ; [47.03125 38.96875],0
