Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.293659,[100  23] ; [32 43],[82. 41.] ; [50. 25.],1
p7,1,0.0,28.00203,[104  18] ; [36 36],[88.04123711 33.95876289] ; [51.95876289 20.04123711],1
p6,1,2e-06,22.697222,[65 58] ; [14 61],[49.07575758 73.92424242] ; [29.92424242 45.07575758],1
p2,1,6.5e-05,15.948776,[117   7] ; [56 19],[107.79899497  16.20100503] ; [65.20100503  9.79899497],1
p5,1,9e-05,15.331835,[32 92] ; [ 3 72],[ 21.80904523 102.19095477] ; [13.19095477 61.80904523],1
s5,1,0.000295,13.103601,[69 51] ; [22 50],[56.875 63.125] ; [34.125 37.875],1
r4,1,0.000461,12.269017,[123   1] ; [66  9],[117.76884422   6.23115578] ; [71.23115578  3.76884422],1
p3,1,0.000594,11.795302,[86 37] ; [34 41],[74.54545455 48.45454545] ; [45.45454545 29.54545455],1
p9,1,0.001537,10.033224,[115   9] ; [57 17],[107.71717172  16.28282828] ; [64.28282828  9.71717172],0
v1,1,0.002717,8.988056,[95 29] ; [41 32],[85.60406091 38.39593909] ; [50.39593909 22.60406091],0
s8,1,0.00415,8.217177,[88 34] ; [39 36],[78.64974619 43.35025381] ; [48.35025381 26.64974619],0
v2,1,0.006442,7.422393,[104  18] ; [51 23],[96.47959184 25.52040816] ; [58.52040816 15.47959184],0
p10,1,0.011847,6.333694,[112  12] ; [58 17],[105.92964824  18.07035176] ; [64.07035176 10.92964824],0
p1,1,0.01291,6.181463,[ 19 104] ; [ 3 72],[ 13.66666667 109.33333333] ; [ 8.33333333 66.66666667],0
d3,1,0.025186,5.011076,[98 25] ; [49 26],[91.31818182 31.68181818] ; [55.68181818 19.31818182],0
p11,1,0.028679,4.786779,[109  15] ; [57 18],[103.43718593  20.56281407] ; [62.56281407 12.43718593],0
n6,1,0.056872,3.626329,[113   9] ; [63 12],[108.99492386  13.00507614] ; [67.00507614  7.99492386],0
u1,1,0.06379,3.43599,[ 21 103] ; [21 54],[26.17085427 97.82914573] ; [15.82914573 59.17085427],0
d4,1,0.090726,2.861451,[107  15] ; [59 16],[102.80203046  19.19796954] ; [63.19796954 11.80203046],0
n2,1,0.112322,2.521242,[15  1] ; [17  6],[13.12820513  2.87179487] ; [18.87179487  4.12820513],0
p12,1,0.138252,2.197307,[25 99] ; [ 9 66],[ 21.18592965 102.81407035] ; [12.81407035 62.18592965],0
b5,1,0.157879,1.994429,[65 59] ; [47 28],[69.78894472 54.21105528] ; [42.21105528 32.78894472],0
a2,1,0.16237,1.952013,[30 94] ; [25 50],[34.27135678 89.72864322] ; [20.72864322 54.27135678],0
d5,1,0.205472,1.603047,[99 23] ; [66  9],[102.18274112  19.81725888] ; [62.81725888 12.18274112],0
r1,1,0.22768,1.455293,[110  14] ; [62 13],[107.1758794  16.8241206] ; [64.8241206 10.1758794],0
n5,1,0.24176,1.370299,[107  17] ; [60 15],[104.06030151  19.93969849] ; [62.93969849 12.06030151],0
a6,1,0.242381,1.366692,[78 44] ; [54 21],[81.74619289 40.25380711] ; [50.25380711 24.74619289],0
s1,1,0.262498,1.255537,[  3 121] ; [ 4 69],[  4.40609137 119.59390863] ; [ 2.59390863 70.40609137],0
a1,1,0.274769,1.192784,[ 12 112] ; [ 4 71],[  9.96984925 114.03015075] ; [ 6.03015075 68.96984925],0
v4,1,0.279554,1.169256,[121   3] ; [71  4],[119.63819095   4.36180905] ; [72.36180905  2.63819095],0
d2,1,0.290076,1.119268,[61 62] ; [43 32],[64.60606061 58.39393939] ; [39.39393939 35.60606061],0
a7,1,0.296809,1.088475,[89 34] ; [49 26],[85.72727273 37.27272727] ; [52.27272727 22.72727273],0
d1,1,0.394858,0.723929,[85 39] ; [47 28],[82.25125628 41.74874372] ; [49.74874372 25.25125628],0
a8,1,0.397434,0.716076,[19 99] ; [ 8 61],[ 17.03743316 100.96256684] ; [ 9.96256684 59.03743316],0
b3,1,0.409284,0.68088,[33 41] ; [17 29],[30.83333333 43.16666667] ; [19.16666667 26.83333333],0
b2,1,0.409284,0.68088,[33 41] ; [17 29],[30.83333333 43.16666667] ; [19.16666667 26.83333333],0
b4,1,0.42614,0.63332,[74 50] ; [49 26],[76.64321608 47.35678392] ; [46.35678392 28.64321608],0
s2,1,0.439659,0.597173,[103  21] ; [59 16],[100.94472362  23.05527638] ; [61.05527638 13.94472362],0
u4,1,0.449698,0.571412,[  6 118] ; [ 2 73],[  4.98492462 119.01507538] ; [ 3.01507538 71.98492462],0
n3,1,0.456057,0.555556,[11  5] ; [19  5],[12.  4.] ; [18.  6.],0
s7,1,0.466515,0.530217,[88 34] ; [47 23],[85.78125 36.21875] ; [49.21875 20.78125],0
s6,1,0.467601,0.527638,[105  15] ; [62 12],[103.29896907  16.70103093] ; [63.70103093 10.29896907],0
r2,1,0.527452,0.399297,[121   3] ; [72  3],[120.26130653   3.73869347] ; [72.73869347  2.26130653],0
a4,1,0.567566,0.326772,[56 68] ; [37 38],[57.94974874 66.05025126] ; [35.05025126 39.94974874],0
u3,1,0.594014,0.28412,[17 11] ; [11  5],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
r3,1,0.607748,0.263468,[122   2] ; [73  2],[121.50753769   2.49246231] ; [73.49246231  1.50753769],0
b1,1,0.630996,0.230713,[47 77] ; [31 44],[48.60301508 75.39698492] ; [29.39698492 45.60301508],0
u2,1,0.633797,0.226948,[16 13] ; [10  6],[16.75555556 12.24444444] ; [9.24444444 6.75555556],0
n1,1,0.645572,0.211528,[7 9] ; [ 8 14],[6.31578947 9.68421053] ; [ 8.68421053 13.31578947],0
n4,1,0.77679,0.080375,[106  18] ; [63 12],[105.30653266  18.69346734] ; [63.69346734 11.30653266],0
a3,1,0.814264,0.055192,[95 28] ; [59 16],[95.66666667 27.33333333] ; [58.33333333 16.66666667],0
s4,1,0.824815,0.048999,[ 20 104] ; [13 62],[ 20.56281407 103.43718593] ; [12.43718593 62.56281407],0
a5,1,0.951162,0.003751,[98 26] ; [59 16],[97.82914573 26.17085427] ; [59.17085427 15.82914573],0
