Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000447,12.325797,[13  6] ; [14 44],[ 6.66233766 12.33766234] ; [20.33766234 37.66233766],1
b4,1,0.006985,7.27677,[17  2] ; [32 26],[12.09090909  6.90909091] ; [36.90909091 21.09090909],0
n3,1,0.033642,4.512811,[3 5] ; [18  5],[5.41935484 2.58064516] ; [15.58064516  7.41935484],0
u1,1,0.03664,4.36706,[ 4 15] ; [ 3 55],[ 1.72727273 17.27272727] ; [ 5.27272727 52.72727273],0
s5,1,0.040787,4.18484,[ 7 11] ; [ 9 47],[ 3.89189189 14.10810811] ; [12.10810811 43.89189189],0
s4,1,0.054772,3.68902,[ 1 18] ; [15 43],[ 3.94805195 15.05194805] ; [12.05194805 45.94805195],0
p10,1,0.068314,3.323077,[16  2] ; [36 18],[13.  5.] ; [39. 15.],0
d3,1,0.074218,3.187188,[13  6] ; [26 32],[9.62337662 9.37662338] ; [29.37662338 28.62337662],0
v3,1,0.080431,3.056165,[ 7 12] ; [10 47],[ 4.25 14.75] ; [12.75 44.25],0
p5,1,0.090249,2.86993,[ 5 14] ; [ 6 51],[ 2.75 16.25] ; [ 8.25 48.75],0
p12,1,0.092952,2.822486,[ 2 17] ; [ 1 55],[ 0.76 18.24] ; [ 2.24 53.76],0
d5,1,0.095394,2.780911,[16  3] ; [37 21],[13.07792208  5.92207792] ; [39.92207792 18.07792208],0
a2,1,0.143232,2.142885,[ 4 15] ; [ 5 53],[ 2.22077922 16.77922078] ; [ 6.77922078 51.22077922],0
b3,1,0.206994,1.59233,[5 9] ; [ 7 30],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
b2,1,0.206994,1.59233,[5 9] ; [ 7 30],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
r3,1,0.236582,1.400846,[10  6] ; [44 13],[11.83561644  4.16438356] ; [42.16438356 14.83561644],0
v2,1,0.251602,1.314386,[11  7] ; [26 31],[8.88 9.12] ; [28.12 28.88],0
p1,1,0.252169,1.311249,[ 3 16] ; [ 4 53],[ 1.75 17.25] ; [ 5.25 51.75],0
b1,1,0.252373,1.310118,[ 6 13] ; [27 31],[ 8.14285714 10.85714286] ; [24.85714286 33.14285714],0
