Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.011108,6.447932,[6 2] ; [ 5 16],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
b1,1,0.025286,5.004163,[13  2] ; [21 18],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
p7,1,0.025286,5.004163,[13  2] ; [21 18],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
p8,1,0.026504,4.922861,[10  5] ; [13 26],[6.38888889 8.61111111] ; [16.61111111 22.38888889],0
v3,1,0.094212,2.800885,[ 3 12] ; [17 21],[5.66037736 9.33962264] ; [14.33962264 23.66037736],0
p2,1,0.10787,2.585158,[12  3] ; [22 17],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
b4,1,0.124064,2.365249,[7 8] ; [27 12],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
s7,1,0.139547,2.182952,[6 7] ; [ 9 28],[3.9 9.1] ; [11.1 25.9],0
u3,1,0.151446,2.05763,[6 2] ; [10 12],[4.26666667 3.73333333] ; [11.73333333 10.26666667],0
b3,1,0.155668,2.01581,[5 6] ; [ 5 18],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
b2,1,0.155668,2.01581,[5 6] ; [ 5 18],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
b5,1,0.191763,1.704021,[11  4] ; [21 18],[8.88888889 6.11111111] ; [23.11111111 15.88888889],0
u1,1,0.197396,1.661538,[ 3 12] ; [ 3 36],[ 1.66666667 13.33333333] ; [ 4.33333333 34.66666667],0
d3,1,0.236103,1.403714,[10  5] ; [19 20],[8.05555556 6.94444444] ; [20.94444444 18.05555556],0
a5,1,0.242818,1.364161,[7 8] ; [25 14],[8.88888889 6.11111111] ; [23.11111111 15.88888889],0
n1,1,0.291841,1.111111,[2 1] ; [4 8],[1.2 1.8] ; [4.8 7.2],0
s8,1,0.323643,0.974167,[ 5 10] ; [ 8 31],[ 3.61111111 11.38888889] ; [ 9.38888889 29.61111111],0
p4,1,0.327735,0.957828,[11  4] ; [23 16],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
a2,1,0.339697,0.911574,[ 3 12] ; [ 4 35],[ 1.94444444 13.05555556] ; [ 5.05555556 33.94444444],0
v2,1,0.359105,0.84102,[8 7] ; [15 23],[6.50943396 8.49056604] ; [16.49056604 21.50943396],0
s1,1,0.39296,0.729764,[ 1 14] ; [ 6 33],[ 1.94444444 13.05555556] ; [ 5.05555556 33.94444444],0
v4,1,0.39296,0.729764,[14  1] ; [33  6],[13.05555556  1.94444444] ; [33.94444444  5.05555556],0
a4,1,0.403224,0.698691,[6 9] ; [11 28],[ 4.72222222 10.27777778] ; [12.27777778 26.72222222],0
s4,1,0.441105,0.593407,[ 5 10] ; [ 9 30],[ 3.88888889 11.11111111] ; [10.11111111 28.88888889],0
s2,1,0.459461,0.547207,[8 7] ; [16 22],[6.79245283 8.20754717] ; [17.20754717 20.79245283],0
d1,1,0.467166,0.528671,[7 8] ; [14 25],[5.83333333 9.16666667] ; [15.16666667 23.83333333],0
s3,1,0.511219,0.431571,[9 6] ; [19 19],[7.9245283 7.0754717] ; [20.0754717 17.9245283],0
r3,1,0.519249,0.415385,[14  1] ; [34  5],[13.33333333  1.66666667] ; [34.66666667  4.33333333],0
