Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.599565,[39 52] ; [ 16 144],[19.94023904 71.05976096] ; [ 35.05976096 124.94023904],1
r1,1,0.000819,11.197138,[70 21] ; [91 72],[57.68110236 33.31889764] ; [103.31889764  59.68110236],1
a3,1,0.002241,9.341178,[62 30] ; [77 85],[50.34645669 41.65354331] ; [88.65354331 73.34645669],0
d1,1,0.005883,7.585924,[52 40] ; [ 63 100],[41.49019608 50.50980392] ; [73.50980392 89.49019608],0
d4,1,0.007502,7.148594,[76 15] ; [111  52],[66.99606299 24.00393701] ; [120.00393701  42.99606299],0
d3,1,0.00973,6.683692,[66 26] ; [89 72],[56.36363636 35.63636364] ; [98.63636364 62.36363636],0
d5,1,0.011432,6.39691,[74 18] ; [106  56],[65.19685039 26.80314961] ; [114.80314961  47.19685039],0
r3,1,0.013041,6.163563,[85  6] ; [134  29],[78.46062992 12.53937008] ; [140.53937008  22.46062992],0
a5,1,0.022996,5.168833,[62 30] ; [86 77],[53.39607843 38.60392157] ; [94.60392157 68.39607843],0
a7,1,0.028497,4.79774,[70 21] ; [103  59],[62.22529644 28.77470356] ; [110.77470356  51.22529644],0
b1,1,0.039878,4.22307,[27 65] ; [69 94],[34.63529412 57.36470588] ; [ 61.36470588 101.63529412],0
r4,1,0.04101,4.175594,[77 15] ; [118  45],[70.35294118 21.64705882] ; [124.64705882  38.35294118],0
r2,1,0.056014,3.651628,[83  8] ; [131  28],[77.896 13.104] ; [136.104  22.896],0
p4,1,0.098193,2.734646,[41 48] ; [ 57 104],[34.888 54.112] ; [63.112 97.888],0
p12,1,0.112057,2.524972,[ 5 86] ; [  3 159],[ 2.87747036 88.12252964] ; [  5.12252964 156.87747036],0
n2,1,0.118527,2.436678,[16  5] ; [33 25],[13.02531646  7.97468354] ; [35.97468354 22.02531646],0
s1,1,0.119957,2.417888,[ 1 88] ; [  8 154],[ 3.19123506 85.80876494] ; [  5.80876494 156.19123506],0
v4,1,0.135154,2.232289,[82 10] ; [133  29],[77.87401575 14.12598425] ; [137.12598425  24.87401575],0
p10,1,0.152194,2.050124,[61 30] ; [92 67],[55.692 35.308] ; [97.308 61.692],0
p11,1,0.196735,1.666444,[66 26] ; [104  59],[61.33333333 30.66666667] ; [108.66666667  54.33333333],0
p5,1,0.199934,1.642857,[ 2 90] ; [  9 152],[ 4. 88.] ; [  7. 154.],0
a2,1,0.201245,1.633319,[16 76] ; [ 19 144],[12.62745098 79.37254902] ; [ 22.37254902 140.62745098],0
n6,1,0.203295,1.618547,[71 21] ; [113  49],[66.64566929 25.35433071] ; [117.35433071  44.64566929],0
p8,1,0.211369,1.562025,[40 50] ; [ 59 103],[35.35714286 54.64285714] ; [63.64285714 98.35714286],0
p6,1,0.22084,1.498904,[15 76] ; [ 37 124],[18.77777778 72.22222222] ; [ 33.22222222 127.77777778],0
s5,1,0.255547,1.292721,[18 69] ; [ 24 136],[14.79352227 72.20647773] ; [ 27.20647773 132.79352227],0
n3,1,0.256487,1.28762,[16  6] ; [33 23],[13.82051282  8.17948718] ; [35.17948718 20.82051282],0
n5,1,0.287449,1.131532,[48 42] ; [97 64],[51.99203187 38.00796813] ; [93.00796813 67.99203187],0
s6,1,0.328954,0.953013,[41 50] ; [62 98],[37.34262948 53.65737052] ; [65.65737052 94.34262948],0
u1,1,0.338048,0.91782,[10 82] ; [ 12 151],[ 7.9372549 84.0627451] ; [ 14.0627451 148.9372549],0
a4,1,0.356963,0.848548,[33 59] ; [ 49 113],[29.7007874 62.2992126] ; [ 52.2992126 109.7007874],0
p3,1,0.377953,0.77735,[32 60] ; [ 48 115],[28.8627451 63.1372549] ; [ 51.1372549 111.8627451],0
s4,1,0.381119,0.76709,[15 76] ; [ 20 140],[12.68924303 78.31075697] ; [ 22.31075697 137.68924303],0
b4,1,0.390833,0.736349,[57 35] ; [92 71],[53.75686275 38.24313725] ; [95.24313725 67.75686275],0
u2,1,0.393308,0.728689,[11 18] ; [40 45],[12.97368421 16.02631579] ; [38.02631579 46.97368421],0
p9,1,0.424182,0.6387,[62 29] ; [101  59],[59.09561753 31.90438247] ; [103.90438247  56.09561753],0
b5,1,0.46573,0.532088,[51 41] ; [98 65],[53.75686275 38.24313725] ; [95.24313725 67.75686275],0
s2,1,0.485824,0.485761,[24 68] ; [ 36 126],[21.73228346 70.26771654] ; [ 38.26771654 123.73228346],0
b2,1,0.486525,0.484202,[11 38] ; [24 62],[12.7037037 36.2962963] ; [22.2962963 63.7037037],0
b3,1,0.486525,0.484202,[11 38] ; [24 62],[12.7037037 36.2962963] ; [22.2962963 63.7037037],0
a8,1,0.507692,0.438822,[ 7 77] ; [ 17 137],[ 8.47058824 75.52941176] ; [ 15.52941176 138.47058824],0
p7,1,0.534818,0.385228,[45 45] ; [73 86],[42.65060241 47.34939759] ; [75.34939759 83.65060241],0
p1,1,0.537273,0.380617,[ 5 87] ; [ 12 149],[ 6.18181818 85.81818182] ; [ 10.81818182 150.18181818],0
n1,1,0.676053,0.174603,[ 5 16] ; [16 40],[ 5.72727273 15.27272727] ; [15.27272727 40.72727273],0
u3,1,0.700673,0.147773,[12 18] ; [37 47],[12.89473684 17.10526316] ; [36.10526316 47.89473684],0
s8,1,0.704759,0.143568,[14 78] ; [ 22 141],[12.98823529 79.01176471] ; [ 23.01176471 139.98823529],0
d2,1,0.811662,0.056779,[37 54] ; [63 98],[36.11111111 54.88888889] ; [63.88888889 97.11111111],0
p2,1,0.819285,0.052196,[63 29] ; [108  53],[62.18181818 29.81818182] ; [108.81818182  52.18181818],0
a6,1,0.82783,0.0473,[62 30] ; [112  51],[62.77647059 29.22352941] ; [111.22352941  51.77647059],0
a1,1,0.854275,0.033733,[ 5 87] ; [  8 155],[ 4.69019608 87.30980392] ; [  8.30980392 154.69019608],0
s3,1,0.902044,0.015149,[32 58] ; [ 56 105],[31.55378486 58.44621514] ; [ 56.44621514 104.55378486],0
n4,1,0.96054,0.002448,[55 36] ; [98 65],[54.81496063 36.18503937] ; [98.18503937 64.81496063],0
