Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,99.363836,[115  50] ; [ 14 112],[73.1443299 91.8556701] ; [55.8556701 70.1443299],1
d5,1,0.0,90.408917,[162   3] ; [65 61],[128.71134021  36.28865979] ; [98.28865979 27.71134021],1
d3,1,0.0,80.801541,[150  15] ; [53 73],[115.10309278  49.89690722] ; [87.89690722 38.10309278],1
d4,1,0.0,76.392281,[162   3] ; [72 54],[132.68041237  32.31958763] ; [101.31958763  24.68041237],1
a2,1,0.0,29.989668,[ 50 115] ; [  6 120],[ 31.75257732 133.24742268] ; [ 24.24742268 101.75257732],1
a3,1,0.0,26.816706,[128  36] ; [61 64],[107.25259516  56.74740484] ; [81.74740484 43.25259516],1
a4,1,1e-06,24.35507,[82 82] ; [27 98],[ 61.85467128 102.14532872] ; [47.14532872 77.85467128],1
u1,1,2e-06,22.891505,[ 33 132] ; [  2 124],[ 19.84536082 145.15463918] ; [ 15.15463918 110.84536082],1
r1,1,1.3e-05,18.941847,[144  20] ; [84 42],[128.93793103  35.06206897] ; [99.06206897 26.93793103],1
a5,1,1.4e-05,18.849512,[134  31] ; [73 53],[117.37113402  47.62886598] ; [89.62886598 36.37113402],1
r4,1,0.000342,12.822708,[155  10] ; [101  25],[145.15463918  19.84536082] ; [110.84536082  15.15463918],1
n4,1,0.000629,11.686901,[137  28] ; [82 43],[124.60344828  40.39655172] ; [94.39655172 30.60344828],1
r2,1,0.004007,8.280753,[155   6] ; [108  16],[148.57192982  12.42807018] ; [114.42807018   9.57192982],0
v4,1,0.006016,7.545567,[162   3] ; [114  11],[157.03448276   7.96551724] ; [118.96551724   6.03448276],0
s8,1,0.010644,6.523853,[75 89] ; [39 87],[64.46896552 99.53103448] ; [49.53103448 76.46896552],0
v1,1,0.012458,6.24445,[94 68] ; [53 70],[83.55789474 78.44210526] ; [63.44210526 59.55789474],0
v3,1,0.022859,5.179225,[68 90] ; [37 87],[58.82978723 99.17021277] ; [46.17021277 77.82978723],0
p6,1,0.029445,4.741408,[75 88] ; [42 84],[65.98961938 97.01038062] ; [51.01038062 74.98961938],0
s2,1,0.037132,4.34435,[69 95] ; [38 88],[ 60.51034483 103.48965517] ; [46.48965517 79.51034483],0
a7,1,0.041375,4.160602,[132  33] ; [87 38],[124.60344828  40.39655172] ; [94.39655172 30.60344828],0
v2,1,0.041589,4.151856,[98 65] ; [57 62],[89.59219858 73.40780142] ; [65.40780142 53.59219858],0
a1,1,0.047736,3.919242,[  8 157] ; [  1 125],[  5.10309278 159.89690722] ; [  3.89690722 122.10309278],0
a8,1,0.059107,3.562262,[ 24 120] ; [ 10 105],[ 18.9034749 125.0965251] ; [15.0965251 99.9034749],0
n6,1,0.064254,3.424029,[141  23] ; [97 28],[135.05882353  28.94117647] ; [102.94117647  22.05882353],0
a6,1,0.064803,3.409993,[119  46] ; [78 48],[111.70103093  53.29896907] ; [85.29896907 40.70103093],0
r3,1,0.070761,3.265282,[158   7] ; [114  12],[154.22680412  10.77319588] ; [117.77319588   8.22680412],0
p2,1,0.082347,3.017956,[151  13] ; [108  18],[146.46896552  17.53103448] ; [112.53103448  13.46896552],0
u4,1,0.116837,2.459218,[  6 159] ; [  1 125],[  3.96907216 161.03092784] ; [  3.03092784 122.96907216],0
p3,1,0.164574,1.931689,[98 66] ; [65 61],[92.17931034 71.82068966] ; [70.82068966 55.17931034],0
s7,1,0.18125,1.787343,[71 85] ; [45 75],[65.56521739 90.43478261] ; [50.43478261 69.56521739],0
b1,1,0.190021,1.717454,[ 57 108] ; [53 73],[ 62.37113402 102.62886598] ; [47.62886598 78.37113402],0
p4,1,0.193381,1.691673,[118  46] ; [81 44],[112.92733564  51.07266436] ; [86.07266436 38.92733564],0
u3,1,0.194682,1.681822,[22 15] ; [29 34],[18.87 18.13] ; [32.13 30.87],0
b4,1,0.323646,0.974156,[96 69] ; [66 60],[91.8556701 73.1443299] ; [70.1443299 55.8556701],0
n5,1,0.376285,0.782804,[126  39] ; [89 35],[122.75086505  42.24913495] ; [92.24913495 31.75086505],0
s3,1,0.423446,0.640733,[78 85] ; [53 70],[74.66083916 88.33916084] ; [56.33916084 66.66083916],0
p12,1,0.459001,0.54833,[ 13 152] ; [  7 117],[ 11.41868512 153.58131488] ; [  8.58131488 115.41868512],0
p11,1,0.461004,0.543455,[139  26] ; [102  24],[136.64948454  28.35051546] ; [104.35051546  21.64948454],0
u2,1,0.505121,0.44416,[23 14] ; [36 29],[21.40196078 15.59803922] ; [37.59803922 27.40196078],0
p7,1,0.556663,0.345515,[126  36] ; [92 31],[123.91578947  38.08421053] ; [94.08421053 28.91578947],0
n3,1,0.665308,0.18714,[16 11] ; [15  8],[16.74 10.26] ; [14.26  8.74],0
p1,1,0.765676,0.088825,[ 16 148] ; [ 11 115],[ 15.26896552 148.73103448] ; [ 11.73103448 114.26896552],0
s4,1,0.767397,0.087487,[ 18 146] ; [ 15 109],[ 18.79166667 145.20833333] ; [ 14.20833333 109.79166667],0
s6,1,0.844019,0.038713,[92 72] ; [71 53],[92.81944444 71.18055556] ; [70.18055556 53.81944444],0
