Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,2e-06,22.844648,[365  30] ; [41 16],[354.80088496  40.19911504] ; [51.19911504  5.80088496],1
v1,1,6e-06,20.343316,[248 141] ; [18 38],[232.5258427 156.4741573] ; [33.4741573 22.5258427],1
s5,1,0.002447,9.179924,[162 225] ; [11 43],[151.81632653 235.18367347] ; [21.18367347 32.81632653],0
s6,1,0.003614,8.468483,[281 103] ; [31 26],[271.67346939 112.32653061] ; [40.32653061 16.67346939],0
s2,1,0.006782,7.329743,[220 173] ; [21 36],[210.47333333 182.52666667] ; [30.52666667 26.47333333],0
p10,1,0.009072,6.808692,[351  43] ; [43 13],[344.96888889  49.03111111] ; [49.03111111  6.96888889],0
p9,1,0.0106,6.531237,[355  38] ; [45 12],[349.33333333  43.66666667] ; [50.66666667  6.33333333],0
v3,1,0.011006,6.464384,[184 201] ; [17 40],[175.07918552 209.92081448] ; [25.92081448 31.07918552],0
p5,1,0.012617,6.222013,[ 73 322] ; [ 3 54],[ 66.4159292 328.5840708] ; [ 9.5840708 47.4159292],0
s1,1,0.014601,5.963951,[ 10 382] ; [ 5 52],[ 13.09576837 378.90423163] ; [ 1.90423163 55.09576837],0
d3,1,0.018848,5.515596,[273 122] ; [48  9],[280.5199115 114.4800885] ; [40.4800885 16.5199115],0
p4,1,0.058727,3.572973,[288 107] ; [34 22],[282.01773836 112.98226164] ; [39.98226164 16.01773836],0
b2,1,0.066459,3.36839,[106 152] ; [11 31],[100.62 157.38] ; [16.38 25.62],0
b3,1,0.066459,3.36839,[106 152] ; [11 31],[100.62 157.38] ; [16.38 25.62],0
b4,1,0.06982,3.287252,[214 183] ; [38 19],[220.36123348 176.63876652] ; [31.63876652 25.36123348],0
p8,1,0.075205,3.165591,[277 115] ; [33 23],[271.25 120.75] ; [38.75 17.25],0
n3,1,0.075695,3.154989,[45 18] ; [14  1],[47.65384615 15.34615385] ; [11.34615385  3.65384615],0
n1,1,0.093312,2.816287,[27 35] ; [ 3 12],[24.15584416 37.84415584] ; [5.84415584 9.15584416],0
r2,1,0.101274,2.68537,[375  16] ; [50  5],[372.5896861  18.4103139] ; [52.4103139  2.5896861],0
u1,1,0.117425,2.451333,[ 84 313] ; [ 7 50],[ 79.57488987 317.42511013] ; [11.42511013 45.57488987],0
p6,1,0.165102,1.926864,[208 187] ; [23 31],[203.21826281 191.78173719] ; [27.78173719 26.21826281],0
a8,1,0.194807,1.680882,[ 69 289] ; [ 6 45],[ 65.64792176 292.35207824] ; [ 9.35207824 41.64792176],0
b5,1,0.225383,1.469763,[224 173] ; [37 20],[228.23127753 168.76872247] ; [32.76872247 24.23127753],0
s3,1,0.24272,1.364727,[239 153] ; [29 26],[235.0246085 156.9753915] ; [32.9753915 22.0246085],0
p3,1,0.2474,1.337929,[253 142] ; [32 25],[249.05973451 145.94026549] ; [35.94026549 21.05973451],0
p12,1,0.282147,1.156719,[ 38 356] ; [ 3 54],[ 35.81818182 358.18181818] ; [ 5.18181818 51.81818182],0
r1,1,0.285874,1.138952,[333  61] ; [45 12],[330.22616408  63.77383592] ; [47.77383592  9.22616408],0
s7,1,0.286875,1.134228,[217 160] ; [28 28],[213.31408776 163.68591224] ; [31.68591224 24.31408776],0
a4,1,0.305459,1.050207,[188 207] ; [23 34],[184.39159292 210.60840708] ; [26.60840708 30.39159292],0
a7,1,0.31036,1.029143,[280 116] ; [44 13],[283.23178808 112.76821192] ; [40.76821192 16.23178808],0
p2,1,0.366704,0.814802,[361  34] ; [50  7],[359.17035398  35.82964602] ; [51.82964602  5.17035398],0
p11,1,0.385728,0.752365,[338  59] ; [46 11],[335.78854626  61.21145374] ; [48.21145374  8.78854626],0
a5,1,0.39179,0.73338,[306  91] ; [41 16],[303.4339207  93.5660793] ; [43.5660793 13.4339207],0
s8,1,0.393978,0.726629,[203 190] ; [26 31],[199.99333333 193.00666667] ; [29.00666667 27.99333333],0
b1,1,0.467954,0.526803,[161 236] ; [26 31],[163.52202643 233.47797357] ; [23.47797357 33.52202643],0
s4,1,0.480224,0.498356,[ 62 328] ; [ 7 50],[ 60.20134228 329.79865772] ; [ 8.79865772 48.20134228],0
v2,1,0.502267,0.450144,[238 147] ; [32 24],[235.71428571 149.28571429] ; [34.28571429 21.71428571],0
r4,1,0.533827,0.387101,[371  26] ; [52  5],[369.89207048  27.10792952] ; [53.10792952  3.89207048],0
a3,1,0.538082,0.379107,[299  96] ; [41 16],[297.12389381  97.87610619] ; [42.87610619 14.12389381],0
d1,1,0.550394,0.356612,[253 144] ; [34 23],[250.96696035 146.03303965] ; [36.03303965 20.96696035],0
d2,1,0.56997,0.322732,[203 192] ; [27 30],[200.99557522 194.00442478] ; [29.00442478 27.99557522],0
n2,1,0.611081,0.258603,[50 13] ; [11  4],[49.26923077 13.73076923] ; [11.73076923  3.26923077],0
u3,1,0.76151,0.092111,[53 45] ; [8 8],[52.43859649 45.56140351] ; [8.56140351 7.43859649],0
p1,1,0.797476,0.065851,[ 39 357] ; [ 5 52],[ 38.46357616 357.53642384] ; [ 5.53642384 51.46357616],0
a1,1,0.815379,0.054519,[ 24 373] ; [ 3 54],[ 23.61013216 373.38986784] ; [ 3.38986784 53.61013216],0
u2,1,0.816501,0.053846,[51 45] ; [9 7],[51.42857143 44.57142857] ; [8.57142857 7.42857143],0
a6,1,0.831662,0.045186,[271 123] ; [40 17],[271.6940133 122.3059867] ; [39.3059867 17.6940133],0
d5,1,0.832078,0.04496,[336  58] ; [48  9],[335.46784922  58.53215078] ; [48.53215078  8.46784922],0
r3,1,0.850546,0.035503,[382  12] ; [55  2],[381.76940133  12.23059867] ; [55.23059867  1.76940133],0
d4,1,0.855365,0.033225,[328  66] ; [48  9],[328.4789357  65.5210643] ; [47.5210643  9.4789357],0
a2,1,0.887792,0.019909,[108 289] ; [15 42],[107.55726872 289.44273128] ; [15.44273128 41.55726872],0
v4,1,0.986448,0.000289,[380  14] ; [55  2],[380.02217295  13.97782705] ; [54.97782705  2.02217295],0
