Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.217898,[38 12] ; [ 9 24],[28.31325301 21.68674699] ; [18.68674699 14.31325301],1
n6,1,0.003289,8.639992,[39 10] ; [16 17],[32.86585366 16.13414634] ; [22.13414634 10.86585366],0
r1,1,0.006177,7.497935,[40 10] ; [17 16],[34.3373494 15.6626506] ; [22.6626506 10.3373494],0
v3,1,0.009937,6.64616,[19 31] ; [ 4 29],[13.85542169 36.14457831] ; [ 9.14457831 23.85542169],0
d5,1,0.030202,4.697779,[36 14] ; [16 17],[31.3253012 18.6746988] ; [20.6746988 12.3253012],0
p2,1,0.03068,4.670798,[41  9] ; [20 13],[36.74698795 13.25301205] ; [24.25301205  8.74698795],0
r4,1,0.036467,4.375117,[43  7] ; [22 11],[39.15662651 10.84337349] ; [25.84337349  7.15662651],0
s4,1,0.043367,4.081044,[ 4 45] ; [ 8 25],[ 7.17073171 41.82926829] ; [ 4.82926829 28.17073171],0
d1,1,0.044916,4.021777,[23 27] ; [ 8 25],[18.6746988 31.3253012] ; [12.3253012 20.6746988],0
d3,1,0.052943,3.745714,[32 18] ; [14 19],[27.71084337 22.28915663] ; [18.28915663 14.71084337],0
v2,1,0.053452,3.729719,[26 23] ; [10 22],[21.77777778 27.22222222] ; [14.22222222 17.77777778],0
a7,1,0.063597,3.440997,[33 17] ; [15 18],[28.91566265 21.08433735] ; [19.08433735 13.91566265],0
u1,1,0.09746,2.746629,[ 7 43] ; [ 1 32],[ 4.81927711 45.18072289] ; [ 3.18072289 29.81927711],0
a5,1,0.116384,2.465318,[30 20] ; [14 19],[26.5060241 23.4939759] ; [17.4939759 15.5060241],0
s8,1,0.139235,2.186391,[15 35] ; [ 5 27],[12.19512195 37.80487805] ; [ 7.80487805 24.19512195],0
s7,1,0.139649,2.181818,[18 30] ; [ 7 25],[15. 33.] ; [10. 22.],0
a2,1,0.150111,2.071123,[ 6 44] ; [ 1 32],[ 4.21686747 45.78313253] ; [ 2.78313253 30.21686747],0
v4,1,0.151895,2.053117,[47  3] ; [27  5],[45.12195122  4.87804878] ; [28.87804878  3.12195122],0
p11,1,0.161268,1.962297,[32 18] ; [16 17],[28.91566265 21.08433735] ; [19.08433735 13.91566265],0
p10,1,0.169668,1.885876,[19 30] ; [ 8 25],[16.13414634 32.86585366] ; [10.86585366 22.13414634],0
s6,1,0.174366,1.845,[28 22] ; [13 19],[25. 25.] ; [16. 16.],0
b3,1,0.198887,1.650526,[ 8 22] ; [ 2 16],[ 6.25 23.75] ; [ 3.75 14.25],0
b2,1,0.198887,1.650526,[ 8 22] ; [ 2 16],[ 6.25 23.75] ; [ 3.75 14.25],0
u3,1,0.252252,1.310786,[12 15] ; [10  6],[13.81395349 13.18604651] ; [8.18604651 7.81395349],0
r2,1,0.281976,1.157541,[45  5] ; [27  6],[43.37349398  6.62650602] ; [28.62650602  4.37349398],0
p3,1,0.384278,0.756971,[23 27] ; [12 21],[21.08433735 28.91566265] ; [13.91566265 19.08433735],0
