Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000104,15.062389,[ 2 23] ; [15 10],[ 8.5 16.5] ; [ 8.5 16.5],1
b2,1,0.000104,15.062389,[ 2 23] ; [15 10],[ 8.5 16.5] ; [ 8.5 16.5],1
a3,1,0.000939,10.944685,[23 36] ; [31 12],[31.23529412 27.76470588] ; [22.76470588 20.23529412],1
v2,1,0.001537,10.033529,[21 36] ; [29 13],[28.78787879 28.21212121] ; [21.21212121 20.78787879],0
a5,1,0.009555,6.716057,[32 27] ; [34  9],[38.17647059 20.82352941] ; [27.82352941 15.17647059],0
a2,1,0.010719,6.511282,[ 2 57] ; [ 8 35],[ 5.78431373 53.21568627] ; [ 4.21568627 38.78431373],0
d4,1,0.024247,5.076867,[41 18] ; [38  5],[45.69607843 13.30392157] ; [33.30392157  9.69607843],0
d1,1,0.06334,3.447701,[22 37] ; [24 19],[26.60784314 32.39215686] ; [19.39215686 23.60784314],0
a6,1,0.066882,3.357925,[32 27] ; [31 12],[36.44117647 22.55882353] ; [26.55882353 16.44117647],0
r1,1,0.076114,3.145979,[37 22] ; [34  9],[41.06862745 17.93137255] ; [29.93137255 13.06862745],0
p9,1,0.076164,3.144905,[42 17] ; [37  6],[45.69607843 13.30392157] ; [33.30392157  9.69607843],0
s7,1,0.077408,3.118507,[16 41] ; [19 23],[20.15151515 36.84848485] ; [14.84848485 27.15151515],0
u3,1,0.079349,3.078195,[16 19] ; [9 3],[18.61702128 16.38297872] ; [6.38297872 5.61702128],0
v3,1,0.098551,2.728834,[13 44] ; [16 26],[16.6969697 40.3030303] ; [12.3030303 29.6969697],0
u1,1,0.104145,2.640892,[ 2 57] ; [ 5 38],[ 4.04901961 54.95098039] ; [ 2.95098039 40.04901961],0
p3,1,0.130444,2.287216,[24 35] ; [24 19],[27.76470588 31.23529412] ; [20.23529412 22.76470588],0
b5,1,0.133474,2.251629,[34 25] ; [31 12],[37.59803922 21.40196078] ; [27.40196078 15.59803922],0
a4,1,0.173042,1.856387,[11 48] ; [13 30],[13.88235294 45.11764706] ; [10.11764706 32.88235294],0
n6,1,0.21055,1.567641,[35 24] ; [30 12],[37.97029703 21.02970297] ; [27.02970297 14.97029703],0
