Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.8e-05,18.384259,[17  9] ; [24 84],[ 7.95522388 18.04477612] ; [33.04477612 74.95522388],1
s6,1,0.001739,9.80623,[25  3] ; [65 48],[17.87234043 10.12765957] ; [72.12765957 40.87234043],0
p9,1,0.004566,8.043774,[25  3] ; [69 44],[18.66666667  9.33333333] ; [75.33333333 37.66666667],0
s2,1,0.02282,5.182163,[19  9] ; [50 64],[13.6056338 14.3943662] ; [55.3943662 58.6056338],0
n5,1,0.037922,4.308527,[14 16] ; [76 37],[18.88111888 11.11888112] ; [71.11888112 41.88111888],0
a2,1,0.068355,3.322089,[ 2 28] ; [24 90],[ 5.41666667 24.58333333] ; [20.58333333 93.41666667],0
u2,1,0.089694,2.879855,[4 7] ; [29 16],[6.48214286 4.51785714] ; [26.51785714 18.48214286],0
p10,1,0.110563,2.546157,[22  7] ; [67 45],[18.30496454 10.69503546] ; [70.69503546 41.30496454],0
p1,1,0.121834,2.39359,[ 4 26] ; [  6 108],[ 2.08333333 27.91666667] ; [  7.91666667 106.08333333],0
a8,1,0.133854,2.247227,[ 1 29] ; [14 94],[ 3.26086957 26.73913043] ; [11.73913043 96.26086957],0
v3,1,0.134743,2.236992,[ 7 21] ; [42 62],[10.39393939 17.60606061] ; [38.60606061 65.39393939],0
b3,1,0.142986,2.145531,[ 4 16] ; [27 45],[ 6.73913043 13.26086957] ; [24.26086957 47.73913043],0
b2,1,0.142986,2.145531,[ 4 16] ; [27 45],[ 6.73913043 13.26086957] ; [24.26086957 47.73913043],0
d3,1,0.145721,2.116482,[20 10] ; [58 54],[16.47887324 13.52112676] ; [61.52112676 50.47887324],0
n4,1,0.147608,2.096794,[16 14] ; [77 37],[19.375 10.625] ; [73.625 40.375],0
s3,1,0.156875,2.004092,[18 11] ; [53 59],[14.60283688 14.39716312] ; [56.39716312 55.60283688],0
a6,1,0.166556,1.913674,[14 16] ; [68 44],[17.32394366 12.67605634] ; [64.67605634 47.32394366],0
p12,1,0.167318,1.906811,[ 4 25] ; [  7 107],[ 2.23076923 26.76923077] ; [  8.76923077 105.23076923],0
n6,1,0.18119,1.787833,[26  4] ; [85 28],[23.28671329  6.71328671] ; [87.71328671 25.28671329],0
v2,1,0.218829,1.512035,[17 11] ; [51 56],[14.1037037 13.8962963] ; [53.8962963 53.1037037],0
p8,1,0.236137,1.403509,[ 5 25] ; [31 83],[ 7.5 22.5] ; [28.5 85.5],0
s8,1,0.290248,1.118469,[15 15] ; [44 68],[12.46478873 17.53521127] ; [46.53521127 65.46478873],0
b1,1,0.329299,0.951652,[12 18] ; [57 57],[14.375 15.625] ; [54.625 59.375],0
p5,1,0.360707,0.835431,[ 1 29] ; [  9 101],[ 2.14285714 27.85714286] ; [  7.85714286 102.14285714],0
a5,1,0.433506,0.613413,[21  9] ; [71 43],[19.16666667 10.83333333] ; [72.83333333 41.16666667],0
s7,1,0.453563,0.561733,[13 14] ; [43 64],[11.28358209 15.71641791] ; [44.71641791 62.28358209],0
b5,1,0.458246,0.550175,[17 13] ; [73 41],[18.75 11.25] ; [71.25 42.75],0
v1,1,0.487691,0.481616,[14 16] ; [44 67],[12.34042553 17.65957447] ; [45.65957447 65.34042553],0
d5,1,0.505488,0.443397,[22  8] ; [75 37],[20.49295775  9.50704225] ; [76.50704225 35.49295775],0
n2,1,0.588809,0.292208,[10  2] ; [25  8],[9.33333333 2.66666667] ; [25.66666667  7.33333333],0
p11,1,0.618199,0.248407,[18 12] ; [74 40],[19.16666667 10.83333333] ; [72.83333333 41.16666667],0
