Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.688355,[133  32] ; [31 34],[117.65217391  47.34782609] ; [46.34782609 18.65217391],1
p7,1,5e-06,20.955882,[100  60] ; [20 48],[84.21052632 75.78947368] ; [35.78947368 32.21052632],1
p11,1,2.3e-05,17.911343,[117  50] ; [28 41],[102.6059322  64.3940678] ; [42.3940678 26.6059322],1
a7,1,0.000344,12.816567,[126  40] ; [36 33],[114.43404255  51.56595745] ; [47.56595745 21.43404255],1
p10,1,0.000419,12.443426,[119  46] ; [32 35],[107.39224138  57.60775862] ; [43.60775862 23.39224138],1
p8,1,0.000982,10.86206,[79 86] ; [17 52],[67.69230769 97.30769231] ; [28.30769231 40.69230769],1
s1,1,0.001145,10.57693,[  2 164] ; [ 7 62],[  6.35744681 159.64255319] ; [ 2.64255319 66.35744681],0
d3,1,0.002302,9.291865,[118  47] ; [35 34],[107.88461538  57.11538462] ; [45.11538462 23.88461538],0
a6,1,0.003035,8.786353,[112  55] ; [32 37],[101.89830508  65.10169492] ; [42.10169492 26.89830508],0
v4,1,0.005127,7.833913,[154  11] ; [56 13],[148.07692308  16.92307692] ; [61.92307692  7.07692308],0
p3,1,0.017459,5.649609,[ 61 106] ; [14 54],[ 53.29787234 113.70212766] ; [21.70212766 46.29787234],0
n6,1,0.02308,5.162472,[112  53] ; [36 33],[104.35897436  60.64102564] ; [43.64102564 25.35897436],0
d2,1,0.043596,4.072159,[ 52 115] ; [31 38],[ 58.73305085 108.26694915] ; [24.26694915 44.73305085],0
u1,1,0.061492,3.496689,[ 17 150] ; [ 2 67],[ 13.44491525 153.55508475] ; [ 5.55508475 63.44491525],0
r3,1,0.061494,3.49662,[153  13] ; [58 11],[149.04680851  16.95319149] ; [61.95319149  7.04680851],0
s6,1,0.062889,3.459508,[99 67] ; [31 36],[92.61802575 73.38197425] ; [37.38197425 29.61802575],0
r1,1,0.06362,3.440399,[117  49] ; [40 29],[110.90212766  55.09787234] ; [46.09787234 22.90212766],0
a4,1,0.064448,3.419041,[ 45 122] ; [27 42],[ 50.94915254 116.05084746] ; [21.05084746 47.94915254],0
