Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,179.456498,[498  58] ; [ 76 105],[433.0312076 122.9687924] ; [140.9687924  40.0312076],1
n6,1,0.0,70.263122,[509  47] ; [119  61],[474.41304348  81.58695652] ; [153.58695652  26.41304348],1
p10,1,0.0,30.970508,[484  68] ; [125  54],[459.87414501  92.12585499] ; [149.12585499  29.87414501],1
v1,1,0.0,27.074436,[330 213] ; [ 67 108],[300.23816156 242.76183844] ; [96.76183844 78.23816156],1
p4,1,0.0,26.205879,[383 173] ; [86 94],[354.29891304 201.70108696] ; [114.70108696  65.29891304],1
s7,1,3e-06,22.148121,[294 237] ; [ 61 114],[267.00424929 263.99575071] ; [87.99575071 87.00424929],1
p9,1,8e-06,20.032862,[495  54] ; [139  41],[477.45679012  71.54320988] ; [156.54320988  23.45679012],1
s6,1,2e-05,18.163129,[393 152] ; [99 81],[369.84827586 175.15172414] ; [122.15172414  57.84827586],1
p8,1,0.000151,14.358815,[336 209] ; [82 98],[314.22068966 230.77931034] ; [103.77931034  76.22068966],1
r4,1,0.000183,13.993262,[523  34] ; [154  27],[510.96070461  46.03929539] ; [166.03929539  14.96070461],1
p11,1,0.000393,12.56581,[469  88] ; [131  50],[452.84552846 104.15447154] ; [147.15447154  33.84552846],1
v3,1,0.000407,12.500729,[235 306] ; [ 49 124],[215.18767507 325.81232493] ; [ 68.81232493 104.18767507],1
a4,1,0.0017,9.848083,[261 294] ; [ 61 120],[242.8125 312.1875] ; [ 79.1875 101.8125],0
s2,1,0.002065,9.490537,[301 250] ; [ 75 106],[283.0273224 267.9726776] ; [92.9726776 88.0273224],0
p6,1,0.002072,9.484534,[232 318] ; [ 51 124],[214.68965517 335.31034483] ; [ 68.31034483 106.68965517],0
p5,1,0.002132,9.43208,[ 78 477] ; [ 10 171],[ 66.35869565 488.64130435] ; [ 21.64130435 159.35869565],0
a3,1,0.003111,8.741276,[412 143] ; [113  67],[396.42857143 158.57142857] ; [128.57142857  51.42857143],0
s8,1,0.004817,7.947051,[265 288] ; [ 65 116],[248.6239782 304.3760218] ; [81.3760218 99.6239782],0
a2,1,0.005846,7.597115,[145 412] ; [ 29 152],[131.32520325 425.67479675] ; [ 42.67479675 138.32520325],0
a5,1,0.007254,7.20906,[420 137] ; [118  63],[406.05149051 150.94850949] ; [131.94850949  49.05149051],0
u1,1,0.007609,7.123195,[110 447] ; [ 20 161],[ 98.11653117 458.88346883] ; [ 31.88346883 149.11653117],0
d5,1,0.008814,6.860206,[468  88] ; [136  44],[456.2826087  99.7173913] ; [147.7173913  32.2826087],0
r1,1,0.009092,6.804596,[461  93] ; [134  46],[449.08719346 104.91280654] ; [145.91280654  34.08719346],0
a8,1,0.010194,6.600654,[ 80 422] ; [ 13 151],[ 70.0990991 431.9009009] ; [ 22.9009009 141.0990991],0
s5,1,0.013724,6.073255,[199 338] ; [ 47 128],[185.53651685 351.46348315] ; [ 60.46348315 114.53651685],0
d2,1,0.014129,6.021951,[279 276] ; [ 72 109],[264.68070652 290.31929348] ; [86.31929348 94.68070652],0
p3,1,0.014254,6.006465,[304 252] ; [ 80 101],[289.69335142 266.30664858] ; [94.30664858 86.69335142],0
b2,1,0.017066,5.689616,[136 200] ; [27 72],[125.90344828 210.09655172] ; [37.09655172 61.90344828],0
b3,1,0.017066,5.689616,[136 200] ; [27 72],[125.90344828 210.09655172] ; [37.09655172 61.90344828],0
r2,1,0.020164,5.397625,[533  20] ; [165  14],[527.31420765  25.68579235] ; [170.68579235   8.31420765],0
p7,1,0.031601,4.620017,[386 158] ; [111  67],[374.47091413 169.52908587] ; [122.52908587  55.47091413],0
n1,1,0.033285,4.531052,[45 63] ; [13 40],[38.9068323 69.0931677] ; [19.0931677 33.9068323],0
s3,1,0.036963,4.352111,[326 225] ; [90 89],[313.99452055 237.00547945] ; [102.00547945  76.99452055],0
p12,1,0.055311,3.672683,[ 49 505] ; [  8 172],[ 43.02179837 510.97820163] ; [ 13.97820163 166.02179837],0
d1,1,0.057131,3.61877,[340 217] ; [96 85],[329.06775068 227.93224932] ; [106.93224932  74.06775068],0
a7,1,0.086099,2.945839,[402 153] ; [142  38],[410.7755102 144.2244898] ; [133.2244898  46.7755102],0
