Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,65.879143,[ 29 124] ; [112  65],[65.37272727 87.62727273] ; [ 75.62727273 101.37272727],1
p6,1,0.0,40.630815,[ 17 136] ; [ 76 102],[ 42.98791541 110.01208459] ; [ 50.01208459 127.98791541],1
p2,1,0.0,29.590351,[93 61] ; [154  24],[114.57228916  39.42771084] ; [132.42771084  45.57228916],1
p4,1,1e-06,23.409981,[ 52 102] ; [108  71],[73.99399399 80.00600601] ; [86.00600601 92.99399399],1
p3,1,3.2e-05,17.319097,[ 38 115] ; [84 95],[56.22289157 96.77710843] ; [ 65.77710843 113.22289157],1
r4,1,0.00027,13.2674,[106  48] ; [153  26],[119.77777778  34.22222222] ; [139.22222222  39.77777778],1
r3,1,0.000632,11.678982,[123  31] ; [164  13],[133.52870091  20.47129909] ; [153.47129909  23.52870091],1
v4,1,0.000632,11.678982,[123  31] ; [164  13],[133.52870091  20.47129909] ; [153.47129909  23.52870091],1
s6,1,0.00122,10.459348,[68 85] ; [109  66],[82.56402439 70.43597561] ; [94.43597561 80.56402439],0
p11,1,0.001481,10.102308,[93 61] ; [137  42],[106.36636637  47.63363363] ; [123.63363363  55.36636637],0
p10,1,0.001589,9.972287,[88 64] ; [133  46],[101.48640483  50.51359517] ; [119.51359517  59.48640483],0
s2,1,0.002026,9.525668,[ 48 105] ; [86 93],[61.75301205 91.24698795] ; [ 72.24698795 106.75301205],0
s3,1,0.006486,7.409969,[63 90] ; [100  78],[75.34441088 77.65558912] ; [87.65558912 90.34441088],0
p9,1,0.007547,7.138029,[95 55] ; [136  41],[105.96330275  44.03669725] ; [125.03669725  51.96330275],0
s7,1,0.009257,6.77253,[ 44 104] ; [75 96],[55.21003135 92.78996865] ; [ 63.78996865 107.21003135],0
s8,1,0.020703,5.351642,[ 35 119] ; [ 61 117],[ 44.53012048 109.46987952] ; [ 51.46987952 126.53012048],0
b4,1,0.027144,4.8816,[96 58] ; [90 89],[86.01801802 67.98198198] ; [99.98198198 79.01801802],0
r2,1,0.031754,4.611743,[125  27] ; [159  17],[131.6097561  20.3902439] ; [152.3902439  23.6097561],0
n1,1,0.03318,4.536491,[29 39] ; [11 36],[23.65217391 44.34782609] ; [16.34782609 30.65217391],0
a8,1,0.034259,4.481734,[ 10 137] ; [ 24 145],[ 15.8164557 131.1835443] ; [ 18.1835443 150.8164557],0
n3,1,0.054272,3.7043,[38 28] ; [36 12],[42.84210526 23.15789474] ; [31.15789474 16.84210526],0
p5,1,0.090772,2.860625,[  6 148] ; [ 15 163],[  9.74096386 144.25903614] ; [ 11.25903614 166.74096386],0
v2,1,0.127285,2.325305,[ 37 113] ; [ 56 117],[ 43.18885449 106.81114551] ; [ 49.81114551 123.18885449],0
a6,1,0.133377,2.25275,[91 63] ; [120  59],[97.57957958 56.42042042] ; [113.42042042  65.57957958],0
u2,1,0.133805,2.247794,[27 36] ; [37 29],[31.25581395 31.74418605] ; [32.74418605 33.25581395],0
r1,1,0.143221,2.143004,[97 56] ; [127  52],[103.22891566  49.77108434] ; [120.77108434  58.22891566],0
p1,1,0.150741,2.064737,[ 15 138] ; [ 10 168],[ 11.55589124 141.44410876] ; [ 13.44410876 164.55589124],0
n6,1,0.177087,1.821899,[113  41] ; [141  36],[118.17522659  35.82477341] ; [135.82477341  41.17522659],0
a4,1,0.178203,1.812543,[64 89] ; [ 62 117],[58.06626506 94.93373494] ; [ 67.93373494 111.06626506],0
p12,1,0.196107,1.671131,[  3 151] ; [  8 170],[  5.10240964 148.89759036] ; [  5.89759036 172.10240964],0
b2,1,0.235274,1.408688,[28 56] ; [24 71],[24.40223464 59.59776536] ; [27.59776536 67.40223464],0
b3,1,0.235274,1.408688,[28 56] ; [24 71],[24.40223464 59.59776536] ; [27.59776536 67.40223464],0
a5,1,0.238582,1.388952,[91 63] ; [117  62],[96.19219219 57.80780781] ; [111.80780781  67.19219219],0
s5,1,0.262629,1.254846,[ 32 116] ; [ 47 127],[ 36.31055901 111.68944099] ; [ 42.68944099 131.31055901],0
n4,1,0.27103,1.211528,[97 57] ; [123  56],[101.74174174  52.25825826] ; [118.25825826  60.74174174],0
s1,1,0.279224,1.170863,[  9 145] ; [  6 172],[  6.95783133 147.04216867] ; [  8.04216867 169.95783133],0
a7,1,0.292536,1.107913,[98 56] ; [123  55],[102.51204819  51.48795181] ; [118.48795181  59.51204819],0
a2,1,0.309224,1.033987,[ 22 132] ; [ 33 146],[ 25.43543544 128.56456456] ; [ 29.56456456 149.43543544],0
u1,1,0.309363,1.033391,[ 22 132] ; [ 19 160],[ 18.96096096 135.03903904] ; [ 22.03903904 156.96096096],0
b5,1,0.497979,0.459241,[90 64] ; [98 81],[86.94294294 67.05705706] ; [101.05705706  77.94294294],0
d4,1,0.525176,0.403716,[118  36] ; [131  47],[115.5  38.5] ; [133.5  44.5],0
a1,1,0.573196,0.317365,[  8 146] ; [  7 172],[  6.93693694 147.06306306] ; [  8.06306306 170.93693694],0
n2,1,0.5953,0.282144,[40 27] ; [31 17],[41.36521739 25.63478261] ; [29.63478261 18.36521739],0
d3,1,0.599243,0.27614,[94 60] ; [113  64],[96.3081571 57.6918429] ; [110.6918429  66.3081571],0
b1,1,0.660882,0.192455,[66 88] ; [81 98],[67.98198198 86.01801802] ; [79.01801802 99.98198198],0
d5,1,0.691758,0.157189,[113  41] ; [134  44],[114.57228916  39.42771084] ; [132.42771084  45.57228916],0
a3,1,0.71356,0.134748,[91 62] ; [110  69],[92.62951807 60.37048193] ; [108.37048193  70.62951807],0
