Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.694735,[67 19] ; [16 27],[55.33333333 30.66666667] ; [27.66666667 15.33333333],1
a2,1,0.00131,10.328431,[25 61] ; [ 2 41],[18. 68.] ; [ 9. 34.],0
d3,1,0.00276,8.95959,[64 21] ; [21 22],[56.4453125 28.5546875] ; [28.5546875 14.4453125],0
a3,1,0.042015,4.134615,[65 21] ; [25 18],[60. 26.] ; [30. 13.],0
s8,1,0.050359,3.829466,[32 53] ; [24 19],[37.1875 47.8125] ; [18.8125 24.1875],0
d4,1,0.05253,3.758793,[71 15] ; [29 14],[66.66666667 19.33333333] ; [33.33333333  9.66666667],0
b3,1,0.054992,3.682328,[23 20] ; [10 22],[18.92 24.08] ; [14.08 17.92],0
b2,1,0.054992,3.682328,[23 20] ; [10 22],[18.92 24.08] ; [14.08 17.92],0
u1,1,0.073585,3.201189,[19 67] ; [ 4 39],[15.33333333 70.66666667] ; [ 7.66666667 35.33333333],0
p4,1,0.08685,2.931818,[68 18] ; [28 15],[64. 22.] ; [32. 11.],0
b5,1,0.104246,2.639346,[51 35] ; [19 24],[46.66666667 39.33333333] ; [23.33333333 19.66666667],0
b4,1,0.105504,2.620313,[47 39] ; [17 26],[42.66666667 43.33333333] ; [21.33333333 21.66666667],0
u3,1,0.111126,2.538131,[14  6] ; [ 8 10],[11.57894737  8.42105263] ; [10.42105263  7.57894737],0
p2,1,0.130783,2.283186,[78  8] ; [35  8],[75.33333333 10.66666667] ; [37.66666667  5.33333333],0
s7,1,0.156699,2.005795,[43 39] ; [27 14],[46.66666667 35.33333333] ; [23.33333333 17.66666667],0
b1,1,0.20908,1.577789,[34 52] ; [22 21],[37.33333333 48.66666667] ; [18.66666667 24.33333333],0
a8,1,0.209234,1.576716,[12 68] ; [ 3 39],[ 9.83606557 70.16393443] ; [ 5.16393443 36.83606557],0
s4,1,0.210951,1.564889,[19 64] ; [14 28],[21.912 61.088] ; [11.088 30.912],0
n3,1,0.229421,1.444444,[20  4] ; [10  5],[18.46153846  5.53846154] ; [11.53846154  3.46153846],0
s5,1,0.230139,1.44,[27 53] ; [18 22],[30. 50.] ; [15. 25.],0
v2,1,0.241084,1.374242,[34 51] ; [12 29],[31.03174603 53.96825397] ; [14.96825397 26.03174603],0
p7,1,0.294578,1.098578,[65 18] ; [37  6],[67.19047619 15.80952381] ; [34.80952381  8.19047619],0
s6,1,0.367916,0.810692,[57 28] ; [30 10],[59.16 25.84] ; [27.84 12.16],0
r1,1,0.40496,0.693548,[64 22] ; [29 14],[62. 24.] ; [31. 12.],0
a5,1,0.425357,0.635468,[60 26] ; [27 16],[58. 28.] ; [29. 14.],0
p12,1,0.430273,0.622087,[10 76] ; [ 3 39],[ 8.734375 77.265625] ; [ 4.265625 37.734375],0
n4,1,0.46628,0.530777,[67 19] ; [31 12],[65.33333333 20.66666667] ; [32.66666667 10.33333333],0
d5,1,0.483873,0.490122,[61 25] ; [33 10],[62.66666667 23.33333333] ; [31.33333333 11.66666667],0
n6,1,0.49143,0.473394,[74 12] ; [35  8],[72.66666667 13.33333333] ; [36.33333333  6.66666667],0
d1,1,0.53207,0.390436,[45 41] ; [25 18],[46.66666667 39.33333333] ; [23.33333333 19.66666667],0
n2,1,0.573683,0.316558,[18  6] ; [10  5],[17.23076923  6.76923077] ; [10.76923077  4.23076923],0
p1,1,0.589874,0.290541,[11 75] ; [ 7 36],[12. 74.] ; [ 6. 37.],0
v4,1,0.593549,0.284836,[81  4] ; [40  3],[80.3515625  4.6484375] ; [40.6484375  2.3515625],0
v3,1,0.614039,0.254336,[21 65] ; [12 30],[22.171875 63.828125] ; [10.828125 31.171875],0
s2,1,0.654178,0.200673,[49 36] ; [23 20],[47.8125 37.1875] ; [24.1875 18.8125],0
s3,1,0.665007,0.187498,[50 35] ; [27 16],[51.1328125 33.8671875] ; [25.8671875 17.1328125],0
p3,1,0.6992,0.149306,[53 33] ; [28 15],[54. 32.] ; [27. 16.],0
