Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000265,13.303167,[1 9] ; [16  4],[5.66666667 4.33333333] ; [11.33333333  8.66666667],1
a5,1,0.000496,12.129187,[2 8] ; [17  3],[6.33333333 3.66666667] ; [12.66666667  7.33333333],1
n5,1,0.004701,7.991037,[5 5] ; [18  1],[7.93103448 2.06896552] ; [15.06896552  3.93103448],0
n4,1,0.007384,7.177033,[3 7] ; [16  4],[6.33333333 3.66666667] ; [12.66666667  7.33333333],0
a4,1,0.009181,6.78733,[1 9] ; [12  8],[4.33333333 5.66666667] ; [ 8.66666667 11.33333333],0
p4,1,0.01123,6.428571,[4 6] ; [17  3],[7. 3.] ; [14.  6.],0
d1,1,0.017706,5.625,[1 9] ; [11  9],[4. 6.] ; [ 8. 12.],0
u2,1,0.021248,5.306327,[8 1] ; [1 3],[6.23076923 2.76923077] ; [2.76923077 1.23076923],0
v2,1,0.030522,4.67963,[3 7] ; [13  5],[5.71428571 4.28571429] ; [10.28571429  7.71428571],0
d4,1,0.060752,3.516746,[4 6] ; [15  5],[6.33333333 3.66666667] ; [12.66666667  7.33333333],0
s8,1,0.089906,2.876058,[2 8] ; [10  9],[4.13793103 5.86206897] ; [ 7.86206897 11.13793103],0
d2,1,0.113846,2.5,[2 8] ; [10 10],[4. 6.] ; [ 8. 12.],0
v1,1,0.119362,2.425668,[2 8] ; [9 9],[3.92857143 6.07142857] ; [ 7.07142857 10.92857143],0
p9,1,0.126968,2.329193,[6 4] ; [17  3],[7.66666667 2.33333333] ; [15.33333333  4.66666667],0
d5,1,0.126968,2.329193,[6 4] ; [17  3],[7.66666667 2.33333333] ; [15.33333333  4.66666667],0
b5,1,0.144377,2.130682,[9 1] ; [13  7],[7.33333333 2.66666667] ; [14.66666667  5.33333333],0
p3,1,0.192703,1.696833,[4 6] ; [13  7],[5.66666667 4.33333333] ; [11.33333333  8.66666667],0
s7,1,0.233762,1.417824,[4 5] ; [11  5],[5.4 3.6] ; [9.6 6.4],0
p11,1,0.242908,1.363636,[6 4] ; [16  4],[7.33333333 2.66666667] ; [14.66666667  5.33333333],0
s4,1,0.277877,1.177444,[4 6] ; [ 4 15],[2.75862069 7.24137931] ; [ 5.24137931 13.75862069],0
d3,1,0.280038,1.166905,[3 6] ; [11  9],[4.34482759 4.65517241] ; [ 9.65517241 10.34482759],0
p8,1,0.297365,1.085973,[7 3] ; [10 10],[5.66666667 4.33333333] ; [11.33333333  8.66666667],0
b4,1,0.297365,1.085973,[3 7] ; [10 10],[4.33333333 5.66666667] ; [ 8.66666667 11.33333333],0
r2,1,0.365416,0.819195,[6 4] ; [13  4],[7.03703704 2.96296296] ; [11.96296296  5.03703704],0
n1,1,0.428537,0.626786,[2 5] ; [3 3],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
s3,1,0.430223,0.622222,[6 4] ; [ 8 10],[5. 5.] ; [9. 9.],0
s6,1,0.430223,0.622222,[4 6] ; [10  8],[5. 5.] ; [9. 9.],0
p2,1,0.447521,0.576923,[8 2] ; [18  2],[8.66666667 1.33333333] ; [17.33333333  2.66666667],0
b2,1,0.45675,0.553846,[1 4] ; [5 8],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
b3,1,0.45675,0.553846,[1 4] ; [5 8],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
p5,1,0.488422,0.48,[1 9] ; [ 4 16],[1.66666667 8.33333333] ; [ 3.33333333 16.66666667],0
r1,1,0.507256,0.439724,[2 8] ; [ 6 13],[2.75862069 7.24137931] ; [ 5.24137931 13.75862069],0
b1,1,0.592097,0.287081,[7 3] ; [12  8],[6.33333333 3.66666667] ; [12.66666667  7.33333333],0
a6,1,0.592097,0.287081,[7 3] ; [12  8],[6.33333333 3.66666667] ; [12.66666667  7.33333333],0
a7,1,0.602332,0.271493,[5 5] ; [12  8],[5.66666667 4.33333333] ; [11.33333333  8.66666667],0
n2,1,0.611541,0.257937,[5 2] ; [5 1],[5.38461538 1.61538462] ; [4.61538462 1.38461538],0
v4,1,0.648807,0.207407,[7 3] ; [14  4],[7.5 2.5] ; [13.5  4.5],0
p10,1,0.650198,0.205651,[6 4] ; [13  6],[6.55172414 3.44827586] ; [12.44827586  6.55172414],0
n3,1,0.796762,0.066327,[4 3] ; [3 3],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
s2,1,0.819872,0.051852,[6 4] ; [10  8],[5.71428571 4.28571429] ; [10.28571429  7.71428571],0
s5,1,0.834969,0.043403,[2 7] ; [ 3 13],[1.8 7.2] ; [ 3.2 12.8],0
r3,1,0.900744,0.015556,[7 3] ; [13  5],[7.14285714 2.85714286] ; [12.85714286  5.14285714],0
