Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,8.8e-05,15.381247,[ 3 12] ; [113  48],[9.88636364 5.11363636] ; [106.11363636  54.88636364],1
r2,1,0.000148,14.396983,[9 6] ; [147  13],[13.37142857  1.62857143] ; [142.62857143  17.37142857],1
s6,1,0.000222,13.635397,[ 2 13] ; [100  60],[8.74285714 6.25714286] ; [93.25714286 66.74285714],1
a7,1,0.00047,12.231525,[6 9] ; [128  32],[11.48571429  3.51428571] ; [122.51428571  37.48571429],1
v4,1,0.000706,11.472805,[11  4] ; [152   7],[14.05172414  0.94827586] ; [148.94827586  10.05172414],1
b1,1,0.000801,11.238434,[11  4] ; [ 49 112],[5.11363636 9.88636364] ; [ 54.88636364 106.11363636],1
d1,1,0.001386,10.223933,[ 1 14] ; [80 81],[6.90340909 8.09659091] ; [74.09659091 86.90340909],0
r1,1,0.007269,7.205309,[6 9] ; [117  43],[10.54285714  4.45714286] ; [112.45714286  47.54285714],0
d5,1,0.00881,6.860888,[6 9] ; [116  44],[10.45714286  4.54285714] ; [111.54285714  48.45714286],0
s2,1,0.015671,5.83941,[ 2 13] ; [73 87],[6.42857143 8.57142857] ; [68.57142857 91.42857143],0
n6,1,0.015852,5.819211,[6 9] ; [112  47],[10.17241379  4.82758621] ; [107.82758621  51.17241379],0
s3,1,0.018216,5.57521,[ 3 12] ; [83 77],[7.37142857 7.62857143] ; [78.62857143 81.37142857],0
n3,1,0.022367,5.217033,[4 6] ; [41 13],[7.03125 2.96875] ; [37.96875 16.03125],0
v2,1,0.024811,5.037005,[ 3 12] ; [77 76],[7.14285714 7.85714286] ; [72.85714286 80.14285714],0
s5,1,0.046826,3.951612,[ 1 14] ; [ 49 109],[ 4.33526012 10.66473988] ; [ 45.66473988 112.33526012],0
a5,1,0.07619,3.144361,[ 5 10] ; [92 69],[8.26704545 6.73295455] ; [88.73295455 72.26704545],0
d4,1,0.084688,2.97255,[9 6] ; [127  33],[11.65714286  3.34285714] ; [124.34285714  35.65714286],0
p11,1,0.08898,2.892734,[8 7] ; [119  42],[10.82386364  4.17613636] ; [116.17613636  44.82386364],0
d3,1,0.095523,2.778747,[8 7] ; [117  42],[10.77586207  4.22413793] ; [114.22413793  44.77586207],0
d2,1,0.117523,2.450021,[ 2 13] ; [ 53 108],[ 4.6875 10.3125] ; [ 50.3125 110.6875],0
b4,1,0.127911,2.317678,[6 9] ; [97 64],[8.77840909 6.22159091] ; [94.22159091 66.77840909],0
u3,1,0.137042,2.210868,[6 1] ; [38 29],[4.16216216 2.83783784] ; [39.83783784 27.16216216],0
p5,1,0.180757,1.79139,[ 2 13] ; [  8 153],[ 0.85227273 14.14772727] ; [  9.14772727 151.85227273],0
s8,1,0.246061,1.345532,[ 3 12] ; [ 56 105],[5.02840909 9.97159091] ; [ 53.97159091 107.02840909],0
v3,1,0.301025,1.069647,[ 2 13] ; [ 39 115],[ 3.63905325 11.36094675] ; [ 37.36094675 116.63905325],0
b5,1,0.306182,1.047074,[7 8] ; [97 64],[8.86363636 6.13636364] ; [95.13636364 65.86363636],0
p3,1,0.319518,0.990916,[ 4 11] ; [64 97],[5.79545455 9.20454545] ; [62.20454545 98.79545455],0
n5,1,0.341249,0.905734,[7 8] ; [ 55 105],[5.31428571 9.68571429] ; [ 56.68571429 103.31428571],0
p9,1,0.379836,0.771234,[11  4] ; [132  28],[12.25714286  2.74285714] ; [130.74285714  29.25714286],0
n2,1,0.383092,0.760755,[6 4] ; [39 14],[7.14285714 2.85714286] ; [37.85714286 15.14285714],0
s7,1,0.400282,0.707479,[6 8] ; [ 50 107],[4.58479532 9.41520468] ; [ 51.41520468 105.58479532],0
