Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002316,9.280445,[38 33] ; [ 60 123],[27.39370079 43.60629921] ; [ 70.60629921 112.39370079],0
p4,1,0.005587,7.678876,[22 48] ; [93 90],[31.81818182 38.18181818] ; [83.18181818 99.81818182],0
n6,1,0.005602,7.674158,[46 25] ; [147  34],[54.37698413 16.62301587] ; [138.62301587  42.37698413],0
a6,1,0.006839,7.314705,[38 32] ; [132  51],[47.03557312 22.96442688] ; [122.96442688  60.03557312],0
p9,1,0.007237,7.213224,[48 21] ; [154  28],[55.52988048 13.47011952] ; [146.47011952  35.52988048],0
v4,1,0.01426,6.005729,[61 10] ; [171   9],[65.62549801  5.37450199] ; [166.37450199  13.62549801],0
r2,1,0.016461,5.752996,[63  7] ; [175   5],[66.64  3.36] ; [171.36   8.64],0
p6,1,0.016989,5.697476,[ 9 60] ; [ 50 133],[16.1547619 52.8452381] ; [ 42.8452381 140.1547619],0
a1,1,0.02122,5.30864,[ 6 65] ; [  4 179],[ 2.79527559 68.20472441] ; [  7.20472441 175.79527559],0
p7,1,0.029361,4.746349,[24 43] ; [92 87],[31.59349593 35.40650407] ; [84.40650407 94.59349593],0
p11,1,0.03668,4.365185,[42 29] ; [133  50],[48.91732283 22.08267717] ; [126.08267717  56.91732283],0
p10,1,0.040868,4.181461,[47 23] ; [143  37],[53.2 16.8] ; [136.8  43.2],0
s6,1,0.051784,3.782741,[48 22] ; [145  36],[53.8247012 16.1752988] ; [139.1752988  41.8247012],0
n1,1,0.055511,3.666667,[16 12] ; [17 32],[12. 16.] ; [21. 28.],0
n4,1,0.06874,3.312844,[47 24] ; [140  41],[52.68650794 18.31349206] ; [134.31349206  46.68650794],0
n3,1,0.072501,3.225481,[18  9] ; [43  8],[21.11538462  5.88461538] ; [39.88461538 11.11538462],0
a7,1,0.089694,2.879858,[43 28] ; [131  52],[48.63779528 22.36220472] ; [125.36220472  57.63779528],0
a2,1,0.097661,2.743333,[13 58] ; [ 52 131],[18.16929134 52.83070866] ; [ 46.83070866 136.16929134],0
r3,1,0.098259,2.733581,[64  7] ; [174   8],[66.79051383  4.20948617] ; [171.20948617  10.79051383],0
s1,1,0.099161,2.71899,[ 7 63] ; [  8 171],[ 4.21686747 65.78313253] ; [ 10.78313253 168.21686747],0
s4,1,0.196369,1.669173,[19 52] ; [ 35 146],[15.21428571 55.78571429] ; [ 38.78571429 142.21428571],0
p1,1,0.208477,1.581974,[ 7 64] ; [ 10 173],[ 4.7519685 66.2480315] ; [ 12.2480315 170.7519685],0
v1,1,0.213238,1.549303,[37 32] ; [77 95],[32.63900415 36.36099585] ; [81.36099585 90.63900415],0
u4,1,0.223274,1.483201,[ 3 68] ; [  3 180],[ 1.67716535 69.32283465] ; [  4.32283465 178.67716535],0
r4,1,0.239039,1.386254,[58 13] ; [160  23],[60.93700787 10.06299213] ; [157.06299213  25.93700787],0
d3,1,0.30016,1.073483,[43 27] ; [125  58],[46.48221344 23.51778656] ; [121.51778656  61.48221344],0
s5,1,0.330445,0.947154,[19 47] ; [ 62 113],[22.18257261 43.81742739] ; [ 58.81742739 116.18257261],0
n5,1,0.343025,0.899094,[46 24] ; [130  51],[49.08366534 20.91633466] ; [126.91633466  54.08366534],0
a4,1,0.351604,0.867661,[37 34] ; [83 99],[33.67588933 37.32411067] ; [86.32411067 95.67588933],0
a5,1,0.378239,0.776418,[46 25] ; [129  54],[48.91732283 22.08267717] ; [126.08267717  56.91732283],0
s2,1,0.463252,0.538027,[52 19] ; [142  41],[54.22834646 16.77165354] ; [139.77165354  43.22834646],0
d2,1,0.467463,0.527967,[38 32] ; [90 93],[35.41501976 34.58498024] ; [92.58498024 90.41501976],0
p12,1,0.487999,0.480935,[ 3 67] ; [ 12 170],[ 4.16666667 65.83333333] ; [ 10.83333333 171.16666667],0
r1,1,0.530199,0.394011,[53 18] ; [141  39],[54.87649402 16.12350598] ; [139.12350598  40.87649402],0
u1,1,0.547665,0.361517,[12 59] ; [ 37 146],[13.69685039 57.30314961] ; [ 35.30314961 147.69685039],0
b3,1,0.558765,0.341847,[16 34] ; [39 67],[17.62820513 32.37179487] ; [37.37179487 68.62820513],0
b2,1,0.558765,0.341847,[16 34] ; [39 67],[17.62820513 32.37179487] ; [37.37179487 68.62820513],0
