Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,25.232287,[13 75] ; [19 12],[23.66386555 64.33613445] ; [ 8.33613445 22.66386555],1
s3,1,4e-06,21.149407,[26 61] ; [24  7],[36.86440678 50.13559322] ; [13.13559322 17.86440678],1
s6,1,2.4e-05,17.814964,[27 61] ; [23  8],[36.97478992 51.02521008] ; [13.02521008 17.97478992],1
s8,1,0.000347,12.796738,[ 9 79] ; [12 19],[15.52941176 72.47058824] ; [ 5.47058824 25.52941176],1
p5,1,0.00109,10.667471,[ 2 86] ; [ 6 25],[ 5.91596639 82.08403361] ; [ 2.08403361 28.91596639],0
n1,1,0.00648,7.411813,[12 27] ; [9 3],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
p6,1,0.008245,6.979544,[14 74] ; [12 19],[19.22689076 68.77310924] ; [ 6.77310924 24.22689076],0
u1,1,0.009289,6.766427,[ 7 82] ; [ 8 23],[11.125 77.875] ; [ 3.875 27.125],0
p4,1,0.012177,6.284886,[24 65] ; [16 15],[29.66666667 59.33333333] ; [10.33333333 20.66666667],0
s5,1,0.022989,5.16934,[ 9 78] ; [ 8 21],[12.75 74.25] ; [ 4.25 24.75],0
d3,1,0.023115,5.159859,[38 51] ; [20 10],[43.37815126 45.62184874] ; [14.62184874 15.37815126],0
d4,1,0.033407,4.524792,[52 37] ; [24  6],[56.84033613 32.15966387] ; [19.15966387 10.84033613],0
n6,1,0.041945,4.137433,[50 38] ; [24  7],[54.72268908 33.27731092] ; [19.27731092 11.72268908],0
s4,1,0.056808,3.628221,[12 75] ; [ 9 22],[15.48305085 71.51694915] ; [ 5.51694915 25.48305085],0
n4,1,0.058786,3.571296,[52 37] ; [24  7],[56.36666667 32.63333333] ; [19.63333333 11.36666667],0
v4,1,0.059907,3.539958,[66 23] ; [28  3],[69.71666667 19.28333333] ; [24.28333333  6.71666667],0
r3,1,0.0709,3.262051,[63 26] ; [27  4],[66.75 22.25] ; [23.25  7.75],0
p1,1,0.071397,3.250617,[ 5 83] ; [ 5 26],[ 7.39495798 80.60504202] ; [ 2.60504202 28.39495798],0
p9,1,0.072407,3.227586,[25 62] ; [14 16],[29. 58.] ; [10. 20.],0
p2,1,0.078164,3.102675,[44 45] ; [21 10],[48.20833333 40.79166667] ; [16.79166667 14.20833333],0
p8,1,0.084374,2.97856,[20 68] ; [12 19],[23.66386555 64.33613445] ; [ 8.33613445 22.66386555],0
d1,1,0.115854,2.4725,[29 60] ; [15 16],[32.63333333 56.36666667] ; [11.36666667 19.63333333],0
u3,1,0.120997,2.404365,[21 24] ; [8 3],[23.30357143 21.69642857] ; [5.69642857 5.30357143],0
s1,1,0.123771,2.368937,[ 6 82] ; [ 5 26],[ 8.13445378 79.86554622] ; [ 2.86554622 28.13445378],0
r2,1,0.196058,1.671496,[70 18] ; [27  3],[72.33898305 15.66101695] ; [24.66101695  5.33898305],0
a3,1,0.200364,1.639721,[44 42] ; [20 11],[47.04273504 38.95726496] ; [16.95726496 14.04273504],0
p3,1,0.21916,1.509864,[24 65] ; [12 19],[26.7 62.3] ; [ 9.3 21.7],0
b3,1,0.219827,1.5055,[17 43] ; [ 9 12],[19.25925926 40.74074074] ; [ 6.74074074 14.25925926],0
b2,1,0.219827,1.5055,[17 43] ; [ 9 12],[19.25925926 40.74074074] ; [ 6.74074074 14.25925926],0
u2,1,0.24767,1.336401,[16 29] ; [6 5],[17.67857143 27.32142857] ; [4.32142857 6.67857143],0
r4,1,0.247947,1.334832,[59 30] ; [24  7],[61.55833333 27.44166667] ; [21.44166667  9.55833333],0
d5,1,0.307395,1.041837,[53 36] ; [21  9],[55.34453782 33.65546218] ; [18.65546218 11.34453782],0
a4,1,0.348285,0.879695,[31 56] ; [14 17],[33.1779661 53.8220339] ; [11.8220339 19.1779661],0
v3,1,0.358556,0.842945,[14 74] ; [ 7 23],[15.66101695 72.33898305] ; [ 5.33898305 24.66101695],0
b5,1,0.360173,0.837288,[52 37] ; [21 10],[54.14166667 34.85833333] ; [18.85833333 12.14166667],0
n2,1,0.386152,0.751024,[21 19] ; [8 4],[22.30769231 17.69230769] ; [6.69230769 5.30769231],0
r1,1,0.394994,0.723512,[52 36] ; [21 10],[53.98319328 34.01680672] ; [19.01680672 11.98319328],0
n3,1,0.411152,0.675467,[21 17] ; [5 7],[19.76 18.24] ; [6.24 5.76],0
u4,1,0.431057,0.619974,[ 1 88] ; [ 1 30],[ 1.48333333 87.51666667] ; [ 0.51666667 30.48333333],0
n5,1,0.483913,0.490033,[54 35] ; [21 10],[55.625 33.375] ; [19.375 11.625],0
b1,1,0.53154,0.391446,[43 46] ; [17 14],[44.5 44.5] ; [15.5 15.5],0
p11,1,0.620102,0.245725,[39 50] ; [12 19],[37.825 51.175] ; [13.175 17.825],0
a2,1,0.640974,0.21747,[14 75] ; [ 6 25],[14.83333333 74.16666667] ; [ 5.16666667 25.83333333],0
a1,1,0.659817,0.193746,[ 8 81] ; [ 2 29],[ 7.41666667 81.58333333] ; [ 2.58333333 28.41666667],0
a5,1,0.681527,0.168412,[45 44] ; [17 14],[45.98333333 43.01666667] ; [16.01666667 14.98333333],0
p7,1,0.698187,0.150365,[38 51] ; [12 19],[37.08333333 51.91666667] ; [12.91666667 18.08333333],0
a7,1,0.771448,0.084379,[49 40] ; [18 13],[49.69166667 39.30833333] ; [17.30833333 13.69166667],0
b4,1,0.811502,0.056877,[51 38] ; [17 14],[50.43333333 38.56666667] ; [17.56666667 13.43333333],0
v1,1,0.828462,0.046948,[21 67] ; [ 8 23],[21.44537815 66.55462185] ; [ 7.55462185 23.44537815],0
