Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.4e-05,18.902925,[27  7] ; [38 66],[16.01449275 17.98550725] ; [48.98550725 55.01449275],1
s2,1,4.2e-05,16.796619,[22 12] ; [27 77],[12.07246377 21.92753623] ; [36.92753623 67.07246377],1
s3,1,0.000146,14.421586,[23 10] ; [34 71],[13.63043478 19.36956522] ; [43.36956522 61.63043478],1
s8,1,0.001397,10.209884,[14 20] ; [16 89],[ 7.3381295 26.6618705] ; [22.6618705 82.3381295],0
s7,1,0.009416,6.742137,[13 21] ; [17 84],[ 7.55555556 26.44444444] ; [22.44444444 78.55555556],0
p10,1,0.033238,4.533464,[26  7] ; [60 43],[20.86764706 12.13235294] ; [65.13235294 37.86764706],0
b1,1,0.03948,4.240084,[ 7 27] ; [42 63],[11.98561151 22.01438849] ; [37.01438849 67.98561151],0
r2,1,0.040138,4.212045,[32  1] ; [87 18],[28.45652174  4.54347826] ; [90.54347826 14.45652174],0
d4,1,0.044791,4.026507,[30  4] ; [74 30],[25.62318841  8.37681159] ; [78.37681159 25.62318841],0
n1,1,0.046289,3.971047,[5 6] ; [ 8 38],[2.50877193 8.49122807] ; [10.49122807 35.50877193],0
s4,1,0.050483,3.825329,[12 22] ; [20 85],[ 7.82733813 26.17266187] ; [24.17266187 80.82733813],0
n6,1,0.054293,3.703665,[26  8] ; [61 44],[21.28057554 12.71942446] ; [65.71942446 39.28057554],0
r3,1,0.055296,3.673143,[33  1] ; [88 16],[29.8115942  4.1884058] ; [91.1884058 12.8115942],0
p9,1,0.056146,3.64772,[28  5] ; [69 33],[23.71111111  9.28888889] ; [73.28888889 28.71111111],0
a1,1,0.059711,3.545404,[ 3 31] ; [  2 103],[ 1.22302158 32.77697842] ; [  3.77697842 101.22302158],0
b2,1,0.118154,2.441627,[ 8 10] ; [11 34],[ 5.42857143 12.57142857] ; [13.57142857 31.42857143],0
b3,1,0.118154,2.441627,[ 8 10] ; [11 34],[ 5.42857143 12.57142857] ; [13.57142857 31.42857143],0
