Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.53572,[11 19] ; [60 10],[21.3  8.7] ; [49.7 20.3],1
a2,1,0.000305,13.040887,[ 3 27] ; [34 37],[10.99009901 19.00990099] ; [26.00990099 44.99009901],1
u1,1,0.001456,10.13361,[ 2 28] ; [27 44],[ 8.61386139 21.38613861] ; [20.38613861 50.61386139],0
d3,1,0.002539,9.112482,[21  9] ; [65  5],[25.8  4.2] ; [60.2  9.8],0
b1,1,0.003281,8.644082,[21  9] ; [27 44],[14.25742574 15.74257426] ; [33.74257426 37.25742574],0
b5,1,0.006603,7.37798,[13 17] ; [51 20],[19.00990099 10.99009901] ; [44.99009901 26.00990099],0
r1,1,0.009682,6.692407,[17 13] ; [57 13],[22.2  7.8] ; [51.8 18.2],0
b4,1,0.066673,3.363091,[14 16] ; [47 24],[18.11881188 11.88118812] ; [42.88118812 28.11881188],0
s4,1,0.067559,3.341361,[ 6 24] ; [ 5 63],[ 3.36734694 26.63265306] ; [ 7.63265306 60.36734694],0
s2,1,0.078959,3.086194,[15 14] ; [23 47],[11.13131313 17.86868687] ; [26.86868687 43.13131313],0
p2,1,0.090134,2.871979,[14 16] ; [46 25],[17.82178218 12.17821782] ; [42.17821782 28.82178218],0
v4,1,0.101935,2.675009,[22  7] ; [63  8],[24.65  4.35] ; [60.35 10.65],0
s5,1,0.158744,1.986155,[ 8 22] ; [10 58],[ 5.51020408 24.48979592] ; [12.48979592 55.51020408],0
r4,1,0.193987,1.687077,[20 10] ; [56 15],[22.57425743  7.42574257] ; [53.42574257 17.57425743],0
s8,1,0.202685,1.622921,[12 18] ; [19 51],[ 9.3 20.7] ; [21.7 48.3],0
p9,1,0.23049,1.437835,[14 15] ; [24 44],[11.36082474 17.63917526] ; [26.63917526 41.36082474],0
s7,1,0.242145,1.368062,[13 13] ; [25 43],[10.5106383 15.4893617] ; [27.4893617 40.5106383],0
n1,1,0.277115,1.181186,[8 9] ; [ 9 20],[ 6.2826087 10.7173913] ; [10.7173913 18.2826087],0
p8,1,0.298098,1.082682,[ 8 21] ; [27 43],[10.25252525 18.74747475] ; [24.74747475 45.25252525],0
a8,1,0.307975,1.03934,[ 1 27] ; [ 6 55],[ 2.20224719 25.79775281] ; [ 4.79775281 56.20224719],0
p3,1,0.340904,0.907029,[11 19] ; [19 51],[ 9. 21.] ; [21. 49.],0
