Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.986345,[ 3 13] ; [21  2],[9.84615385 6.15384615] ; [14.15384615  8.84615385],1
p2,1,0.00164,9.914295,[ 5 11] ; [18  4],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
p11,1,0.013451,6.10881,[ 4 12] ; [15  8],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
v1,1,0.021339,5.298913,[ 2 14] ; [11 12],[ 5.33333333 10.66666667] ; [ 7.66666667 15.33333333],0
p3,1,0.025824,4.967787,[ 3 13] ; [12 10],[6.31578947 9.68421053] ; [ 8.68421053 13.31578947],0
a5,1,0.02711,4.883781,[7 9] ; [18  5],[10.25641026  5.74358974] ; [14.74358974  8.25641026],0
p4,1,0.028119,4.820769,[ 5 10] ; [16  7],[8.28947368 6.71052632] ; [12.71052632 10.28947368],0
v4,1,0.028435,4.801499,[10  6] ; [21  2],[12.71794872  3.28205128] ; [18.28205128  4.71794872],0
s6,1,0.036843,4.357659,[ 5 11] ; [15  8],[8.20512821 7.79487179] ; [11.79487179 11.20512821],0
s8,1,0.039229,4.250906,[ 2 14] ; [10 13],[ 4.92307692 11.07692308] ; [ 7.07692308 15.92307692],0
s5,1,0.056582,3.634833,[ 2 14] ; [ 9 13],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
d5,1,0.056846,3.627106,[7 9] ; [17  6],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
r4,1,0.062616,3.4667,[ 3 13] ; [11 12],[ 5.74358974 10.25641026] ; [ 8.25641026 14.74358974],0
a6,1,0.068713,3.313494,[ 5 11] ; [14  9],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
p8,1,0.068713,3.313494,[ 5 11] ; [14  9],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
p6,1,0.086541,2.937569,[ 2 13] ; [ 9 14],[ 4.34210526 10.65789474] ; [ 6.65789474 16.34210526],0
d3,1,0.087655,2.916925,[ 6 10] ; [15  8],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
d1,1,0.089695,2.879844,[ 4 12] ; [12 11],[6.56410256 9.43589744] ; [ 9.43589744 13.56410256],0
d4,1,0.125698,2.344845,[8 8] ; [17  6],[10.25641026  5.74358974] ; [14.74358974  8.25641026],0
r2,1,0.142317,2.152727,[9 6] ; [18  4],[10.94594595  4.05405405] ; [16.05405405  5.94594595],0
s7,1,0.149517,2.077174,[ 4 12] ; [11 12],[6.15384615 9.84615385] ; [ 8.84615385 14.15384615],0
n4,1,0.157179,2.001162,[10  6] ; [19  4],[11.8974359  4.1025641] ; [17.1025641  5.8974359],0
n5,1,0.1651,1.926877,[12  4] ; [21  2],[13.53846154  2.46153846] ; [19.46153846  3.53846154],0
a4,1,0.182227,1.779364,[ 3 12] ; [ 9 13],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
r1,1,0.183571,1.768477,[7 9] ; [15  8],[9.02564103 6.97435897] ; [12.97435897 10.02564103],0
a7,1,0.194916,1.680067,[ 5 11] ; [12 11],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
s3,1,0.214449,1.541137,[ 4 12] ; [ 9 11],[ 5.77777778 10.22222222] ; [ 7.22222222 12.77777778],0
d2,1,0.253568,1.303536,[ 5 10] ; [12 11],[6.71052632 8.28947368] ; [10.28947368 12.71052632],0
s2,1,0.300587,1.07159,[ 5 11] ; [11 12],[6.56410256 9.43589744] ; [ 9.43589744 13.56410256],0
a3,1,0.451549,0.566761,[9 7] ; [15  7],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
p1,1,0.459577,0.546924,[ 2 14] ; [ 5 18],[ 2.87179487 13.12820513] ; [ 4.12820513 18.87179487],0
u3,1,0.464214,0.535714,[3 4] ; [2 6],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
p12,1,0.491557,0.473117,[ 1 15] ; [ 3 20],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
u1,1,0.491557,0.473117,[ 1 15] ; [ 3 20],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
a2,1,0.491557,0.473117,[ 1 15] ; [ 3 20],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
s4,1,0.503445,0.447667,[ 5 11] ; [ 5 18],[ 4.1025641 11.8974359] ; [ 5.8974359 17.1025641],0
p7,1,0.640854,0.217627,[ 5 10] ; [ 9 13],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
b4,1,0.645238,0.211957,[10  6] ; [16  7],[10.66666667  5.33333333] ; [15.33333333  7.66666667],0
n1,1,0.664558,0.188034,[4 5] ; [7 6],[4.5 4.5] ; [6.5 6.5],0
s1,1,0.700098,0.14837,[ 2 14] ; [ 2 21],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
u2,1,0.714393,0.133929,[2 5] ; [3 5],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
a1,1,0.777998,0.079484,[ 1 15] ; [ 2 21],[ 1.23076923 14.76923077] ; [ 1.76923077 21.23076923],0
v3,1,0.789536,0.071243,[ 5 11] ; [ 6 16],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
b1,1,0.801689,0.063082,[9 7] ; [12 11],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
n3,1,0.863926,0.029371,[4 4] ; [7 6],[4.19047619 3.80952381] ; [6.80952381 6.19047619],0
b2,1,0.866151,0.028409,[3 9] ; [ 5 13],[3.2 8.8] ; [ 4.8 13.2],0
b3,1,0.866151,0.028409,[3 9] ; [ 5 13],[3.2 8.8] ; [ 4.8 13.2],0
n2,1,0.898977,0.016117,[6 3] ; [9 4],[6.13636364 2.86363636] ; [8.86363636 4.13636364],0
b5,1,0.918006,0.010598,[10  6] ; [14  9],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
v2,1,0.970323,0.001384,[ 5 11] ; [ 7 15],[ 5.05263158 10.94736842] ; [ 6.94736842 15.05263158],0
