Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.7e-05,18.511913,[107  31] ; [13 20],[96.84210526 41.15789474] ; [23.15789474  9.84210526],1
n5,1,8.3e-05,15.482951,[109  30] ; [14 18],[99.98245614 39.01754386] ; [23.01754386  8.98245614],1
p10,1,0.000234,13.537262,[116  20] ; [18 14],[108.47619048  27.52380952] ; [25.52380952  6.47619048],1
s6,1,0.000826,11.182389,[117  19] ; [20 13],[110.24852071  25.75147929] ; [26.75147929  6.24852071],1
p9,1,0.00202,9.530991,[117  19] ; [20 12],[110.9047619  25.0952381] ; [26.0952381  5.9047619],0
p11,1,0.00464,8.014755,[106  33] ; [17 16],[99.40116279 39.59883721] ; [23.59883721  9.40116279],0
r4,1,0.005591,7.677669,[126  13] ; [24  9],[121.22093023  17.77906977] ; [28.77906977  4.22093023],0
s5,1,0.016082,5.793868,[65 69] ; [ 8 24],[58.92771084 75.07228916] ; [14.07228916 17.92771084],0
p2,1,0.018488,5.549301,[112  24] ; [21 12],[107.0295858  28.9704142] ; [25.9704142  7.0295858],0
b1,1,0.034612,4.464231,[56 83] ; [20 13],[61.41860465 77.58139535] ; [14.58139535 18.41860465],0
b2,1,0.04337,4.080907,[30 51] ; [ 2 15],[26.44897959 54.55102041] ; [ 5.55102041 11.44897959],0
b3,1,0.04337,4.080907,[30 51] ; [ 2 15],[26.44897959 54.55102041] ; [ 5.55102041 11.44897959],0
s8,1,0.058504,3.579285,[76 63] ; [12 21],[71.11627907 67.88372093] ; [16.88372093 16.11627907],0
p7,1,0.084457,2.976975,[95 39] ; [17 14],[90.95757576 43.04242424] ; [21.04242424  9.95757576],0
u2,1,0.084822,2.97,[22 28] ; [11  5],[25. 25.] ; [8. 8.],0
a3,1,0.106162,2.610438,[88 50] ; [16 17],[83.92982456 54.07017544] ; [20.07017544 12.92982456],0
p5,1,0.134541,2.239306,[ 16 120] ; [ 1 32],[ 13.68047337 122.31952663] ; [ 3.31952663 29.68047337],0
u3,1,0.137005,2.211282,[27 23] ; [12  4],[29.54545455 20.45454545] ; [9.45454545 6.54545455],0
p8,1,0.14445,2.129898,[71 66] ; [12 20],[67.28402367 69.71597633] ; [15.71597633 16.28402367],0
s7,1,0.147989,2.092859,[86 46] ; [17 16],[82.4 49.6] ; [20.6 12.4],0
r2,1,0.1781,1.813408,[131   8] ; [28  4],[129.24561404   9.75438596] ; [29.75438596  2.24561404],0
n1,1,0.207196,1.590909,[12 12] ; [3 8],[10.28571429 13.71428571] ; [4.71428571 6.28571429],0
a4,1,0.213217,1.54945,[ 35 103] ; [ 5 28],[ 32.28070175 105.71929825] ; [ 7.71929825 25.28070175],0
v3,1,0.217222,1.522627,[55 83] ; [ 9 23],[51.95294118 86.04705882] ; [12.04705882 19.95294118],0
a7,1,0.244006,1.357301,[89 47] ; [18 15],[86.10650888 49.89349112] ; [20.89349112 12.10650888],0
d3,1,0.26773,1.228342,[52 85] ; [16 17],[54.8 82.2] ; [13.2 19.8],0
a6,1,0.298379,1.081423,[74 64] ; [21 12],[76.66666667 61.33333333] ; [18.33333333 14.66666667],0
a2,1,0.322216,0.979929,[ 11 128] ; [ 1 32],[  9.69767442 129.30232558] ; [ 2.30232558 30.69767442],0
d5,1,0.323863,0.973281,[80 58] ; [16 17],[77.47368421 60.52631579] ; [18.52631579 14.47368421],0
s4,1,0.354846,0.856051,[ 31 106] ; [10 23],[ 33.04117647 103.95882353] ; [ 7.95882353 25.04117647],0
d2,1,0.369851,0.804165,[ 21 118] ; [ 3 30],[ 19.39534884 119.60465116] ; [ 4.60465116 28.39534884],0
p4,1,0.398778,0.712008,[74 64] ; [15 18],[71.8245614 66.1754386] ; [17.1754386 15.8245614],0
d4,1,0.428354,0.627283,[86 52] ; [23 10],[87.96491228 50.03508772] ; [21.03508772 11.96491228],0
p12,1,0.437954,0.601637,[  9 128] ; [ 1 32],[  8.05882353 128.94117647] ; [ 1.94117647 31.05882353],0
s1,1,0.45246,0.564483,[  9 127] ; [ 1 31],[  8.0952381 127.9047619] ; [ 1.9047619 30.0952381],0
r1,1,0.453854,0.561009,[101  37] ; [22 11],[99.26315789 38.73684211] ; [23.73684211  9.26315789],0
v4,1,0.458534,0.54947,[130   8] ; [29  3],[129.07058824   8.92941176] ; [29.92941176  2.07058824],0
v2,1,0.462306,0.540305,[66 68] ; [13 18],[64.15757576 69.84242424] ; [14.84242424 16.15757576],0
p6,1,0.478505,0.502268,[52 85] ; [10 22],[50.26035503 86.73964497] ; [11.73964497 20.26035503],0
a5,1,0.50131,0.452162,[80 58] ; [17 16],[78.28070175 59.71929825] ; [18.71929825 14.28070175],0
p3,1,0.515727,0.422431,[63 75] ; [13 20],[61.33333333 76.66666667] ; [14.66666667 18.33333333],0
a1,1,0.51967,0.414548,[  5 134] ; [ 2 31],[  5.65697674 133.34302326] ; [ 1.34302326 31.65697674],0
n3,1,0.598725,0.276923,[18  6] ; [8 4],[17.33333333  6.66666667] ; [8.66666667 3.33333333],0
n2,1,0.606905,0.264706,[23  1] ; [11  1],[22.66666667  1.33333333] ; [11.33333333  0.66666667],0
s3,1,0.640497,0.218093,[116  21] ; [29  4],[116.85294118  20.14705882] ; [28.14705882  4.85294118],0
b4,1,0.6969,0.151717,[81 58] ; [18 15],[80.00581395 58.99418605] ; [18.99418605 14.00581395],0
u1,1,0.736742,0.113011,[  6 133] ; [ 1 32],[  5.65697674 133.34302326] ; [ 1.34302326 31.65697674],0
b5,1,0.763488,0.090543,[84 55] ; [19 14],[83.23837209 55.76162791] ; [19.76162791 13.23837209],0
a8,1,0.800322,0.063974,[ 23 109] ; [ 6 25],[ 23.48466258 108.51533742] ; [ 5.51533742 25.48466258],0
p1,1,0.860567,0.030854,[ 11 124] ; [ 3 30],[ 11.25 123.75] ; [ 2.75 30.25],0
v1,1,0.882523,0.021836,[71 67] ; [16 16],[70.62352941 67.37647059] ; [16.37647059 15.62352941],0
r3,1,0.962723,0.002184,[130   9] ; [30  2],[130.05847953   8.94152047] ; [29.94152047  2.05847953],0
