Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,261.032896,[ 40 222] ; [288  68],[139.05501618 122.94498382] ; [188.94498382 167.05501618],1
s6,1,0.0,106.187929,[125 135] ; [301  46],[182.47116969  77.52883031] ; [243.52883031 103.47116969],1
s7,1,0.0,100.893422,[ 74 173] ; [246  97],[133.96610169 113.03389831] ; [186.03389831 156.96610169],1
s8,1,0.0,81.950468,[ 71 191] ; [227 128],[126.54132901 135.45867099] ; [171.45867099 183.54132901],1
s5,1,0.0,27.881874,[ 63 197] ; [153 186],[ 93.75626043 166.24373957] ; [122.24373957 216.75626043],1
s4,1,0.000119,14.805932,[ 25 234] ; [ 75 277],[ 42.38952537 216.61047463] ; [ 57.61047463 294.38952537],1
r4,1,0.000346,12.802283,[229  36] ; [337  19],[241.52979066  23.47020934] ; [324.47020934  31.52979066],1
r2,1,0.001177,10.52656,[239  23] ; [344  10],[247.96428571  14.03571429] ; [335.03571429  18.96428571],0
a3,1,0.001521,10.053105,[175  89] ; [276  79],[192.34894992  71.65105008] ; [258.65105008  96.34894992],0
u4,1,0.004009,8.279637,[  2 263] ; [ 17 339],[  8.1078905 256.8921095] ; [ 10.8921095 345.1078905],0
p6,1,0.006384,7.438584,[ 88 174] ; [157 196],[104.37398374 157.62601626] ; [140.62601626 212.37398374],0
r3,1,0.007208,7.220468,[241  22] ; [343  12],[248.53074434  14.46925566] ; [335.46925566  19.53074434],0
p7,1,0.013997,6.038531,[156 105] ; [240 106],[170.27347611  90.72652389] ; [225.72652389 120.27347611],0
n4,1,0.01478,5.942467,[229  36] ; [328  27],[238.07258065  26.92741935] ; [318.92741935  36.07258065],0
p12,1,0.014964,5.920709,[ 16 247] ; [ 42 312],[ 24.72285251 238.27714749] ; [ 33.27714749 320.72285251],0
p2,1,0.017479,5.647652,[212  52] ; [310  45],[222.63004847  41.36995153] ; [299.36995153  55.63004847],0
r1,1,0.021302,5.301905,[202  62] ; [297  57],[213.16504854  50.83495146] ; [285.83495146  68.16504854],0
d1,1,0.026985,4.891793,[148 117] ; [230 126],[161.30434783 103.69565217] ; [216.69565217 139.30434783],0
p3,1,0.03,4.709279,[130 134] ; [206 149],[143.30210016 120.69789984] ; [192.69789984 162.30210016],0
d2,1,0.031046,4.650442,[122 140] ; [197 159],[135.2394822 126.7605178] ; [183.7605178 172.2394822],0
p9,1,0.035866,4.403448,[218  42] ; [318  37],[226.60162602  33.39837398] ; [309.39837398  45.60162602],0
p4,1,0.037362,4.333829,[158 105] ; [242 113],[170.22653722  92.77346278] ; [229.77346278 125.22653722],0
a8,1,0.074094,3.189905,[ 27 202] ; [ 58 278],[ 34.45132743 194.54867257] ; [ 50.54867257 285.45132743],0
p5,1,0.088518,2.901115,[ 30 234] ; [ 57 295],[ 37.28571429 226.71428571] ; [ 49.71428571 302.28571429],0
v3,1,0.10316,2.656003,[103 158] ; [159 186],[112.84158416 148.15841584] ; [149.15841584 195.84158416],0
n1,1,0.113339,2.507036,[22 39] ; [33 33],[26.41732283 34.58267717] ; [28.58267717 37.41732283],0
b1,1,0.123068,2.377841,[ 94 171] ; [148 208],[103.2689211 161.7310789] ; [138.7310789 217.2689211],0
s1,1,0.143135,2.14393,[  5 257] ; [ 14 338],[  8.10749186 253.89250814] ; [ 10.89250814 341.10749186],0
p10,1,0.166434,1.914771,[220  43] ; [310  44],[225.91572123  37.08427877] ; [304.08427877  49.91572123],0
a2,1,0.17702,1.822466,[ 61 204] ; [ 99 257],[ 68.27697262 196.72302738] ; [ 91.72302738 264.27697262],0
u1,1,0.199439,1.646476,[ 47 218] ; [ 78 278],[ 53.34138486 211.65861514] ; [ 71.65861514 284.34138486],0
u3,1,0.253136,1.305916,[45 45] ; [47 33],[48.70588235 41.29411765] ; [43.29411765 36.70588235],0
d3,1,0.280225,1.166,[173  92] ; [247 109],[179.22705314  85.77294686] ; [240.77294686 115.22705314],0
p8,1,0.290041,1.119431,[138 120] ; [204 149],[144.41243863 113.58756137] ; [197.58756137 155.41243863],0
a6,1,0.305248,1.051127,[185  80] ; [234 121],[179.08870968  85.91129032] ; [239.91129032 115.08870968],0
v4,1,0.312825,1.018712,[250  15] ; [342  14],[252.62479871  12.37520129] ; [339.37520129  16.62479871],0
a7,1,0.353185,0.861981,[179  85] ; [253 102],[184.24555735  79.75444265] ; [247.75444265 107.24555735],0
p11,1,0.374772,0.787782,[213  52] ; [296  60],[217.20611916  47.79388084] ; [291.79388084  64.20611916],0
a4,1,0.390857,0.736273,[119 144] ; [173 182],[124.26537217 138.73462783] ; [167.73462783 187.26537217],0
p1,1,0.395949,0.720595,[ 23 242] ; [ 38 316],[ 26.11470113 238.88529887] ; [ 34.88529887 319.11470113],0
v1,1,0.396871,0.717785,[146 115] ; [206 141],[151.10526316 109.89473684] ; [200.89473684 146.10526316],0
b5,1,0.398248,0.713609,[163 102] ; [207 149],[157.89049919 107.10950081] ; [212.10950081 143.89049919],0
n3,1,0.463969,0.536303,[41 20] ; [49 18],[42.890625 18.109375] ; [47.109375 19.890625],0
d4,1,0.494962,0.465722,[213  51] ; [294  61],[216.23263328  47.76736672] ; [290.76736672  64.23263328],0
u2,1,0.536632,0.381818,[46 42] ; [38 42],[44. 44.] ; [40. 40.],0
n2,1,0.573863,0.316262,[47 16] ; [52 14],[48.34883721 14.65116279] ; [50.65116279 15.34883721],0
