Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000977,10.870963,[ 8 49] ; [12 13],[13.90243902 43.09756098] ; [ 6.09756098 18.90243902],1
s6,1,0.011706,6.354877,[17 39] ; [15 10],[22.12345679 33.87654321] ; [ 9.87654321 15.12345679],0
s7,1,0.011747,6.348725,[ 8 47] ; [ 9 13],[12.14285714 42.85714286] ; [ 4.85714286 17.14285714],0
u3,1,0.012133,6.291379,[10 17] ; [7 1],[13.11428571 13.88571429] ; [3.88571429 4.11428571],0
s8,1,0.033139,4.538608,[ 4 52] ; [ 6 19],[ 6.91358025 49.08641975] ; [ 3.08641975 21.91358025],0
a8,1,0.035171,4.436874,[ 2 54] ; [ 4 19],[ 4.25316456 51.74683544] ; [ 1.74683544 21.25316456],0
r4,1,0.039067,4.257935,[27 30] ; [18  7],[31.2804878 25.7195122] ; [13.7195122 11.2804878],0
u2,1,0.044251,4.046964,[ 9 17] ; [6 2],[11.47058824 14.52941176] ; [3.52941176 4.47058824],0
p5,1,0.050005,3.841301,[ 1 55] ; [ 3 22],[ 2.7654321 53.2345679] ; [ 1.2345679 23.7654321],0
r1,1,0.064733,3.411775,[31 26] ; [19  6],[34.75609756 22.24390244] ; [15.24390244  9.75609756],0
s2,1,0.104952,2.628641,[11 46] ; [ 9 16],[13.90243902 43.09756098] ; [ 6.09756098 18.90243902],0
n6,1,0.118933,2.431315,[30 26] ; [18  7],[33.18518519 22.81481481] ; [14.81481481 10.18518519],0
v2,1,0.126031,2.34072,[17 39] ; [12 13],[20.04938272 35.95061728] ; [ 8.95061728 16.04938272],0
v4,1,0.153964,2.03253,[34 23] ; [19  6],[36.84146341 20.15853659] ; [16.15853659  8.84146341],0
a1,1,0.180799,1.791042,[ 8 49] ; [ 1 24],[ 6.25609756 50.74390244] ; [ 2.74390244 22.25609756],0
b1,1,0.19963,1.645077,[36 21] ; [12 13],[33.36585366 23.63414634] ; [14.63414634 10.36585366],0
a3,1,0.22419,1.477348,[30 26] ; [17  8],[32.49382716 23.50617284] ; [14.50617284 10.49382716],0
p6,1,0.2278,1.454545,[ 7 48] ; [ 1 24],[ 5.5 49.5] ; [ 2.5 22.5],0
a4,1,0.260445,1.266391,[23 33] ; [ 7 18],[20.74074074 35.25925926] ; [ 9.25925926 15.74074074],0
r2,1,0.272254,1.205357,[43 13] ; [21  3],[44.8 11.2] ; [19.2  4.8],0
d3,1,0.327809,0.957535,[23 34] ; [13 12],[25.02439024 31.97560976] ; [10.97560976 14.02439024],0
p1,1,0.33023,0.947994,[ 6 51] ; [ 1 24],[ 4.86585366 52.13414634] ; [ 2.13414634 22.86585366],0
d4,1,0.3553,0.854439,[40 17] ; [20  5],[41.70731707 15.29268293] ; [18.29268293  6.70731707],0
b5,1,0.386393,0.750262,[26 31] ; [14 11],[27.80487805 29.19512195] ; [12.19512195 12.80487805],0
